英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career,Full_Career_English,国籍,SNS_Instagram,SNS_Twitter,SNS_Facebook,選手名_カタカナ,リーグ
A. McParland,,Scrum-half,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
A. O'Driscoll,,Prop,Saracens,,,,,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
A. Pugh,,Scrum-half,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
A. Ridgway,,No. 8,Bath Rugby,,,,,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
A. Scott,,Lock,Newcastle Falcons,,,,,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
A. Scott-Young,,Flanker,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
A. Wills,,Wing,Sale Sharks,,,,,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
A. van der Flier,,Prop,Leicester Tigers,,,,,,,,,,,,Leicester Tigers (2025 - ),,,,Leicester Tigers (2025 - ),,,,,,,premiership
Rabah SLIMANI,ラバ・スリマニ,PR,Leinster,178.0,124.0,1989.10.18,,,,,A,https://all.rugby/player/rabah-slimani,AAS Sarcelles Rugby (2004 - 2005) -> Stade Français Paris Rugby (2005 - 2017) -> ASM Clermont Auvergne (2017 - 2024) -> Leinster Rugby (2024 - 2026),France,France,https://all.rugby/player/rabah-slimani,AAS Sarcelles Rugby (2004 - 2005) -> Stade Français Paris Rugby (2005 - 2017) -> ASM Clermont Auvergne (2017 - 2024) -> Leinster Rugby (2024 - 2026),,,,,,,,ラバ・スリマニ,urc
Mfundo NDHLOVU,ムフンド・ンドロヴ,WTB,Stormers,178.0,84.0,1997.04.05,,,,,A,https://all.rugby/player/mfundo-ndhlovu,AF. SUD 7's (2017 - 2025) -> Stormers (2025 - 2026),,,https://all.rugby/player/mfundo-ndhlovu,AF. SUD 7's (2017 - 2025) -> Stormers (2025 - 2026),,,,,,,,ムフンド・ンドロヴ,urc
Sako MAKATA,サコ・マカタ,WTB,Stormers,185.0,103.0,1998.09.10,,,,,A,https://all.rugby/player/sako-makata,AF. SUD 7's (2018 - 2022) -> Griquas (2022 - 2024) -> Western Province (2024 - 2025) -> Stormers (2025 - 2026),,,https://all.rugby/player/sako-makata,AF. SUD 7's (2018 - 2022) -> Griquas (2022 - 2024) -> Western Province (2024 - 2025) -> Stormers (2025 - 2026),,,,,,,,サコ・マカタ,urc
JC PRETORIUS,JC-プレトリアス,FL/No8,Lions,186.0,92.0,1998.01.29,,,,,A,https://all.rugby/player/jc-pretorius,AF. SUD 7's (2018 - 2022) -> Lions Rugby (2022 - 2022) -> AF. SUD 7's (2023 - 2023) -> Lions Rugby (2023 - 2026),,,https://all.rugby/player/jc-pretorius,AF. SUD 7's (2018 - 2022) -> Lions Rugby (2022 - 2022) -> AF. SUD 7's (2023 - 2023) -> Lions Rugby (2023 - 2026),,,,,,,,JC-プレトリアス,urc
Christie GROBBELAAR,クリスティー・グロブラール,WTB,Sharks,192.0,95.0,2000.05.25,,,,,A,https://all.rugby/player/christie-grobbelaar,AF. SUD 7's (2020 - 2024) -> Natal Sharks (2024 - 2025) -> Sharks (2025 - 2026),,,https://all.rugby/player/christie-grobbelaar,AF. SUD 7's (2020 - 2024) -> Natal Sharks (2024 - 2025) -> Sharks (2025 - 2026),,,,,,,,クリスティー・グロブラール,urc
AJ MacGinty,,Fly-half,Bristol Bears,,,1990.02.26,36,,,,,,,,Bristol Bears (2025 - ),,,,Bristol Bears (2025 - ),,,,,,,premiership
Ben WILLIAMS,ベン・ウィリアムズ,FL/No8,Scarlets,188.0,108.0,2002.04.23,,,,,A,https://all.rugby/player/ben-williams-14088,Aberavon RFC (2021 - 2022) -> Scarlets (2022 - 2026),,,https://all.rugby/player/ben-williams-14088,Aberavon RFC (2021 - 2022) -> Scarlets (2022 - 2026),,,,,,,,ベン・ウィリアムズ,urc
Scott WHITLOCK,スコット・ウィットロック,SH,Ospreys,175.0,72.0,2004..,,,,,A,https://all.rugby/player/scott-whitlock,Aberavon RFC (2023 - 2024) -> Ospreys (2024 - 2026),,,https://all.rugby/player/scott-whitlock,Aberavon RFC (2023 - 2024) -> Ospreys (2024 - 2026),,,,,,,,スコット・ウィットロック,urc
Adam Radwan,,Wing,Leicester Tigers,,,1997.12.30,28,,,,,,,,Leicester Tigers (2025 - ),,,,Leicester Tigers (2025 - ),,,,,,,premiership
Ale Loman,,Prop,Leicester Tigers,,,2000.05.15,25,,,,,,,,Leicester Tigers (2025 - ),,,,Leicester Tigers (2025 - ),,,,,,,premiership
Alex Coles,,Lock,Northampton Saints,,,1999.09.21,26,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
Alex Dombrandt,,No. 8,Harlequins,,,1997.04.29,28,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
Alex Lozowski,,Centre,Saracens,,,1993.06.30,32,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
Alex Mitchell,,Scrum-half,Northampton Saints,,,1997.05.25,28,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
Amanaki Mafi,,Flanker,Newcastle Falcons,,,1990.01.11,36,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
Andrea Zambonin,,Lock,Exeter Chiefs,,,2000.09.03,25,,,,,,,,Exeter Chiefs (2025 - ),,,,Exeter Chiefs (2025 - ),,,,,,,premiership
Andy Onyeama-Christie,,Flanker,Saracens,,,1999.03.22,26,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
Anthony Belleau,,Fly-half,Northampton Saints,,,1996.04.08,29,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
Archie Griffin,,Prop,Bath Rugby,,,2001.07.24,24,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
Arron Reed,,Wing,Sale Sharks,,,1999.07.10,26,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
Arthur Clark,,Lock,Gloucester Rugby,,,2001.12.19,24,,,,,,,,Gloucester Rugby (2025 - ),,,,Gloucester Rugby (2025 - ),,,,,,,premiership
Asher Opoku-Fordjour,,Prop,Sale Sharks,,,2004.07.16,21,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
Cameron VAN WYK,キャメロン・ファン・ワイク,WTB,Glasgow,183.0,93.0,2005..,,,,,A,https://all.rugby/player/cameron-van-wyk,Ayr RFC (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/cameron-van-wyk,Ayr RFC (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,,,,,,キャメロン・ファン・ワイク,urc
B. Alexander,,Hooker,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
B. Bamber,,Lock,Sale Sharks,,,,,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
B. Bradley,,Centre,Harlequins,,,,,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
B. Chamberlain,,Fly-half,Newcastle Falcons,,,,,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
B. Coen,,Fly-half,Exeter Chiefs,,,,,,,,,,,,Exeter Chiefs (2025 - ),,,,Exeter Chiefs (2025 - ),,,,,,,premiership
B. Connon,,Fly-half,Newcastle Falcons,,,,,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
B. Earl,,Flanker,Saracens,,,,,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
B. Gordon,,Hooker,Newcastle Falcons,,,,,,,,,,,,Newcastle Falcons (2025 - ),,,,Newcastle Falcons (2025 - ),,,,,,,premiership
B. Hammersley,,Wing,Exeter Chiefs,,,,,,,,,,,,Exeter Chiefs (2025 - ),,,,Exeter Chiefs (2025 - ),,,,,,,premiership
B. Jackson,,Wing,Saracens,,,,,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
B. Janse van Rensburg,,Centre,Bristol Bears,,,,,,,,,,,,Bristol Bears (2025 - ),,,,Bristol Bears (2025 - ),,,,,,,premiership
B. Langton-Cryer,,Lock,Harlequins,,,,,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
B. Loader,,Wing,Gloucester Rugby,,,,,,,,,,,,Gloucester Rugby (2025 - ),,,,Gloucester Rugby (2025 - ),,,,,,,premiership
B. Mata,,Flanker,Bristol Bears,,,,,,,,,,,,Bristol Bears (2025 - ),,,,Bristol Bears (2025 - ),,,,,,,premiership
B. Morrow,,Wing,Saracens,,,,,,,,,,,,Saracens (2025 - ),,,,Saracens (2025 - ),,,,,,,premiership
B. Murphy,,Prop,Harlequins,,,,,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
B. Pasco,,Centre,Northampton Saints,,,,,,,,,,,,Northampton Saints (2025 - ),,,,Northampton Saints (2025 - ),,,,,,,premiership
B. Redshaw,,Wing,Gloucester Rugby,,,,,,,,,,,,Gloucester Rugby (2025 - ),,,,Gloucester Rugby (2025 - ),,,,,,,premiership
B. Searle,,Fly-half,Leicester Tigers,,,,,,,,,,,,Leicester Tigers (2025 - ),,,,Leicester Tigers (2025 - ),,,,,,,premiership
B. Sela,,Prop,Bath Rugby,,,,,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
B. Waghorn,,Centre,Harlequins,,,,,,,,,,,,Harlequins (2025 - ),,,,Harlequins (2025 - ),,,,,,,premiership
B. van der Linde,,Scrum-half,Bath Rugby,,,,,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
Bachuki Tchumbadze,,Prop,Exeter Chiefs,,,2001.11.30,24,,,,,,,,Exeter Chiefs (2025 - ),,,,Exeter Chiefs (2025 - ),,,,,,,premiership
Bryn WARD,ブリン・ウォード,FL/No8,Ulster,,,2004..,,,,,A,https://all.rugby/player/bryn-ward,Ballynahinch RFC (2023 - 2024) -> Ulster Rugby (2024 - 2026),,,https://all.rugby/player/bryn-ward,Ballynahinch RFC (2023 - 2024) -> Ulster Rugby (2024 - 2026),,,,,,,,ブリン・ウォード,urc
Tom MCALLISTER,トム・マカリスター,PR,Ulster,,,2005..,,,,,A,https://all.rugby/player/tom-mcallister,Ballynahinch RFC (2024 - 2025) -> Ulster Rugby (2025 - 2026),,,https://all.rugby/player/tom-mcallister,Ballynahinch RFC (2024 - 2025) -> Ulster Rugby (2025 - 2026),,,,,,,,トム・マカリスター,urc
Jonny SCOTT,ジョニー・スコット,CTB,Ulster,191.0,99.0,2005..,,,,,A,https://all.rugby/player/jonny-scott,Banbridge RFC (2023 - 2024) -> Ulster Rugby (2024 - 2026),,,https://all.rugby/player/jonny-scott,Banbridge RFC (2023 - 2024) -> Ulster Rugby (2024 - 2026),,,,,,,,ジョニー・スコット,urc
Connor MAGEE,コナー・マギー,HO,Ulster,185.0,109.0,2006..,,,,,A,https://all.rugby/player/connor-magee,Banbridge RFC (2024 - 2025) -> Ulster Rugby (2025 - 2026),,,https://all.rugby/player/connor-magee,Banbridge RFC (2024 - 2025) -> Ulster Rugby (2025 - 2026),,,,,,,,コナー・マギー,urc
Rory JENNINGS,ロリー・ジェニングス,SO,Cardiff,180.0,91.0,1995.12.24,,,,,A,https://all.rugby/player/rory-jennings-,Bath Rugby (2014 - 2016) -> Ealing Trailfinders (2016 - 2016) -> Bath Rugby (2016 - 2016) -> Ealing Trailfinders (2017 - 2017) -> Bath Rugby (2017 - 2017) -> Rotherham Titans (2017 - 2018) -> London Scottish (2018 - 2019) -> Coventry Rugby (2019 - 2019) -> Leicester Tigers (2019 - 2019) -> Coventry Rugby (2020 - 2020) -> Leicester Tigers (2020 - 2020) -> ASM Clermont Auvergne (2020 - 2021) -> London Irish (2021 - 2023) -> Newcastle (2023 - 2024) -> Cardiff Rugby (2024 - 2026),,,https://all.rugby/player/rory-jennings-,Bath Rugby (2014 - 2016) -> Ealing Trailfinders (2016 - 2016) -> Bath Rugby (2016 - 2016) -> Ealing Trailfinders (2017 - 2017) -> Bath Rugby (2017 - 2017) -> Rotherham Titans (2017 - 2018) -> London Scottish (2018 - 2019) -> Coventry Rugby (2019 - 2019) -> Leicester Tigers (2019 - 2019) -> Coventry Rugby (2020 - 2020) -> Leicester Tigers (2020 - 2020) -> ASM Clermont Auvergne (2020 - 2021) -> London Irish (2021 - 2023) -> Newcastle (2023 - 2024) -> Cardiff Rugby (2024 - 2026),,,,,,,,ロリー・ジェニングス,urc
Adam HASTINGS,アダム・ヘイスティングス,SO,Glasgow,189.0,93.0,1996.10.05,,,,,A,https://all.rugby/player/adam-hastings,Bath Rugby (2015 - 2017) -> Glasgow Warriors (2017 - 2021) -> Gloucester Rugby (2021 - 2024) -> Glasgow Warriors (2024 - 2026),Scotland,Scotland,https://all.rugby/player/adam-hastings,Bath Rugby (2015 - 2017) -> Glasgow Warriors (2017 - 2021) -> Gloucester Rugby (2021 - 2024) -> Glasgow Warriors (2024 - 2026),,,,,,,,アダム・ヘイスティングス,urc
Levi DOUGLAS,リーヴァイ・ダグラス,LO,Dragons,196.0,125.0,1995.09.01,,,,,A,https://all.rugby/player/levi-douglas,Bath Rugby (2015 - 2019) -> Wasps (2019 - 2019) -> Bath Rugby (2020 - 2020) -> Wasps (2020 - 2020) -> Rugby Club Toulonnais (2020 - 2020) -> Wasps (2021 - 2021) -> Rugby Club Toulonnais (2021 - 2021) -> FC Grenoble Rugby (2021 - 2023) -> Urayasu D-Rocks (2023 - 2024) -> Biarritz Olympique Pays Basque (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/levi-douglas,Bath Rugby (2015 - 2019) -> Wasps (2019 - 2019) -> Bath Rugby (2020 - 2020) -> Wasps (2020 - 2020) -> Rugby Club Toulonnais (2020 - 2020) -> Wasps (2021 - 2021) -> Rugby Club Toulonnais (2021 - 2021) -> FC Grenoble Rugby (2021 - 2023) -> Urayasu D-Rocks (2023 - 2024) -> Biarritz Olympique Pays Basque (2024 - 2025) -> Dragons RFC (2025 - 2026),,,,,,,,リーヴァイ・ダグラス,urc
Harri O'CONNOR,ハリー-オコナー,PR,Scarlets,182.0,118.0,2000.10.25,,,,,A,https://all.rugby/player/harri-o-connor,Bath Rugby (2018 - 2019) -> Scarlets (2019 - 2026),England,England,https://all.rugby/player/harri-o-connor,Bath Rugby (2018 - 2019) -> Scarlets (2019 - 2026),,,,,,,,ハリー-オコナー,urc
Rhys DAVIES,リース・デイヴィス,LO,Ospreys,197.0,124.0,1998.11.09,,,,,A,https://all.rugby/player/rhys-davies,Bath Rugby (2018 - 2020) -> Ospreys (2020 - 2026),,,https://all.rugby/player/rhys-davies,Bath Rugby (2018 - 2020) -> Ospreys (2020 - 2026),,,,,,,,リース・デイヴィス,urc
Steffan EMANUEL,ステファン・エマニュエル,CTB,Cardiff,183.0,96.0,2006..,,,,,A,https://all.rugby/player/steffan-emanuel,Bath Rugby (2023 - 2024) -> Cardiff Rugby (2024 - 2026),,,https://all.rugby/player/steffan-emanuel,Bath Rugby (2023 - 2024) -> Cardiff Rugby (2024 - 2026),,,,,,,,ステファン・エマニュエル,urc
Max PEARCE,マックス・ピアース,HO,Cardiff,180.0,110.0,2004..,,,,,A,https://all.rugby/player/max-pearce,Bath Rugby (2023 - 2025) -> Cardiff Rugby (2025 - 2025) -> Bath Rugby (2026 - 2026) -> Cardiff Rugby (2026 - 2026),,,https://all.rugby/player/max-pearce,Bath Rugby (2023 - 2025) -> Cardiff Rugby (2025 - 2025) -> Bath Rugby (2026 - 2026) -> Cardiff Rugby (2026 - 2026),,,,,,,,マックス・ピアース,urc
Codi PURNELL,コディ・パーネル,PR,Dragons,190.0,140.0,,,,,,A,https://all.rugby/player/codi-purnell,Bath Rugby (2024 - 2025) -> Dragons RFC (2025 - 2026),,,https://all.rugby/player/codi-purnell,Bath Rugby (2024 - 2025) -> Dragons RFC (2025 - 2026),,,,,,,,コディ・パーネル,urc
Onisi RATAVE,Onisi RATAVE,WTB,Trévise,179.0,100.0,1992.06.06,,,,,A,https://all.rugby/player/onisi-ratave,Bay of Plenty Steamers (2020 - 2021) -> Fijian Drua (2021 - 2022) -> Benetton Rugby Trévise (2022 - 2026),,,https://all.rugby/player/onisi-ratave,Bay of Plenty Steamers (2020 - 2021) -> Fijian Drua (2021 - 2022) -> Benetton Rugby Trévise (2022 - 2026),,,,,,,,オニシ・ラタヴェ,
Ben Curry,,Flanker,Sale Sharks,,,1998.06.15,27,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
Ben Spencer,,Scrum-half,Bath Rugby,,,1992.07.31,33,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
Luca MORISI,ルカ・モリシ,CTB,Zebre,183.0,102.0,1991.02.22,,,,,A,https://all.rugby/player/luca-morisi,Benetton Rugby Trévise (2013 - 2022) -> London Irish (2022 - 2023) -> Zebre Parma (2023 - 2026),Italy,Italy,https://all.rugby/player/luca-morisi,Benetton Rugby Trévise (2013 - 2022) -> London Irish (2022 - 2023) -> Zebre Parma (2023 - 2026),,,,,,,,ルカ・モリシ,urc
D'Arcy RAE,D'Arcy RAE,PR,Edimbourg,186.0,125.0,1994.12.21,,,,,A,https://all.rugby/player/d-arcy-rae,Benetton Rugby Trévise (2014 - 2014) -> Glasgow Warriors (2014 - 2014) -> Benetton Rugby Trévise (2015 - 2015) -> Glasgow Warriors (2015 - 2021) -> Bath Rugby (2021 - 2023) -> Montpellier Hérault Rugby (2023 - 2023) -> Edimbourg Rugby (2023 - 2023) -> Montpellier Hérault Rugby (2024 - 2024) -> Edimbourg Rugby (2024 - 2026),Scotland,Scotland,https://all.rugby/player/d-arcy-rae,Benetton Rugby Trévise (2014 - 2014) -> Glasgow Warriors (2014 - 2014) -> Benetton Rugby Trévise (2015 - 2015) -> Glasgow Warriors (2015 - 2021) -> Bath Rugby (2021 - 2023) -> Montpellier Hérault Rugby (2023 - 2023) -> Edimbourg Rugby (2023 - 2023) -> Montpellier Hérault Rugby (2024 - 2024) -> Edimbourg Rugby (2024 - 2026),,,,,,,,ダーシー・レイ,
Marco ZANON,マルコ・ザノン,CTB,Zebre,188.0,104.0,1997.10.03,,,,,A,https://all.rugby/player/marco-zanon,Benetton Rugby Trévise (2017 - 2021) -> Section Paloise Béarn Pyrénées (2021 - 2021) -> Benetton Rugby Trévise (2022 - 2022) -> Section Paloise Béarn Pyrénées (2022 - 2022) -> Benetton Rugby Trévise (2022 - 2025) -> Zebre Parma (2025 - 2026),Italy,Italy,https://all.rugby/player/marco-zanon,Benetton Rugby Trévise (2017 - 2021) -> Section Paloise Béarn Pyrénées (2021 - 2021) -> Benetton Rugby Trévise (2022 - 2022) -> Section Paloise Béarn Pyrénées (2022 - 2022) -> Benetton Rugby Trévise (2022 - 2025) -> Zebre Parma (2025 - 2026),,,,,,,,マルコ・ザノン,urc
Seb NEGRI,Seb NEGRI,FL/No8,Trévise,194.0,111.0,1994.06.30,,,,,A,https://all.rugby/player/seb-negri,Benetton Rugby Trévise (2017 - 2026),Italy,Italy,https://all.rugby/player/seb-negri,Benetton Rugby Trévise (2017 - 2026),,,,,,,,セブ・ネグリ,
Niccolò CANNONE,Niccolò CANNONE,LO,Trévise,197.0,121.0,1998.05.17,,,,,A,https://all.rugby/player/niccolo-cannone,Benetton Rugby Trévise (2018 - 2026),Italy,Italy,https://all.rugby/player/niccolo-cannone,Benetton Rugby Trévise (2018 - 2026),,,,,,,,ニッコロ・カノーネ,
Tommaso MENONCELLO,Tommaso MENONCELLO,CTB,Trévise,187.0,101.0,2002.08.20,,,,,A,https://all.rugby/player/tommaso-menoncello,Benetton Rugby Trévise (2020 - 2026),Italy,Italy,https://all.rugby/player/tommaso-menoncello,Benetton Rugby Trévise (2020 - 2026),,,,,,,,トマソ・メノンチェッロ,
Lorenzo PANI,ロレンツォ・パーニ,FB,Zebre,193.0,101.0,2002.07.04,,,,,A,https://all.rugby/player/lorenzo-pani,Benetton Rugby Trévise (2021 - 2021) -> Zebre Parma (2021 - 2021) -> Benetton Rugby Trévise (2022 - 2022) -> Zebre Parma (2022 - 2026),,,https://all.rugby/player/lorenzo-pani,Benetton Rugby Trévise (2021 - 2021) -> Zebre Parma (2021 - 2021) -> Benetton Rugby Trévise (2022 - 2022) -> Zebre Parma (2022 - 2026),,,,,,,,ロレンツォ・パーニ,urc
Nelson CASARTELLI,Nelson CASARTELLI,FL/No8,Trévise,182.0,100.0,2005..,,,,,A,https://all.rugby/player/nelson-casartelli,Benetton Rugby Trévise (2023 - 2024) -> Paese Rugby (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/nelson-casartelli,Benetton Rugby Trévise (2023 - 2024) -> Paese Rugby (2024 - 2025) -> Benetton Rugby Trévise (2025 - 2026),,,,,,,,ネルソン・カサルテッリ,
Migael PRINSLOO,ミハエル・プリンスルー,SH,Zebre,181.0,82.0,2006..,,,,,A,https://all.rugby/player/migael-prinsloo,Benetton Rugby Trévise (2024 - 2025) -> Zebre Parma (2025 - 2026),,,https://all.rugby/player/migael-prinsloo,Benetton Rugby Trévise (2024 - 2025) -> Zebre Parma (2025 - 2026),,,,,,,,ミハエル・プリンスルー,urc
Marco SPREAFICHI,Marco SPREAFICHI,LO,Trévise,196.0,102.0,2006..,,,,,A,https://all.rugby/player/marco-spreafichi,Benetton Rugby Trévise (2025 - 2026),,,https://all.rugby/player/marco-spreafichi,Benetton Rugby Trévise (2025 - 2026),,,,,,,,マルコ・スプレアフィキ,
Benjamín Elizalde,,Fullback,Bristol Bears,,,2004.06.14,21,,,,,,,,Bristol Bears (2025 - ),,,,Bristol Bears (2025 - ),,,,,,,premiership
Benjamín Grondona,,No. 8,Bristol Bears,,,2003.10.19,22,,,,,,,,Bristol Bears (2025 - ),,,,Bristol Bears (2025 - ),,,,,,,premiership
Beno Obano,,Prop,Bath Rugby,,,1994.10.25,31,,,,,,,,Bath Rugby (2025 - ),,,,Bath Rugby (2025 - ),,,,,,,premiership
Bevan Rodd,,Prop,Sale Sharks,,,2000.08.26,25,,,,,,,,Sale Sharks (2025 - ),,,,Sale Sharks (2025 - ),,,,,,,premiership
Harry PROVAN,ハリー・プロヴァン,FB,Glasgow,178.0,96.0,2006..,,,,,A,https://all.rugby/player/harry-provan,Birkmyre Rugby (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/harry-provan,Birkmyre Rugby (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,,,,,,ハリー・プロヴァン,urc
Oliver COFFEY,オリヴァー・コフィー,SH,Leinster,183.0,84.0,2004..,,,,,A,https://all.rugby/player/oliver-coffey,Blackrock College RFC (2023 - 2024) -> Leinster Rugby (2024 - 2026),,,https://all.rugby/player/oliver-coffey,Blackrock College RFC (2023 - 2024) -> Leinster Rugby (2024 - 2026),,,,,,,,オリヴァー・コフィー,urc
Alex MULLAN,アレックス-マラン,PR,Leinster,,,2005..,,,,,A,https://all.rugby/player/alex-mullan,Blackrock College RFC (2023 - 2025) -> Leinster Rugby (2025 - 2026),,,https://all.rugby/player/alex-mullan,Blackrock College RFC (2023 - 2025) -> Leinster Rugby (2025 - 2026),,,,,,,,アレックス-マラン,urc
Ciarán MANGAN,キアラン・マンガン,CTB,Leinster,188.0,,2005..,,,,,A,https://all.rugby/player/ciaran-mangan,Blackrock College RFC (2024 - 2025) -> Leinster Rugby (2025 - 2026),,,https://all.rugby/player/ciaran-mangan,Blackrock College RFC (2024 - 2025) -> Leinster Rugby (2025 - 2026),,,,,,,,キアラン・マンガン,urc
