英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Keisuke Yamazoe,山添 圭祐,HO,九州電力キューデンヴォルテクス（2025-26）,177,102,2000.07.01,25,長崎北陽台高校,帝京大学,長崎北陽台 帝京,A,20,https://league-one.jp/player/483691,,,'18 高校,,,25/26 Japan Rugby League One - Division 2 (3G) -> 24/25 Japan Rugby League One - Division 2 (11G/2T) -> 23/24 Japan Rugby League One - Division 2 (7G)
Colby Faingaa,コルビー ・ファインガア,FL,九州電力キューデンヴォルテクス（2025-26）,185,102,1991.03.31,34,セント・エドマンズ・カレッジ,,セント・エドマンズ・カレッジ,B,37,https://league-one.jp/player/483692,,,,,,Not Found
Akihito Yamada,山田 章仁,WTB,九州電力キューデンヴォルテクス（2025-26）,180,80,1985.07.26,40,小倉高校,慶應義塾大学,小倉 慶應義塾,A,28,https://league-one.jp/player/483693,,,日本代表25CAP、Test Matchs(10CAP),,,25/26 Japan Rugby League One - Division 2 (1G) -> 24/25 Japan Rugby League One - Division 2 (6G/2T) -> 23/24 Japan Rugby League One - Division 2 (9G/5T) -> 22/23 Japan Rugby League One - Division 3 (11G/5T) -> Japan Rugby League One - Division 2 1 0 1  -> 20/21 Major League Rugby (5G) -> 18/19 Super Rugby (1G) -> 17/18 Super Rugby (5G/2T) -> 16/17 Test Matchs (5G/3T) -> 15/16 Super Rugby (10G/9T) -> 14/15 Test Matchs (1G) -> 13/14 Test Matchs (4G/1T)
Samuel Nozomu Faialaga,ファイアラガ 望サムエル,PR,九州電力キューデンヴォルテクス（2025-26）,176,113,1998.07.03,27,常翔学園高校,同志社大大学,常翔学園 同志社大,A,47,https://league-one.jp/player/483694,,,,,,25/26 Japan Rugby League One - Division 2 (6G/2T) -> 24/25 Japan Rugby League One - Division 2 (13G) -> 23/24 Japan Rugby League One - Division 2 (10G/1T) -> 22/23 Japan Rugby League One - Division 3 (11G/1T) -> Japan Rugby League One - Division 2 1 0 1 (1G) -> 21/22 Japan Rugby League One - Division 3 (8G)
Yasuo Saruwatari,猿渡 康雄,PR,九州電力キューデンヴォルテクス（2025-26）,181,118,1990.09.28,35,荒尾高校,帝京大学,荒尾 帝京,A,39,https://league-one.jp/player/483695,,,,,,25/26 Japan Rugby League One - Division 2 (4G) -> 24/25 Japan Rugby League One - Division 2 (9G) -> 23/24 Japan Rugby League One - Division 2 (11G) -> 22/23 Japan Rugby League One - Division 3 (9G) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (6G)
Shunta Takenouchi,竹ノ内 駿太,SH,九州電力キューデンヴォルテクス（2025-26）,170,78,1999.12.27,26,長崎南山高校,明治大学,長崎南山 明治,A,38,https://league-one.jp/player/483696,,,,,,25/26 Japan Rugby League One - Division 2 (4G) -> 24/25 Japan Rugby League One - Division 2 (12G) -> 23/24 Japan Rugby League One - Division 2 (12G) -> 22/23 Japan Rugby League One - Division 3 (11G/1T) -> Japan Rugby League One - Division 2 1 0 1 
Ray Tatafu,レイ ・タタフ,LO,九州電力キューデンヴォルテクス（2025-26）,195,119,1995.02.14,30,オネフンガハイスクール,オークランド工科大学,オネフンガハイスクール オークランド工科,A,41,https://league-one.jp/player/483697,,,,,,25/26 Japan Rugby League One - Division 2 (4G/1T) -> 24/25 Japan Rugby League One - Division 2 (10G/1T) -> 23/24 Japan Rugby League One - Division 2 (8G) -> 22/23 Japan Rugby League One - Division 3 (11G/1T) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (8G) -> 20/21 Counties Manukau (1G) -> 19/20 Southland (9G)
Hayato Yoshida,吉田 隼人,HO,九州電力キューデンヴォルテクス（2025-26）,172,93,1997.03.05,28,長崎北陽台高校,筑波大学,長崎北陽台 筑波,A,12,https://league-one.jp/player/483698,,,,,,24/25 Japan Rugby League One - Division 2 (7G/1T) -> 22/23 Japan Rugby League One - Division 3 (3G) -> Japan Rugby League One - Division 2 1 0 1 
Yuki Yamada,山田 有樹,FL,九州電力キューデンヴォルテクス（2025-26）,180,94,1994.06.18,31,常翔学園高校,同志社大学,常翔学園 同志社,A,33,https://league-one.jp/player/483699,,,,,,24/25 Japan Rugby League One - Division 2 (8G) -> 23/24 Japan Rugby League One - Division 2 (8G) -> 22/23 Japan Rugby League One - Division 3 (8G) -> 21/22 Japan Rugby League One - Division 3 (9G/1T)
Shogo Matsushita,松下 彰吾,SO,九州電力キューデンヴォルテクス（2025-26）,177,86,1991.01.12,34,福岡高校,筑波大学,福岡 筑波,A,16,https://league-one.jp/player/483700,,,,,,25/26 Japan Rugby League One - Division 2 (3G) -> 24/25 Japan Rugby League One - Division 2 (1G) -> 23/24 Japan Rugby League One - Division 2 (3G) -> 22/23 Japan Rugby League One - Division 3 (2G) -> 21/22 Japan Rugby League One - Division 3 (7G)
Keito Honda,本田 佳人,FB,九州電力キューデンヴォルテクス（2025-26）,180,85,1996.11.25,29,大分雄城台高校,東海大学,大分雄城台 東海,A,10,https://league-one.jp/player/483701,,,,,,23/24 Japan Rugby League One - Division 2 (3G) -> 22/23 Japan Rugby League One - Division 3 (4G/2T) -> Japan Rugby League One - Division 2 1 0 1 (1G) -> 21/22 Japan Rugby League One - Division 3 (1G)
Kenji Hayata,早田 健二,CTB,九州電力キューデンヴォルテクス（2025-26）,175,83,1987.05.26,38,大分舞鶴高校,早稲田大学,大分舞鶴 早稲田,A,13,https://league-one.jp/player/483702,,,'05 高校,,,25/26 Japan Rugby League One - Division 2 (3G/1T) -> 24/25 Japan Rugby League One - Division 2 (2G) -> 23/24 Japan Rugby League One - Division 2 (2G) -> 22/23 Japan Rugby League One - Division 3 (4G) -> 21/22 Japan Rugby League One - Division 3 (6G)
Ren Hagiwara,萩原 蓮,WTB,九州電力キューデンヴォルテクス（2025-26）,171,85,1996.05.06,29,東福岡高校,法政大学,東福岡 法政,A,43,https://league-one.jp/player/483703,,,,,,25/26 Japan Rugby League One - Division 2 (4G/1T) -> 24/25 Japan Rugby League One - Division 2 (13G) -> 23/24 Japan Rugby League One - Division 2 (9G/4T) -> 22/23 Japan Rugby League One - Division 3 (10G/4T) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (6G)
Noriaki Nakazuru,中づる,CTB,九州電力キューデンヴォルテクス（2025-26）,181,94,1989.05.03,36,福岡高校,筑波大学,福岡 筑波,A,22,https://league-one.jp/player/483704,,,'13 U23,,,25/26 Japan Rugby League One - Division 2 (1G) -> 24/25 Japan Rugby League One - Division 2 (6G) -> 23/24 Japan Rugby League One - Division 2 (4G/1T) -> 22/23 Japan Rugby League One - Division 3 (6G) -> Japan Rugby League One - Division 2 0 0 1  -> 21/22 Japan Rugby League One - Division 3 (8G)
Ken Nakashima,中島 謙,FL,九州電力キューデンヴォルテクス（2025-26）,183,95,1997.04.14,28,福岡高校,鹿児島大学,福岡 鹿児島,A,18,https://league-one.jp/player/483705,,,,,,25/26 Japan Rugby League One - Division 2 (3G) -> 24/25 Japan Rugby League One - Division 2 (3G) -> 23/24 Japan Rugby League One - Division 2 (7G) -> 22/23 Japan Rugby League One - Division 3 (5G/3T)
Kotaro Nakao,中尾 康太郎,SH,九州電力キューデンヴォルテクス（2025-26）,177,78,1992.05.28,33,福岡高校,早稲田大学,福岡 早稲田,A,7,https://league-one.jp/player/483706,,,,,,25/26 Japan Rugby League One - Division 2 (2G) -> 21/22 Japan Rugby League One - Division 3 (6G)
Kazuto Tokunaga,徳永 一斗,PR,九州電力キューデンヴォルテクス（2025-26）,181,117,1993.04.08,32,佐賀工業高校,帝京大学,佐賀工業 帝京,A,35,https://league-one.jp/player/483707,,,,,,25/26 Japan Rugby League One - Division 2 (4G) -> 24/25 Japan Rugby League One - Division 2 (1G) -> 23/24 Japan Rugby League One - Division 2 (11G) -> 22/23 Japan Rugby League One - Division 3 (11G) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (7G)
Naoki Takaya,高,WTB,九州電力キューデンヴォルテクス（2025-26）,176,80,1995.05.25,30,福岡高校,筑波大学,福岡 筑波,A,18,https://league-one.jp/player/483708,,,,,,25/26 Japan Rugby League One - Division 2 (2G) -> 24/25 Japan Rugby League One - Division 2 (3G) -> 23/24 Japan Rugby League One - Division 2 (3G) -> 22/23 Japan Rugby League One - Division 3 (5G) -> 21/22 Japan Rugby League One - Division 3 (6G/3T)
Michiro Takai,高井 迪郎,FL,九州電力キューデンヴォルテクス（2025-26）,187,99,1989.12.13,36,大分舞鶴高校,日本体育大学,大分舞鶴 日本体育,A,19,https://league-one.jp/player/483709,,,'08 U20,,,25/26 Japan Rugby League One - Division 2 (1G) -> 24/25 Japan Rugby League One - Division 2 (1G) -> 22/23 Japan Rugby League One - Division 3 (7G/1T) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (9G)
Yoshihiro Sononaka,園中 良寛,LO,九州電力キューデンヴォルテクス（2025-26）,190,103,1991.03.22,34,加治木高校,筑波大学,加治木 筑波,A,8,https://league-one.jp/player/483710,,,,,,24/25 Japan Rugby League One - Division 2 (6G) -> 22/23 Japan Rugby League One - Division 3 (2G) -> 21/22 Japan Rugby League One - Division 3 (1G)
Goki Saito,齊藤 剛希,WTB,九州電力キューデンヴォルテクス（2025-26）,174,85,1993.11.17,32,筑紫高校,明治大学,筑紫 明治,A,6,https://league-one.jp/player/483711,,,,,,24/25 Japan Rugby League One - Division 2 (7G/2T)
Hayato Kojo,古城 隼人,CTB,九州電力キューデンヴォルテクス（2025-26）,175,88,1996.05.22,29,修猷館高校,同志社大学,修猷館 同志社,A,27,https://league-one.jp/player/483712,,,,,,25/26 Japan Rugby League One - Division 2 (6G) -> 24/25 Japan Rugby League One - Division 2 (13G/1T) -> 23/24 Japan Rugby League One - Division 2 (4G) -> 22/23 Japan Rugby League One - Division 3 (5G/1T) -> Japan Rugby League One - Division 2 1 0 1 
Takehiro Kitsuki,木付 丈博,PR,九州電力キューデンヴォルテクス（2025-26）,185,111,1994.11.15,31,荒尾高校,帝京大学,荒尾 帝京,A,0,https://league-one.jp/player/483713,,,,,,21/22 Japan Rugby League One - Division 3 (1G)
Shimpei Kamata,鎌田 慎平,PR,九州電力キューデンヴォルテクス（2025-26）,179,105,1997.09.07,28,東福岡高校,筑波大学,東福岡 筑波,A,28,https://league-one.jp/player/483714,,,'17 U20,,,Not Found
Shuma Kanayama,金山 修真,LO,九州電力キューデンヴォルテクス（2025-26）,183,100,1994.04.17,31,流通経済大柏高校,流通経済大学,流経大柏 流通経済,A,8,https://league-one.jp/player/483715,,,,,,23/24 Japan Rugby League One - Division 2 (1G) -> 22/23 Japan Rugby League One - Division 3 (2G) -> 21/22 Japan Rugby League One - Division 3 (5G/1T)
Masaya Kanado,金堂 眞弥,CTB,九州電力キューデンヴォルテクス（2025-26）,180,88,1998.12.13,27,慶應義塾高校,城南大学,慶應義塾 城南,A,6,https://league-one.jp/player/483716,,,,,,23/24 Japan Rugby League One - Division 2 (5G) -> 22/23 Japan Rugby League One - Division 3 (2G)
Makoto Kato,加藤 誠央,FB,九州電力キューデンヴォルテクス（2025-26）,177,87,1990.08.01,35,萩商工業高校,福岡大学,萩商工 福岡,A,25,https://league-one.jp/player/483717,,,,,,25/26 Japan Rugby League One - Division 2 (1G) -> 24/25 Japan Rugby League One - Division 2 (9G/3T) -> 23/24 Japan Rugby League One - Division 2 (6G/2T) -> 22/23 Japan Rugby League One - Division 3 (2G) -> 21/22 Japan Rugby League One - Division 3 (7G)
Ryosuke Kagoshima,鹿子島 良輔,PR,九州電力キューデンヴォルテクス（2025-26）,171,101,1995.09.25,30,輝翔館中等教育高校,流通経済大学,輝翔館中等教育 流通経済,A,13,https://league-one.jp/player/483718,,,,,,24/25 Japan Rugby League One - Division 2 (7G) -> 22/23 Japan Rugby League One - Division 3 (1G) -> 21/22 Japan Rugby League One - Division 3 (6G)
Alex Takuya Walker,ウォーカー アレックス拓也,No8,九州電力キューデンヴォルテクス（2025-26）,184,103,1998.02.19,27,東福岡高校,法政大学,東福岡 法政,A,43,https://league-one.jp/player/483719,,,,,,24/25 Japan Rugby League One - Division 2 (12G/1T) -> 23/24 Japan Rugby League One - Division 2 (9G) -> 22/23 Japan Rugby League One - Division 3 (11G/3T) -> Japan Rugby League One - Division 2 1 0 1 (2G) -> 21/22 Japan Rugby League One - Division 3 (9G/3T)
Kiichi Uezato,上里 貴一,SO,九州電力キューデンヴォルテクス（2025-26）,176,84,1997.01.25,28,名護高校,朝日大学,名護 朝日,A,15,https://league-one.jp/player/483720,,,,,,25/26 Japan Rugby League One - Division 2 (2G) -> 24/25 Japan Rugby League One - Division 2 (2G) -> 23/24 Japan Rugby League One - Division 2 (1G) -> 22/23 Japan Rugby League One - Division 3 (8G) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (3G)
Yasunari Isoda,磯田 泰成,WTB,九州電力キューデンヴォルテクス（2025-26）,173,75,1992.11.20,33,延岡星雲高校,帝京大学,延岡星雲 帝京,A,26,https://league-one.jp/player/483721,,,,,,24/25 Japan Rugby League One - Division 2 (3G/1T) -> 23/24 Japan Rugby League One - Division 2 (4G) -> 22/23 Japan Rugby League One - Division 3 (9G/4T) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (8G/2T)
Tomotaka Ishimatsu,石松 大空,LO,九州電力キューデンヴォルテクス（2025-26）,193,105,1997.09.11,28,明善高校,筑波大学,明善 筑波,A,25,https://league-one.jp/player/483722,,,,,,24/25 Japan Rugby League One - Division 2 (1G) -> 23/24 Japan Rugby League One - Division 2 (6G) -> 22/23 Japan Rugby League One - Division 3 (12G/1T) -> Japan Rugby League One - Division 2 1 0 1  -> 21/22 Japan Rugby League One - Division 3 (4G)
Kyungmun Wang,王 鏡聞,HO,九州電力キューデンヴォルテクス（2025-26）,175,100,1991.09.12,34,朝明高校,大阪体育大学,朝明 大阪体育,A,35,https://league-one.jp/player/483723,,,,,,25/26 Japan Rugby League One - Division 2 (6G/3T) -> 24/25 Japan Rugby League One - Division 2 (13G/5T) -> 23/24 Japan Rugby League One - Division 2 (11G/3T) -> 22/23 Japan Rugby League One - Division 1 (6G/1T) -> 21/22 Japan Rugby League One - Division 1 (3G/1T)
Sean Robinson,ショーン ・ロビンソン,LO,九州電力キューデンヴォルテクス（2025-26）,197,110,1991.02.08,34,キングススクールウースター,ダラム大学,キングススクールウースター ダラム,B,19,https://league-one.jp/player/483724,,,,,,25/26 Japan Rugby League One - Division 2 (5G) -> 24/25 Japan Rugby League One - Division 2 (5G) -> 23/24 Japan Rugby League One - Division 2 (11G) -> 22/23 Premiership (8G) -> Challenge Cup 0 0 1  -> 21/22 Premiership (18G/2T) -> Premiership Rugby Cup 0 0 1  -> Challenge Cup 2 0 1  -> 20/21 Premiership (17G/4T) -> Challenge Cup 1 0 1 (1G) -> 18/19 Premiership (6G) -> 17/18 Premiership (17G/1T) -> Challenge Cup 4 0 1  -> Anglo Welsh Cup 1 0 1  -> 16/17 Premiership (6G/1T) -> Challenge Cup 0 0 2  -> 15/16 Premiership (16G) -> 14/15 Challenge Cup (6G/1T) -> Premiership 1 0 3 
Aaron Carroll,アーロン ・キャロル,LO,九州電力キューデンヴォルテクス（2025-26）,193,108,1993.10.11,32,タウランガボーイズカレッジ,,タウランガボーイズカレッジ,B,20,https://league-one.jp/player/483725,,,,,,25/26 Japan Rugby League One - Division 2 (2G) -> 24/25 Japan Rugby League One - Division 2 (12G) -> 23/24 Japan Rugby League One - Division 2 (8G/2T) -> 22/23 Carcassonne (20G) -> 21/22 Carcassonne (21G/1T) -> 19/20 Super Rugby (3G) -> Super Rugby Aotearoa 1 0 2 
Charlie Worthington,チャーリー ・ワージントン,FB,九州電力キューデンヴォルテクス（2025-26）,178,88,2003.06.06,22,ウェーバリー,,ウェーバリー,B,14,https://league-one.jp/player/483726,,,,,,25/26 Japan Rugby League One - Division 2 (5G) -> 24/25 Japan Rugby League One - Division 2 (8G/1T) -> 23/24 Japan Rugby League One - Division 2 (3G)
Kosuke Oike,尾池 亨允,PR,九州電力キューデンヴォルテクス（2025-26）,183,112,1993.08.18,32,日向高校,関西大学,日向 関西,A,34,https://league-one.jp/player/483727,,,,,,25/26 Japan Rugby League One - Division 2 (6G/1T) -> 24/25 Japan Rugby League One - Division 2 (11G) -> 23/24 Japan Rugby League One - Division 2 (12G/1T) -> 22/23 Japan Rugby League One - Division 2 (5G/1T) -> Japan Rugby League One - Division 1 0 0 1  -> 21/22 Japan Rugby League One - Division 1 (2G)
Spencer Jeans,スペンサー ・ジーンズ,SH,九州電力キューデンヴォルテクス（2025-26）,175,80,2000.10.19,25,TheSouthPortSchool,,TheSouthPortSchool,B,13,https://league-one.jp/player/483728,,,,,,24/25 Japan Rugby League One - Division 2 (10G/1T) -> 23/24 Japan Rugby League One - Division 2 (3G/1T) -> 21/22 Super Rugby Pacific (7G)
Taro Uesugi,上杉 太郎,PR,九州電力キューデンヴォルテクス（2025-26）,176,113,2001.12.30,24,熊本西高校,帝京大学,熊本西 帝京,A,12,https://league-one.jp/player/483729,,,,,,24/25 Japan Rugby League One - Division 2 (12G)
Riki Takebe,竹部 力,PR,九州電力キューデンヴォルテクス（2025-26）,185,110,2002.02.09,23,大分舞鶴高校,法政大学,大分舞鶴 法政,A,3,https://league-one.jp/player/483730,,,,,,25/26 Japan Rugby League One - Division 2 (6G)
Shimpei Fukada,深田 晋平,CTB,九州電力キューデンヴォルテクス（2025-26）,184,92,2001.10.01,24,福岡工業高校,福岡大学,福岡工業 福岡,A,0,https://league-one.jp/player/483731,,,,,,25/26 Japan Rugby League One - Division 2 (1G)
Harrison Goddard,ハリソン ・ゴダード,SH,清水建設江東ブルーシャークス（2025-26）,183,83,1998.04.08,27,OakhillCollege,,OakhillCollege,C,1,https://league-one.jp/player/484200,,,,,,"25/26 Japan Rugby League One - Division 2 (4G/3T) -> 24/25 Super Rugby Pacific (14G) -> 23/24 Super Rugby Pacific (14G/1T) -> 22/23 Super Rugby Pacific (10G) -> 21/22 Major League Rugby (15G/2
																														 +1T) -> 20/21 Major League Rugby (16G/9T) -> 18/19 Super Rugby (2G) -> 17/18 Super Rugby (8G) -> 16/17 Super Rugby (3G)"
Cameron Bailey,キャメロン ・ベイリー,FB,清水建設江東ブルーシャークス（2025-26）,191,100,1996.02.21,29,AtAndrew’sCollege,,AtAndrew’sCollege,A,33,https://league-one.jp/player/484201,,,,,,Not Found
Maritino Nemani,マリティノ ・ネマニ,CTB,清水建設江東ブルーシャークス（2025-26）,181,104,1991.05.24,34,SacredHeartCollege,,SacredHeartCollege,A,35,https://league-one.jp/player/484202,,,,,,25/26 Japan Rugby League One - Division 2 (4G/1T) -> 24/25 Japan Rugby League One - Division 2 (11G/6T) -> 23/24 Japan Rugby League One - Division 2 (9G/5T) -> Japan Rugby League One - Division 1 0 0 1 (2G) -> 22/23 Japan Rugby League One - Division 1 (9G/2T) -> 21/22 Japan Rugby League One - Division 1 (3G) -> 16/17 Grenoble (10G/3T) -> Challenge Cup 0 0 3  -> 15/16 Grenoble (13G/3T) -> Challenge Cup 2 0 1 (2G)
Billy Burns,ビリー ・バーンズ,SO,清水建設江東ブルーシャークス（2025-26）,183,87,1994.06.13,31,BeechenCliffSchool,HartpuryCollege,BeechenCliffSchool HartpuryCollege,C,2,https://league-one.jp/player/484203,,,United Rugby Championship(58CAP),,,25/26 Japan Rugby League One - Division 2 (5G/1T) -> 24/25 United Rugby Championship (8G) -> Champions Cup 2 0 0  -> 23/24 United Rugby Championship (16G) -> Champions Cup 1 0 3 (1G) -> 22/23 United Rugby Championship (16G/3T) -> 21/22 United Rugby Championship (18G) -> Champions Cup 5 0 1  -> 20/21 Ulster (3G) -> Champions Cup 0 0 1 (1G) -> Challenge Cup 2 0 1 (2G) -> Rainbow Cup 1 0 2 (1G/1T) -> Six Nations Championship 2 0 2  -> Test Matchs 1 0 0  -> 19/20 Ulster (9G/2T) -> Champions Cup 5 0 2  -> 18/19 Ulster (17G/1T) -> 17/18 Premiership (20G/2T) -> Challenge Cup 4 0 3 (1G/6T) -> Anglo Welsh Cup 2 0 0  -> 16/17 Premiership (18G/2T) -> Challenge Cup 6 0 2 (1G/13T) -> 15/16 Premiership (11G/1T) -> Challenge Cup 5 0 0  -> 14/15 Challenge Cup (10G/1T) -> Premiership 6 1 6 (1G/5T) -> 13/14 Premiership (3G)
Ika Motulalo Takau,イカ ・モツラロ・タカウ,LO,清水建設江東ブルーシャークス（2025-26）,189,113,1995.01.09,30,TupouCollege,流通経済大学,TupouCollege 流通経済大学,A,12,https://league-one.jp/player/484204,,,,,,25/26 Japan Rugby League One - Division 2 (5G) -> 24/25 Japan Rugby League One - Division 2 (7G/1T) -> 23/24 Japan Rugby League One - Division 2 (3G)
Mahe Vailanu,マヘ ・ヴァイラヌ,HO,清水建設江東ブルーシャークス（2025-26）,175,109,1997.01.25,28,AucklandGrammarSchool,,AucklandGrammarSchool,B,1,https://league-one.jp/player/484205,,,,,,25/26 Japan Rugby League One - Division 2 (4G) -> 24/25 Super Rugby Pacific (10G) -> 23/24 Super Rugby Pacific (5G/2T) -> 22/23 Super Rugby Pacific (11G/3T) -> 21/22 Super Rugby Pacific (7G) -> 20/21 Major League Rugby (12G/3T) -> 17/18 Super Rugby (2G)
Genta Nishibata,西端 玄汰,FB,清水建設江東ブルーシャークス（2025-26）,176,82,2002.07.21,23,東福岡高校,近畿大学,東福岡高校 近畿大学,A,3,https://league-one.jp/player/484206,,,,,,25/26 Japan Rugby League One - Division 2 (6G/5T) -> 24/25 Japan Rugby League One - Division 2 (1G/1T)
Tatsuya Fujioka,藤岡 竜也,CTB,清水建設江東ブルーシャークス（2025-26）,183,95,2003.03.13,22,浪速高校,近畿大学,浪速高等学校 近畿大学,A,11,https://league-one.jp/player/484207,,,,,,25/26 Japan Rugby League One - Division 2 (3G) -> 24/25 Japan Rugby League One - Division 2 (10G/3T)
Daichi Sato,佐藤 大地,LO,清水建設江東ブルーシャークス（2025-26）,185,103,2003.01.26,22,國學院栃木高校,明治大学,國學院栃木高等学校 明治大学,A,2,https://league-one.jp/player/484208,,,,,,25/26 Japan Rugby League One - Division 2 (6G)
