闍ｱ隱槫錐,驕ｸ謇句錐,繝昴ず繧ｷ繝ｧ繝ｳ,謇螻槭メ繝ｼ繝,霄ｫ髟ｷ,菴馴㍾,逕溷ｹｴ譛域律,蟷ｴ鮨｢,鬮俶｡,螟ｧ蟄ｦ,蜃ｺ霄ｫ譬｡繝ｻ繝√ｼ繝豁ｴ(蜈ｨ譁),繧ｫ繝ざ繝ｪ,繝ｪ繝ｼ繧ｰ繝ｯ繝ｳ繧ｭ繝｣繝謨ｰ,URL,Text_Detail,繧ｭ繝｣繝ｪ繧｢驕肴ｭｴ,莉｣陦ｨ繧ｭ繝｣繝謨ｰ,International_Caps,Scraped_Url
Kim Kihyun,繧ｭ繝 繝ｻ繧ｮ繝偵Ι繝ｳ,FL,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,180,97,2001.02.09,24,繧ｽ繧ｦ繝ｫ螟ｧ蟄ｦ髯ｱ樣ｫ倡ｭ牙ｭｦ譬｡,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,繧ｽ繧ｦ繝ｫ螟ｧ蟄ｦ髯ｱ樣ｫ倡ｭ牙ｭｦ譬｡ 豬夂ｵ梧ｸ亥､ｧ蟄ｦ,A,9,https://league-one.jp/player/483688,,,,,
Takumi Takeshita,遶ｹ荳 諡灘ｷｱ,FB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,178,88,2000.07.17,25,譚ｱ遖丞ｲ｡鬮俶｡,莠ｬ驛ｽ逕｣讌ｭ螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡ 莠ｬ驛ｽ逕｣讌ｭ,A,2,https://league-one.jp/player/483689,,,,,
Yusaku Kanda,逾樒伐 謔菴,SH,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,170,80,1999.03.08,26,譚ｱ遲鷹ｫ俶｡,譚ｱ豢句､ｧ蟄ｦ,譚ｱ遲 譚ｱ豢,A,18,https://league-one.jp/player/483690,,,,,
Keisuke Yamazoe,螻ｱ豺ｻ 蝨ｭ逾,HO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,177,102,2000.07.01,25,髟ｷ蟠主圏髯ｽ蜿ｰ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,髟ｷ蟠主圏髯ｽ蜿ｰ 蟶昜ｺｬ,A,20,https://league-one.jp/player/483691,,,'18 鬮俶｡,,
Colby Faingaa,繧ｳ繝ｫ繝薙ｼ 繝ｻ繝輔ぃ繧､繝ｳ繧ｬ繧｢,FL,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,185,102,1991.03.31,34,繧ｻ繝ｳ繝医ｻ繧ｨ繝峨繝ｳ繧ｺ繝ｻ繧ｫ繝ｬ繝ず,,繧ｻ繝ｳ繝医ｻ繧ｨ繝峨繝ｳ繧ｺ繝ｻ繧ｫ繝ｬ繝ず,B,37,https://league-one.jp/player/483692,,,,,
Akihito Yamada,螻ｱ逕ｰ 遶莉,WTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,180,80,1985.07.26,40,蟆丞蛾ｫ俶｡,諷ｶ諛臥ｾｩ蝪ｾ螟ｧ蟄ｦ,蟆丞 諷ｶ諛臥ｾｩ蝪ｾ,A,28,https://league-one.jp/player/483693,,,譌･譛ｬ莉｣陦ｨ25CAP,,
Samuel Nozomu Faialaga,繝輔ぃ繧､繧｢繝ｩ繧ｬ 譛帙し繝繧ｨ繝ｫ,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,176,113,1998.07.03,27,蟶ｸ鄙泌ｭｦ蝨帝ｫ俶｡,蜷悟ｿ礼､ｾ螟ｧ螟ｧ蟄ｦ,蟶ｸ鄙泌ｭｦ蝨 蜷悟ｿ礼､ｾ螟ｧ,A,47,https://league-one.jp/player/483694,,,,,
Yasuo Saruwatari,迪ｿ貂｡ 蠎ｷ髮,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,181,118,1990.09.28,35,闕貞ｰｾ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,闕貞ｰｾ 蟶昜ｺｬ,A,39,https://league-one.jp/player/483695,,,,,
Shunta Takenouchi,遶ｹ繝主 鬧ｿ螟ｪ,SH,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,170,78,1999.12.27,26,髟ｷ蟠主漉螻ｱ鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,髟ｷ蟠主漉螻ｱ 譏取ｲｻ,A,38,https://league-one.jp/player/483696,,,,,
Ray Tatafu,繝ｬ繧､ 繝ｻ繧ｿ繧ｿ繝,LO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,195,119,1995.02.14,30,繧ｪ繝阪ヵ繝ｳ繧ｬ繝上う繧ｹ繧ｯ繝ｼ繝ｫ鬮俶｡,繧ｪ繝ｼ繧ｯ繝ｩ繝ｳ繝牙ｷ･遘大､ｧ蟄ｦ,繧ｪ繝阪ヵ繝ｳ繧ｬ繝上う繧ｹ繧ｯ繝ｼ繝ｫ 繧ｪ繝ｼ繧ｯ繝ｩ繝ｳ繝牙ｷ･遘,A,41,https://league-one.jp/player/483697,,,,,
Hayato Yoshida,蜷臥伐 髫ｼ莠ｺ,HO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,172,93,1997.03.05,28,髟ｷ蟠主圏髯ｽ蜿ｰ鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,髟ｷ蟠主圏髯ｽ蜿ｰ 遲第ｳ｢,A,12,https://league-one.jp/player/483698,,,,,
Yuki Yamada,螻ｱ逕ｰ 譛画ｨｹ,FL,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,180,94,1994.06.18,31,蟶ｸ鄙泌ｭｦ蝨帝ｫ俶｡,蜷悟ｿ礼､ｾ螟ｧ蟄ｦ,蟶ｸ鄙泌ｭｦ蝨 蜷悟ｿ礼､ｾ,A,33,https://league-one.jp/player/483699,,,,,
Shogo Matsushita,譚ｾ荳 蠖ｰ蜷ｾ,SO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,177,86,1991.01.12,34,遖丞ｲ｡鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,遖丞ｲ｡ 遲第ｳ｢,A,16,https://league-one.jp/player/483700,,,,,
Keito Honda,譛ｬ逕ｰ 菴ｳ莠ｺ,FB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,180,85,1996.11.25,29,螟ｧ蛻寇蝓主床鬮俶｡,譚ｱ豬ｷ螟ｧ蟄ｦ,螟ｧ蛻寇蝓主床 譚ｱ豬ｷ,A,10,https://league-one.jp/player/483701,,,,,
Kenji Hayata,譌ｩ逕ｰ 蛛･莠,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,175,83,1987.05.26,38,螟ｧ蛻鮓ｴ鬮俶｡,譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,螟ｧ蛻鮓ｴ 譌ｩ遞ｲ逕ｰ,A,13,https://league-one.jp/player/483702,,,'05 鬮俶｡,,
Ren Hagiwara,關ｩ蜴 闢ｮ,WTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,171,85,1996.05.06,29,譚ｱ遖丞ｲ｡鬮俶｡,豕墓帆螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡ 豕墓帆,A,43,https://league-one.jp/player/483703,,,,,
Noriaki Nakazuru,荳ｭ縺･繧,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,181,94,1989.05.03,36,遖丞ｲ｡鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,遖丞ｲ｡ 遲第ｳ｢,A,22,https://league-one.jp/player/483704,,,'13 U23,,
Ken Nakashima,荳ｭ蟲ｶ 隰,FL,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,183,95,1997.04.14,28,遖丞ｲ｡鬮俶｡,鮖ｿ蜈仙ｳｶ螟ｧ蟄ｦ,遖丞ｲ｡ 鮖ｿ蜈仙ｳｶ,A,18,https://league-one.jp/player/483705,,,,,
Kotaro Nakao,荳ｭ蟆ｾ 蠎ｷ螟ｪ驛,SH,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,177,78,1992.05.28,33,遖丞ｲ｡鬮俶｡,譌ｩ遞ｲ逕ｰ螟ｧ蟄ｦ,遖丞ｲ｡ 譌ｩ遞ｲ逕ｰ,A,7,https://league-one.jp/player/483706,,,,,
Kazuto Tokunaga,蠕ｳ豌ｸ 荳譁,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,181,117,1993.04.08,32,菴占ｳ蟾･讌ｭ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,菴占ｳ蟾･讌ｭ 蟶昜ｺｬ,A,35,https://league-one.jp/player/483707,,,,,
Naoki Takaya,鬮,WTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,176,80,1995.05.25,30,遖丞ｲ｡鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,遖丞ｲ｡ 遲第ｳ｢,A,18,https://league-one.jp/player/483708,,,,,
Michiro Takai,鬮倅ｺ 霑ｪ驛,FL,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,187,99,1989.12.13,36,螟ｧ蛻鮓ｴ鬮俶｡,譌･譛ｬ菴楢ご螟ｧ蟄ｦ,螟ｧ蛻鮓ｴ 譌･譛ｬ菴楢ご,A,19,https://league-one.jp/player/483709,,,'08 U20,,
Yoshihiro Sononaka,蝨剃ｸｭ 濶ｯ蟇,LO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,190,103,1991.03.22,34,蜉豐ｻ譛ｨ鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,蜉豐ｻ譛ｨ 遲第ｳ｢,A,8,https://league-one.jp/player/483710,,,,,
Goki Saito,鮨願陸 蜑帛ｸ,WTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,174,85,1993.11.17,32,遲醍ｴｫ鬮俶｡,譏取ｲｻ螟ｧ蟄ｦ,遲醍ｴｫ 譏取ｲｻ,A,6,https://league-one.jp/player/483711,,,,,
Hayato Kojo,蜿､蝓 髫ｼ莠ｺ,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,175,88,1996.05.22,29,菫ｮ迪ｷ鬢ｨ鬮俶｡,蜷悟ｿ礼､ｾ螟ｧ蟄ｦ,菫ｮ迪ｷ鬢ｨ 蜷悟ｿ礼､ｾ,A,27,https://league-one.jp/player/483712,,,,,
Takehiro Kitsuki,譛ｨ莉 荳亥忽,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,185,111,1994.11.15,31,闕貞ｰｾ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,闕貞ｰｾ 蟶昜ｺｬ,A,0,https://league-one.jp/player/483713,,,,,
Shimpei Kamata,骼檎伐 諷主ｹｳ,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,179,105,1997.09.07,28,譚ｱ遖丞ｲ｡鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡ 遲第ｳ｢,A,28,https://league-one.jp/player/483714,,,'17 U20,,
Shuma Kanayama,驥大ｱｱ 菫ｮ逵,LO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,183,100,1994.04.17,31,豬夂ｵ梧ｸ亥､ｧ譟城ｫ俶｡,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,豬∫ｵ悟､ｧ譟 豬夂ｵ梧ｸ,A,8,https://league-one.jp/player/483715,,,,,
Masaya Kanado,驥大 逵槫ｼ･,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,180,88,1998.12.13,27,諷ｶ諛臥ｾｩ蝪ｾ鬮俶｡,蝓主漉螟ｧ蟄ｦ,諷ｶ諛臥ｾｩ蝪ｾ 蝓主漉,A,6,https://league-one.jp/player/483716,,,,,
Makoto Kato,蜉阯､ 隱螟ｮ,FB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,177,87,1990.08.01,35,關ｩ蝠ｷ･讌ｭ鬮俶｡,遖丞ｲ｡螟ｧ蟄ｦ,關ｩ蝠ｷ･ 遖丞ｲ｡,A,25,https://league-one.jp/player/483717,,,,,
Ryosuke Kagoshima,鮖ｿ蟄仙ｳｶ 濶ｯ霈,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,171,101,1995.09.25,30,霈晉ｿ秘､ｨ荳ｭ遲画蕗閧ｲ鬮俶｡,豬夂ｵ梧ｸ亥､ｧ蟄ｦ,霈晉ｿ秘､ｨ荳ｭ遲画蕗閧ｲ 豬夂ｵ梧ｸ,A,13,https://league-one.jp/player/483718,,,,,
Alex Takuya Walker,繧ｦ繧ｩ繝ｼ繧ｫ繝ｼ 繧｢繝ｬ繝け繧ｹ諡謎ｹ,,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,184,103,1998.02.19,27,譚ｱ遖丞ｲ｡鬮俶｡,豕墓帆螟ｧ蟄ｦ,譚ｱ遖丞ｲ｡ 豕墓帆,A,43,https://league-one.jp/player/483719,,,,,
Kiichi Uezato,荳企㈹ 雋ｴ荳,SO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,176,84,1997.01.25,28,蜷崎ｭｷ鬮俶｡,譛晄律螟ｧ蟄ｦ,蜷崎ｭｷ 譛晄律,A,15,https://league-one.jp/player/483720,,,,,
Yasunari Isoda,逎ｯ逕ｰ 豕ｰ謌,WTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,173,75,1992.11.20,33,蟒ｶ蟯｡譏滄峇鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,蟒ｶ蟯｡譏滄峇 蟶昜ｺｬ,A,26,https://league-one.jp/player/483721,,,,,
Tomotaka Ishimatsu,遏ｳ譚ｾ 螟ｧ遨ｺ,LO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,193,105,1997.09.11,28,譏主埋鬮俶｡,遲第ｳ｢螟ｧ蟄ｦ,譏主埋 遲第ｳ｢,A,25,https://league-one.jp/player/483722,,,,,
Kyungmun Wang,邇 髀｡閨,HO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,175,100,1991.09.12,34,譛晄鬮俶｡,螟ｧ髦ｪ菴楢ご螟ｧ蟄ｦ,譛晄 螟ｧ髦ｪ菴楢ご,A,35,https://league-one.jp/player/483723,,,,,
Sean Robinson,繧ｷ繝ｧ繝ｼ繝ｳ 繝ｻ繝ｭ繝薙Φ繧ｽ繝ｳ,LO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,197,110,1991.02.08,34,繧ｭ繝ｳ繧ｰ繧ｹ繧ｹ繧ｯ繝ｼ繝ｫ繧ｦ繝ｼ繧ｹ繧ｿ繝ｼ鬮俶｡,繝繝ｩ繝螟ｧ蟄ｦ,繧ｭ繝ｳ繧ｰ繧ｹ繧ｹ繧ｯ繝ｼ繝ｫ繧ｦ繝ｼ繧ｹ繧ｿ繝ｼ 繝繝ｩ繝,B,19,https://league-one.jp/player/483724,,,,,
Aaron Carroll,繧｢繝ｼ繝ｭ繝ｳ 繝ｻ繧ｭ繝｣繝ｭ繝ｫ,LO,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,193,108,1993.10.11,32,繧ｿ繧ｦ繝ｩ繝ｳ繧ｬ繝懊ｼ繧､繧ｺ繧ｫ繝ｬ繝ず,,繧ｿ繧ｦ繝ｩ繝ｳ繧ｬ繝懊ｼ繧､繧ｺ繧ｫ繝ｬ繝ず,B,20,https://league-one.jp/player/483725,,,,,
Charlie Worthington,繝√Ε繝ｼ繝ｪ繝ｼ 繝ｻ繝ｯ繝ｼ繧ｸ繝ｳ繝医Φ,FB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,178,88,2003.06.06,22,繧ｦ繧ｧ繝ｼ繝舌Μ繝ｼ鬮俶｡,,繧ｦ繧ｧ繝ｼ繝舌Μ繝ｼ,B,14,https://league-one.jp/player/483726,,,,,
Kosuke Oike,蟆ｾ豎 莠ｨ蜈,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,183,112,1993.08.18,32,譌･蜷鷹ｫ俶｡,髢｢隘ｿ螟ｧ蟄ｦ,譌･蜷 髢｢隘ｿ,A,34,https://league-one.jp/player/483727,,,,,
Spencer Jeans,繧ｹ繝壹Φ繧ｵ繝ｼ 繝ｻ繧ｸ繝ｼ繝ｳ繧ｺ,SH,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,175,80,2000.10.19,25,TheSouthPortSchool鬮俶｡,,TheSouthPortSchool,B,13,https://league-one.jp/player/483728,,,,,
Taro Uesugi,荳頑揄 螟ｪ驛,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,176,113,2001.12.30,24,辭頑悽隘ｿ鬮俶｡,蟶昜ｺｬ螟ｧ蟄ｦ,辭頑悽隘ｿ 蟶昜ｺｬ,A,12,https://league-one.jp/player/483729,,,,,
Riki Takebe,遶ｹ驛ｨ 蜉,PR,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,185,110,2002.02.09,23,螟ｧ蛻鮓ｴ鬮俶｡,豕墓帆螟ｧ蟄ｦ,螟ｧ蛻鮓ｴ 豕墓帆,A,3,https://league-one.jp/player/483730,,,,,
Shimpei Fukada,豺ｱ逕ｰ 譎句ｹｳ,CTB,荵晏ｷ樣崕蜉帙く繝･繝ｼ繝Φ繝ｴ繧ｩ繝ｫ繝け繧ｹｼ2025-26ｼ,184,92,2001.10.01,24,遖丞ｲ｡蟾･讌ｭ鬮俶｡,遖丞ｲ｡螟ｧ蟄ｦ,遖丞ｲ｡蟾･讌ｭ 遖丞ｲ｡,A,0,https://league-one.jp/player/483731,,,,,
Harrison Goddard,繝上Μ繧ｽ繝ｳ 繝ｻ繧ｴ繝繝ｼ繝,SH,貂⒧ｰｴ蟒ｺ險ｭ豎滓擲繝悶Ν繝ｼ繧ｷ繝｣繝ｼ繧ｯ繧ｹｼ2025-26ｼ,183,83,1998.04.08,27,OakhillCollege鬮俶｡,,OakhillCollege,C,1,https://league-one.jp/player/484200,,,,,
Cameron Bailey,繧ｭ繝｣繝｡繝ｭ繝ｳ 繝ｻ繝吶う繝ｪ繝ｼ,FB,貂⒧ｰｴ蟒ｺ險ｭ豎滓擲繝悶Ν繝ｼ繧ｷ繝｣繝ｼ繧ｯ繧ｹｼ2025-26ｼ,191,100,1996.02.21,29,AtAndrew窶冱College鬮俶｡,,AtAndrew窶冱College,A,33,https://league-one.jp/player/484201,,,,,
Maritino Nemani,繝槭Μ繝ぅ繝 繝ｻ繝阪繝,CTB,貂⒧ｰｴ蟒ｺ險ｭ豎滓擲繝悶Ν繝ｼ繧ｷ繝｣繝ｼ繧ｯ繧ｹｼ2025-26ｼ,181,104,1991.05.24,34,SacredHeartCollege鬮俶｡,,SacredHeartCollege,A,35,https://league-one.jp/player/484202,,,,,
