=== Missing Nationality Report ===
Total: 3834

Name: Hiroki Kumoyama (雲山 弘貴) | Team: 花園近鉄ライナーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484534
Name: Kengo Kitagawa (北川 賢吾) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483780
Name: Tomoaki Ishii (石井 智亮) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484738
Name: Lood de Jager (ルード デヤハー) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484040
Name: Kota Mitake (三竹 康太) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484863
Name: Sho Furuhata (古畑 翔) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484058
Name: Koki Takeyama (竹山 晃暉) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484060
Name: Shogo Nakano (中野 将伍) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484322
Name: DJ Kashima (加島 DJ) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484734
Name: MIFIPOSETI PAEA (パエア ミフィポセチ) | Team: レッドハリケーンズ大阪（2025-26） (league-one) | URL: https://league-one.jp/player/485002
Name: Masato Furukawa (古川 聖人) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484822
Name: Haruto Kida (木田 晴斗) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483750
Name: Kippei Ishida (石田 吉平) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484853
Name: Sena Kimura (木村 星南) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484355
Name: Shuhei Yamaguchi (山口 修平) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485516
Name: Yoshitaka Tokunaga (徳永 祥尭) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484369
Name: Sanshiro Kihara (木原 三四郎) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485912
Name: Ryuta Yasui (安井 龍太) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484839
Name: koki Miyasaka (宮坂 航生) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484713
Name: Yota Kamimori (紙森 陽太) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483754
Name: Jone Nabetelevu (ジョネ ナベテレヴ) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485369
Name: Atsushi Hiwasa (日和佐 篤) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483956
Name: Ryosuke Iwaihara (祝原 涼介) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484849
Name: Toshiki Kuwayama (桑山 聖生) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484360
Name: Franco Mostert (フランコ モスタート) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484701
Name: Damian de Allende (ダミアン デアレンデ) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484041
Name: Waisake Raratubua (ワイサケ ララトゥブア) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483968
Name: Yuya Odo (大戸 裕矢) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484181
Name: Takuya Kitade (北出 卓也) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483946
Name: Sam Slade (サム スレイド) | Team: 狭山セコムラガッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484082
Name: Jack Cornelsen (ジャック コーネルセン) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/485708
Name: Seijun Kawasaki (川崎 清純) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484044
Name: Hondo Atora (本堂 杏虎) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484050
Name: Hiroshi Yamashita (山下 裕史) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483967
Name: Kyohei Yamasawa (山沢 京平) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484051
Name: Tomoki Osada (長田 智希) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484045
Name: Shinnosuke Kakinaga (垣永 真之介) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484336
Name: Takahiro Ogawa (小川 高廣) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484368
Name: Shogo Miura (三浦 昌悟) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484471
Name: Tatsuhiko Tsurukawa (鶴川 達彦) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484705
Name: Tomohito Miyakawa (宮川 智海) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484065
Name: Shodai Hirao (平生 翔大) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485713
Name: Koji Iino (飯野 晃司) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484331
Name: Michael Leitch (リーチ マイケル) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484358
Name: Ryoto Nakamura (中村 亮土) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484324
Name: Kohei Horigome (堀米 航平) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484898
Name: Soonhong Lee (李 淳弘) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484860
Name: Manie Libbok (マニー リボック) | Team: 花園近鉄ライナーズ（2025-26） (league-one) | URL: https://league-one.jp/player/486517
Name: Kan Nakano (中野 幹) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484335
Name: Takuro Matsunaga (松永 拓朗) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484365
Name: Daiki Sato (佐藤 大樹) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483512
Name: Futo Yamaguchi (山口 楓斗) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484165
Name: Toui Kai (甲斐 登生) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483746
Name: Taiki Koyama (小山 大輝) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484063
Name: Taiki Fujii (藤井 大喜) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484054
Name: Hideto Niguma (仁熊 秀斗) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484321
Name: Kenji Sato (佐藤 健次) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484033
Name: DOGA MAEDA (前田 土芽) | Team: ルリーロ福岡（2025-26） (league-one) | URL: https://league-one.jp/player/484947
Name: Hinata Takei (武井 日向) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484889
Name: Takeshi Hino (日野 剛志) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484184
Name: Kazuma Ueda (植田 和磨) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483933
Name: Shinsuke Iseki (井関 信介) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483949
Name: Shoma Makinouchi (牧野内 翔馬) | Team: 花園近鉄ライナーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484528
Name: Genki Sudou (須藤 元樹) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483476
Name: Shota Emi (江見 翔太) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484325
Name: Shohei Oyama (大山 祥平) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484876
Name: Ryosuke Kawase (河瀬 諒介) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484316
Name: Yasuaki Katakura (片倉 康瑛) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484330
Name: Yuki Ikeda (池田 悠希) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484880
Name: Takuya Yamasawa (山沢 拓也) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484064
Name: Yasue Yoshimitsu (安江 祥光) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483732
Name: Kotaro Hosoki (細木 康太郎) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484318
Name: Tyler Paul (タイラー ポール) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/485518
Name: Daiki Nakajima (中嶋 大希) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483954
Name: Craig Millar (クレイグ ミラー) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484070
Name: Ougi Yanamoto (梁本 旺義) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483744
Name: Yusuke Kizu (木津 悠輔) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484470
Name: Rento Tsukayama (津嘉山 廉人) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484731
Name: Ryunosuke Momoji (百地 龍之介) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484459
Name: Kaito Doichi (土一 海人) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484807
Name: Akito Okui (奥井 章仁) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485370
Name: Yukio Morikawa (森川 由起乙) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484337
Name: Taishiro Kido (木戸 大士郎) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484346
Name: Ryuga Hashimoto (箸本 龍雅) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484329
Name: Kanzo Schinckel (シンクル 寛造) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484736
Name: Michiro Takai (高井 迪郎) | Team: 九州電力キューデンヴォルテクス（2025-26） (league-one) | URL: https://league-one.jp/player/483709
Name: Yoshiyuki Koga (古賀 由教) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484882
Name: Shunsuke Nunomaki (布巻 峻介) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484068
Name: Jiwon Gu (具 智元) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483964
Name: Rakuhei Yamashita (山下 楽平) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484664
Name: Rintaro Maruyama (丸山 凜太朗) | Team: 花園近鉄ライナーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484536
Name: Shu Yamamoto (山本 秀) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484878
Name: Ryuji Noguchi (野口 竜司) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484062
Name: Eito Maki (槇 瑛人) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484160
Name: Kyo Yoshida (吉田 杏) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484752
Name: Kazuma Shimane (島根 一磨) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484059
Name: Keisuke Yamazoe (山添 圭祐) | Team: 九州電力キューデンヴォルテクス（2025-26） (league-one) | URL: https://league-one.jp/player/483691
Name: Timo Sufia (ティモ スフィア) | Team: 花園近鉄ライナーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484535
Name: Towa Taniguchi (谷口 永遠) | Team: 日野レッドドルフィンズ（2025-26） (league-one) | URL: https://league-one.jp/player/484583
Name: Sena Hosoya (細矢 聖樹) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484152
Name: Timothy Lafaele (ラファエレ ティモシー) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483952
Name: Sho Maeda (前田 翔) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483948
Name: Issa Yamakawa (山川 一瑳) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484455
Name: Ataata Moeakiola (アタアタ モエアキオラ) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483950
Name: Kanji Shimokawa (下川 甲嗣) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485716
Name: Yutaka Nagare (流 大) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484327
Name: Kazufumi Yamasuga (山菅 一史) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484833
Name: Aseri Masivou (アセリ マシヴォウ) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484665
Name: Tomu Takamoto (高本 とむ) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484906
Name: Taisei Konishi (小西 泰聖) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483493
Name: Taishi Nakamura (中村 大志) | Team: 豊田自動織機シャトルズ愛知（2025-26） (league-one) | URL: https://league-one.jp/player/484431
Name: Paddy Ryan (パディー ライアン) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484868
Name: Masataka Mikami (三上 正貴) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484377
Name: Yoshikatsu Hikosaka (彦坂 圭克) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484468
Name: Chihiro Matsuyama (松山 千大) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485511
Name: Shohei Ito (伊藤 鐘平) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/485501
Name: Solomone Funaki (ソロモネ フナキ) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483931
Name: Taiga Ishida (石田 大河) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483505
Name: Taichi Takahashi (高橋 汰地) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484460
Name: Jone Naikabula (ジョネ ナイカブラ) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484356
Name: Rikiya Matsuda (松田 力也) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484454
Name: Shohei Toyoshima (豊島 翔平) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484361
Name: Isileli Nakajima (中島 イシレリ) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483966
Name: Kazuki Himeno (姫野 和樹) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/484466
Name: Changho Ahn (安 昌豪) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484729
Name: Kosuke Horikoshi (堀越 康介) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484334
Name: Tomoya Yamamura (山村 知也) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484886
Name: Ippei Okada (岡田 一平) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483770
Name: Futoshi Mori (森 太志) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484374
Name: Yusuke Niwai (庭井 祐輔) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484844
Name: Tiennan Costley (ティエナン コストリー) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483942
Name: Shinobu Fujiwara (藤原 忍) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/485500
Name: Ryohei Yamanaka (山中 亮平) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483477
Name: Kyosuke Horie (堀江 恭佑) | Team: 日野レッドドルフィンズ（2025-26） (league-one) | URL: https://league-one.jp/player/484593
Name: Ichigo Nakakusu (中楠 一期) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484871
Name: Hironori Yatomi (矢富 洋則) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484171
Name: Atsushi Oshikawa (押川 敦治) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483751
Name: Jesse Kriel (ジェシー クリエル) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484842
Name: Kippei Taninaka (谷中 樹平) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485509
Name: Anton Lienert-Brown (アントン レイナートブラウン) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/488118
Name: Taishi Tsumura (津村 大志) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484907
Name: Sione Lavemai (シオネ ラベマイ) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484812
Name: Heiichiro Ito (伊藤 平一郎) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484188
Name: Daichi Akiyama (秋山 大地) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484811
Name: Takemichi Nakano (中野 剛通) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485514
Name: Gerhard van den Heever (ゲラード ファンデンヒーファー) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483759
Name: Samu Kerevi (サム ケレビ) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483519
Name: Malgene Ilaua (マルジーン イラウア) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484176
Name: Haruhiko Uemura (植村 陽彦) | Team: 三重ホンダヒート（2025-26） (league-one) | URL: https://league-one.jp/player/484687
Name: Kenta Matsuoka (松岡 賢太) | Team: コベルコ神戸スティーラーズ（2025-26） (league-one) | URL: https://league-one.jp/player/483962
Name: Yu Chinen (知念 雄) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484808
Name: Ryosuke Funahashi (舟橋 諒将) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484175
Name: Yuichiro Wada (和田 悠一郎) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/485512
Name: Tevita Tatafu (テビタ タタフ) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/484297
Name: Kenta Kobayashi (小林 賢太) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485715
Name: Yu Tamura (田村 優) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484843
Name: Yuta Akihama (秋濱 悠太) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484862
Name: Kenta Fukuda (福田 健太) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485714
Name: Asahi Doei (土永 旭) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484817
Name: Uwe Helu (ヘル ウヴェ) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483488
Name: Yuya Hirose (廣瀬 雄也) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483785
Name: Kotaro Ito (伊藤 耕太郎) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484904
Name: Yuto Mori (森 勇登) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484814
Name: Eishin Kuwano (桑野 詠真) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484180
Name: Riki Sugihara (杉原 立樹) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484174
Name: Shin Takeuchi (武内 慎) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483494
Name: Yu Saruta (猿田 湧) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484834
Name: Shokei Kin (金 正奎) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483511
Name: Shuntaro Kitamura (北村 瞬太郎) | Team: 静岡ブルーレヴズ（2025-26） (league-one) | URL: https://league-one.jp/player/484194
Name: AsaeliAi Valu (ヴァル アサエリ愛) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484072
Name: Kanji Futamura (二村 莞司) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483743
Name: Takuhei Yasuda (安田 卓平) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483506
Name: Chihito Matsui (松井 千士) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484837
Name: Keijiro Tamefusa (為房 慶次朗) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/486437
Name: Shinya Komura (小村 真也) | Team: トヨタヴェルブリッツ（2025-26） (league-one) | URL: https://league-one.jp/player/486439
Name: Jasper Wiese (ヤスパー ヴィーセ) | Team: 浦安D-Rocks（2025-26） (league-one) | URL: https://league-one.jp/player/483487
Name: Takato Okabe (岡部 崇人) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484847
Name: Harry Hockings (ハリー ホッキングス) | Team: 東京サントリーサンゴリアス（2025-26） (league-one) | URL: https://league-one.jp/player/485719
Name: Yuji Chae (蔡 唯志) | Team: 三菱重工相模原ダイナボアーズ（2025-26） (league-one) | URL: https://league-one.jp/player/484726
Name: Kota Kaishi (海士 広大) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483768
Name: Masayoshi Takezawa (竹澤 正祥) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484831
Name: Richie Mounga (リッチー モウンガ) | Team: 東芝ブレイブルーパス東京（2025-26） (league-one) | URL: https://league-one.jp/player/484382
Name: Rikiya Oishi (大石 力也) | Team: ヤクルトレビンズ戸田（2025-26） (league-one) | URL: https://league-one.jp/player/484777
Name: Keita Inagaki (稲垣 啓太) | Team: 埼玉パナソニックワイルドナイツ（2025-26） (league-one) | URL: https://league-one.jp/player/484071
Name: Otoya Kihara (木原 音弥) | Team: リコーブラックラムズ東京（2025-26） (league-one) | URL: https://league-one.jp/player/484901
Name: Hayate Era (江良 颯) | Team: クボタスピアーズ船橋・東京ベイ（2025-26） (league-one) | URL: https://league-one.jp/player/483786
Name: Yusuke Kajimura (梶村 祐介) | Team: 横浜キヤノンイーグルス（2025-26） (league-one) | URL: https://league-one.jp/player/484832
