英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Kim Kihyun,キム ・ギヒョン,FL,九州電力キューデンヴォルテクス（2025-26）,180,97,2001.02.09,24,ソウル大学附属高校,流通経済大学,ソウル大学附属高等学校 流通経済大学,A,9,https://league-one.jp/player/483688,,,,,,Kyūshu Kyuden Voltex (2023 - 2026)
Takumi Takeshita,竹下 拓己,FB,九州電力キューデンヴォルテクス（2025-26）,178,88,2000.07.17,25,東福岡高校,京都産業大学,東福岡 京都産業,A,2,https://league-one.jp/player/483689,,,,,,Kyūshu Kyuden Voltex (2023 - 2025)
Yusaku Kanda,神田 悠作,SH,九州電力キューデンヴォルテクス（2025-26）,170,80,1999.03.08,26,東筑高校,東洋大学,東筑 東洋,A,18,https://league-one.jp/player/483690,,,,,,Kyūshu Kyuden Voltex (2023 - 2026)
Keisuke Yamazoe,山添 圭祐,HO,九州電力キューデンヴォルテクス（2025-26）,177,102,2000.07.01,25,長崎北陽台高校,帝京大学,長崎北陽台 帝京,A,20,https://league-one.jp/player/483691,,,高校('18),,,Kyūshu Kyuden Voltex (2023 - 2026)
Colby Faingaa,コルビー ・ファインガア,FL,九州電力キューデンヴォルテクス（2025-26）,185,102,1991.03.31,34,セント・エドマンズ・カレッジ,,セント・エドマンズ・カレッジ,B,37,https://league-one.jp/player/483692,,,,,,Not Found
Akihito Yamada,山田 章仁,WTB,九州電力キューデンヴォルテクス（2025-26）,180,80,1985.07.26,40,小倉高校,慶應義塾大学,小倉 慶應義塾,A,28,https://league-one.jp/player/483693,,,セブンズ日本(7)、日本代表(25),,,Kyūshu Kyuden Voltex (2022 - 2026) -> Urayasu D-Rocks (2021 - 2022) -> Seattle Seawolves (2020 - 2021) -> Urayasu D-Rocks (2019 - 2020) -> Sunwolves (2015 - 2019)
Samuel Nozomu Faialaga,ファイアラガ 望サムエル,PR,九州電力キューデンヴォルテクス（2025-26）,176,113,1998.07.03,27,常翔学園高校,同志社大大学,常翔学園 同志社大,A,47,https://league-one.jp/player/483694,,,,,,Kyūshu Kyuden Voltex (2022 - 2026) -> Munakata Sanix Blues (2021 - 2022)
Yasuo Saruwatari,猿渡 康雄,PR,九州電力キューデンヴォルテクス（2025-26）,181,118,1990.09.28,35,荒尾高校,帝京大学,荒尾 帝京,A,39,https://league-one.jp/player/483695,,,,,,Kyūshu Kyuden Voltex (2022 - 2026) -> Munakata Sanix Blues (2021 - 2022)
Shunta Takenouchi,竹ノ内 駿太,SH,九州電力キューデンヴォルテクス（2025-26）,170,78,1999.12.27,26,長崎南山高校,明治大学,長崎南山 明治,A,38,https://league-one.jp/player/483696,,,,,,Kyūshu Kyuden Voltex (2022 - 2026)
Ray Tatafu,レイ ・タタフ,LO,九州電力キューデンヴォルテクス（2025-26）,195,119,1995.02.14,30,オネフンガハイスクール,オークランド工科大学,オネフンガハイスクール オークランド工科,A,41,https://league-one.jp/player/483697,,,,,,Kyūshu Kyuden Voltex (2021 - 2026) -> Counties Manukau Steelers (2020 - 2021) -> Southland Stags (2017 - 2020)
Hayato Yoshida,吉田 隼人,HO,九州電力キューデンヴォルテクス（2025-26）,172,93,1997.03.05,28,長崎北陽台高校,筑波大学,長崎北陽台 筑波,A,12,https://league-one.jp/player/483698,,,,,,Kyūshu Kyuden Voltex (2022 - 2026)
Yuki Yamada,山田 有樹,FL,九州電力キューデンヴォルテクス（2025-26）,180,94,1994.06.18,31,常翔学園高校,同志社大学,常翔学園 同志社,A,33,https://league-one.jp/player/483699,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Shogo Matsushita,松下 彰吾,SO,九州電力キューデンヴォルテクス（2025-26）,177,86,1991.01.12,34,福岡高校,筑波大学,福岡 筑波,A,16,https://league-one.jp/player/483700,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Keito Honda,本田 佳人,FB,九州電力キューデンヴォルテクス（2025-26）,180,85,1996.11.25,29,大分雄城台高校,東海大学,大分雄城台 東海,A,10,https://league-one.jp/player/483701,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Kenji Hayata,早田 健二,CTB,九州電力キューデンヴォルテクス（2025-26）,175,83,1987.05.26,38,大分舞鶴高校,早稲田大学,大分舞鶴 早稲田,A,13,https://league-one.jp/player/483702,,,高校('05),,,Kyūshu Kyuden Voltex (2021 - 2026)
Ren Hagiwara,萩原 蓮,WTB,九州電力キューデンヴォルテクス（2025-26）,171,85,1996.05.06,29,東福岡高校,法政大学,東福岡 法政,A,43,https://league-one.jp/player/483703,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Noriaki Nakazuru,中づる,CTB,九州電力キューデンヴォルテクス（2025-26）,181,94,1989.05.03,36,福岡高校,筑波大学,福岡 筑波,A,22,https://league-one.jp/player/483704,,,U23('13),,,Kyūshu Kyuden Voltex (2021 - 2026)
Ken Nakashima,中島 謙,FL,九州電力キューデンヴォルテクス（2025-26）,183,95,1997.04.14,28,福岡高校,鹿児島大学,福岡 鹿児島,A,18,https://league-one.jp/player/483705,,,,,,Kyūshu Kyuden Voltex (2022 - 2026)
Kotaro Nakao,中尾 康太郎,SH,九州電力キューデンヴォルテクス（2025-26）,177,78,1992.05.28,33,福岡高校,早稲田大学,福岡 早稲田,A,7,https://league-one.jp/player/483706,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Kazuto Tokunaga,徳永 一斗,PR,九州電力キューデンヴォルテクス（2025-26）,181,117,1993.04.08,32,佐賀工業高校,帝京大学,佐賀工業 帝京,A,35,https://league-one.jp/player/483707,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Naoki Takaya,高,WTB,九州電力キューデンヴォルテクス（2025-26）,176,80,1995.05.25,30,福岡高校,筑波大学,福岡 筑波,A,18,https://league-one.jp/player/483708,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Michiro Takai,高井 迪郎,FL,九州電力キューデンヴォルテクス（2025-26）,187,99,1989.12.13,36,大分舞鶴高校,日本体育大学,大分舞鶴 日本体育,A,19,https://league-one.jp/player/483709,,,U20('08)、セブンズ日本(1),,,Kyūshu Kyuden Voltex (2021 - 2026)
Yoshihiro Sononaka,園中 良寛,LO,九州電力キューデンヴォルテクス（2025-26）,190,103,1991.03.22,34,加治木高校,筑波大学,加治木 筑波,A,8,https://league-one.jp/player/483710,,,セブンズ日本(2),,,Kyūshu Kyuden Voltex (2021 - 2026)
Goki Saito,齊藤 剛希,WTB,九州電力キューデンヴォルテクス（2025-26）,174,85,1993.11.17,32,筑紫高校,明治大学,筑紫 明治,A,6,https://league-one.jp/player/483711,,,,,,Kyūshu Kyuden Voltex (2024 - 2026)
Hayato Kojo,古城 隼人,CTB,九州電力キューデンヴォルテクス（2025-26）,175,88,1996.05.22,29,修猷館高校,同志社大学,修猷館 同志社,A,27,https://league-one.jp/player/483712,,,,,,Kyūshu Kyuden Voltex (2022 - 2026)
Takehiro Kitsuki,木付 丈博,PR,九州電力キューデンヴォルテクス（2025-26）,185,111,1994.11.15,31,荒尾高校,帝京大学,荒尾 帝京,A,0,https://league-one.jp/player/483713,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Shimpei Kamata,鎌田 慎平,PR,九州電力キューデンヴォルテクス（2025-26）,179,105,1997.09.07,28,東福岡高校,筑波大学,東福岡 筑波,A,28,https://league-one.jp/player/483714,,,U20('17),,,Not Found
Shuma Kanayama,金山 修真,LO,九州電力キューデンヴォルテクス（2025-26）,183,100,1994.04.17,31,流通経済大柏高校,流通経済大学,流経大柏 流通経済,A,8,https://league-one.jp/player/483715,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Masaya Kanado,金堂 眞弥,CTB,九州電力キューデンヴォルテクス（2025-26）,180,88,1998.12.13,27,慶應義塾高校,城南大学,慶應義塾 城南,A,6,https://league-one.jp/player/483716,,,,,,Kyūshu Kyuden Voltex (2022 - 2026)
Makoto Kato,加藤 誠央,FB,九州電力キューデンヴォルテクス（2025-26）,177,87,1990.08.01,35,萩商工業高校,福岡大学,萩商工 福岡,A,25,https://league-one.jp/player/483717,,,セブンズ日本(4),,,Kyūshu Kyuden Voltex (2021 - 2026)
Ryosuke Kagoshima,鹿子島 良輔,PR,九州電力キューデンヴォルテクス（2025-26）,171,101,1995.09.25,30,輝翔館中等教育高校,流通経済大学,輝翔館中等教育 流通経済,A,13,https://league-one.jp/player/483718,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Alex Takuya Walker,ウォーカー アレックス拓也,No8,九州電力キューデンヴォルテクス（2025-26）,184,103,1998.02.19,27,東福岡高校,法政大学,東福岡 法政,A,43,https://league-one.jp/player/483719,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Kiichi Uezato,上里 貴一,SO,九州電力キューデンヴォルテクス（2025-26）,176,84,1997.01.25,28,名護高校,朝日大学,名護 朝日,A,15,https://league-one.jp/player/483720,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Yasunari Isoda,磯田 泰成,WTB,九州電力キューデンヴォルテクス（2025-26）,173,75,1992.11.20,33,延岡星雲高校,帝京大学,延岡星雲 帝京,A,26,https://league-one.jp/player/483721,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Tomotaka Ishimatsu,石松 大空,LO,九州電力キューデンヴォルテクス（2025-26）,193,105,1997.09.11,28,明善高校,筑波大学,明善 筑波,A,25,https://league-one.jp/player/483722,,,,,,Kyūshu Kyuden Voltex (2021 - 2026)
Kyungmun Wang,王 鏡聞,HO,九州電力キューデンヴォルテクス（2025-26）,175,100,1991.09.12,34,朝明高校,大阪体育大学,朝明 大阪体育,A,35,https://league-one.jp/player/483723,,,,,,Kyūshu Kyuden Voltex (2023 - 2026) -> Kobelco Kobe Steelers (2021 - 2023)
Sean Robinson,ショーン ・ロビンソン,LO,九州電力キューデンヴォルテクス（2025-26）,197,110,1991.02.08,34,キングススクールウースター,ダラム大学,キングススクールウースター ダラム,B,19,https://league-one.jp/player/483724,,,,,,Kyūshu Kyuden Voltex (2023 - 2026) -> Newcastle (2014 - 2023)
Aaron Carroll,アーロン ・キャロル,LO,九州電力キューデンヴォルテクス（2025-26）,193,108,1993.10.11,32,タウランガボーイズカレッジ,,タウランガボーイズカレッジ,B,20,https://league-one.jp/player/483725,,,,,,Kyūshu Kyuden Voltex (2023 - 2026) -> US Carcassonne (2021 - 2023) -> Bay of Plenty Steamers (2020 - 2021) -> Blues (2020 - 2020) -> Bay of Plenty Steamers (2019 - 2019) -> Blues (2019 - 2019) -> Bay of Plenty Steamers (2018 - 2019)
Charlie Worthington,チャーリー ・ワージントン,FB,九州電力キューデンヴォルテクス（2025-26）,178,88,2003.06.06,22,ウェーバリー,,ウェーバリー,B,14,https://league-one.jp/player/483726,,,,,,Kyūshu Kyuden Voltex (2023 - 2026)
Kosuke Oike,尾池 亨允,PR,九州電力キューデンヴォルテクス（2025-26）,183,112,1993.08.18,32,日向高校,関西大学,日向 関西,A,34,https://league-one.jp/player/483727,,,,,,Kyūshu Kyuden Voltex (2023 - 2026) -> Toyota Industries Shuttles Aichi (2022 - 2023) -> Kobelco Kobe Steelers (2021 - 2022)
Spencer Jeans,スペンサー ・ジーンズ,SH,九州電力キューデンヴォルテクス（2025-26）,175,80,2000.10.19,25,TheSouthPortSchool,,TheSouthPortSchool,B,13,https://league-one.jp/player/483728,,,,,,Kyūshu Kyuden Voltex (2023 - 2026) -> Queensland Reds (2021 - 2023) -> Bond University (2020 - 2021)
Taro Uesugi,上杉 太郎,PR,九州電力キューデンヴォルテクス（2025-26）,176,113,2001.12.30,24,熊本西高校,帝京大学,熊本西 帝京,A,12,https://league-one.jp/player/483729,,,,,,Kyūshu Kyuden Voltex (2024 - 2026)
Riki Takebe,竹部 力,PR,九州電力キューデンヴォルテクス（2025-26）,185,110,2002.02.09,23,大分舞鶴高校,法政大学,大分舞鶴 法政,A,3,https://league-one.jp/player/483730,,,,,,Kyūshu Kyuden Voltex (2024 - 2026)
Shimpei Fukada,深田 晋平,CTB,九州電力キューデンヴォルテクス（2025-26）,184,92,2001.10.01,24,福岡工業高校,福岡大学,福岡工業 福岡,A,0,https://league-one.jp/player/483731,,,,,,Kyūshu Kyuden Voltex (2024 - 2026)
Harrison Goddard,ハリソン ・ゴダード,SH,清水建設江東ブルーシャークス（2025-26）,183,83,1998.04.08,27,OakhillCollege,,OakhillCollege,C,1,https://league-one.jp/player/484200,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Brumbies (2023 - 2025) -> New South Wales Waratahs (2022 - 2023) -> Gordon Rugby Football Club (2022 - 2022) -> LA Giltinis (2022 - 2022) -> Gordon Rugby Football Club (2021 - 2021) -> LA Giltinis (2020 - 2021) -> Gordon Rugby Football Club (2019 - 2020) -> Randwick Rugby (2019 - 2019) -> Melbourne Rebels (2019 - 2019) -> Randwick Rugby (2018 - 2018) -> Melbourne Rebels (2016 - 2018)
Cameron Bailey,キャメロン ・ベイリー,FB,清水建設江東ブルーシャークス（2025-26）,191,100,1996.02.21,29,AtAndrew’sCollege,,AtAndrew’sCollege,A,33,https://league-one.jp/player/484201,,,,,,Not Found
Maritino Nemani,マリティノ ・ネマニ,CTB,清水建設江東ブルーシャークス（2025-26）,181,104,1991.05.24,34,SacredHeartCollege,,SacredHeartCollege,A,35,https://league-one.jp/player/484202,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Green Rockets Tokatsu (2017 - 2025) -> FC Grenoble Rugby (2016 - 2017) -> Bay of Plenty Steamers (2016 - 2016) -> FC Grenoble Rugby (2015 - 2015) -> Bay of Plenty Steamers (2013 - 2015) -> Highlanders (2012 - 2013) -> Chiefs (2011 - 2012)
Billy Burns,ビリー ・バーンズ,SO,清水建設江東ブルーシャークス（2025-26）,183,87,1994.06.13,31,BeechenCliffSchool,HartpuryCollege,BeechenCliffSchool HartpuryCollege,C,2,https://league-one.jp/player/484203,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Munster Rugby (2024 - 2025) -> Ulster Rugby (2018 - 2024) -> Gloucester Rugby (2013 - 2018)
Ika Motulalo Takau,イカ ・モツラロ・タカウ,LO,清水建設江東ブルーシャークス（2025-26）,189,113,1995.01.09,30,TupouCollege,流通経済大学,TupouCollege 流通経済大学,A,12,https://league-one.jp/player/484204,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Green Rockets Tokatsu (2023 - 2025)
Mahe Vailanu,マヘ ・ヴァイラヌ,HO,清水建設江東ブルーシャークス（2025-26）,175,109,1997.01.25,28,AucklandGrammarSchool,,AucklandGrammarSchool,B,1,https://league-one.jp/player/484205,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> New South Wales Waratahs (2021 - 2025) -> LA Giltinis (2020 - 2021) -> Gordon Rugby Football Club (2019 - 2020) -> Melbourne Rising (2019 - 2019) -> Gordon Rugby Football Club (2019 - 2019) -> Melbourne Rising (2018 - 2018) -> Gordon Rugby Football Club (2018 - 2018) -> Melbourne Rebels (2017 - 2018)
Genta Nishibata,西端 玄汰,FB,清水建設江東ブルーシャークス（2025-26）,176,82,2002.07.21,23,東福岡高校,近畿大学,東福岡高校 近畿大学,A,3,https://league-one.jp/player/484206,,,,,,Shimizu Koto Blue Sharks (2024 - 2026)
Tatsuya Fujioka,藤岡 竜也,CTB,清水建設江東ブルーシャークス（2025-26）,183,95,2003.03.13,22,浪速高校,近畿大学,浪速高等学校 近畿大学,A,11,https://league-one.jp/player/484207,,,,,,Shimizu Koto Blue Sharks (2024 - 2026)
Daichi Sato,佐藤 大地,LO,清水建設江東ブルーシャークス（2025-26）,185,103,2003.01.26,22,國學院栃木高校,明治大学,國學院栃木高等学校 明治大学,A,2,https://league-one.jp/player/484208,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Meiji University (2024 - 2025)
Yongchol Kim,金 勇哲,HO,清水建設江東ブルーシャークス（2025-26）,174,98,2002.11.12,23,大阪朝鮮高校,明治大学,大阪朝鮮高等学校 明治大学,A,0,https://league-one.jp/player/484209,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Meiji University (2024 - 2025)
Naohiro Aso,麻生 尚宏,PR,清水建設江東ブルーシャークス（2025-26）,182,112,2002.06.10,23,桐蔭学園高校,筑波大学,桐蔭学園高等学校 筑波大学,A,0,https://league-one.jp/player/484210,,,,,,Shimizu Koto Blue Sharks (2025 - 2026) -> Tsukuba University (2024 - 2025)
Jui Nakamori,中森 樹生,PR,清水建設江東ブルーシャークス（2025-26）,179,99,2002.04.14,23,御所実業高校,立正大学,御所実業高校 立正大学,A,1,https://league-one.jp/player/484211,,,,,,Shimizu Koto Blue Sharks (2024 - 2026)
Essendon Tuitupou,エッセンドン ・トゥイトゥポウ,WTB,清水建設江東ブルーシャークス（2025-26）,188,88,2003.12.14,22,KelstonBoysHighSchool,,KelstonBoysHighSchool,B,16,https://league-one.jp/player/484212,,,,,,Shimizu Koto Blue Sharks (2024 - 2026) -> Blues (2022 - 2023)
Terrence Hepetema,テレンス ・へプテマ,CTB,清水建設江東ブルーシャークス（2025-26）,183,95,1992.01.03,34,ManaCollege,,ManaCollege,B,8,https://league-one.jp/player/484213,,,,,,Shimizu Koto Blue Sharks (2024 - 2026) -> FC Grenoble Rugby (2022 - 2024) -> London Irish (2019 - 2022) -> Bay of Plenty Steamers (2019 - 2019) -> London Irish (2019 - 2019) -> Bay of Plenty Steamers (2018 - 2018) -> London Irish (2018 - 2018) -> Blues (2017 - 2018) -> Bay of Plenty Steamers (2015 - 2017) -> Doncaster Knights (2015 - 2015) -> Leicester Tigers (2015 - 2015) -> Doncaster Knights (2014 - 2014) -> Leicester Tigers (2013 - 2014) -> New South Wales Waratahs (2013 - 2013) -> Randwick Rugby (2013 - 2013) -> New South Wales Waratahs (2012 - 2012) -> Randwick Rugby (2012 - 2012)
Noah Foster,ノア ・フォスター,CTB,清水建設江東ブルーシャークス（2025-26）,180,95,1999.08.17,26,MountAlbertGrammarSchool,AucklandUniversity,MountAlbertGrammarSchool AucklandUniversity,B,6,https://league-one.jp/player/484214,,,,,,Shimizu Koto Blue Sharks (2024 - 2026) -> Southland Stags (2022 - 2023) -> Tasman Mako (2021 - 2022)
Hayden Cripps,クリップス ヘイデン,SO,清水建設江東ブルーシャークス（2025-26）,177,83,1990.10.30,35,Wellingtoncollege,Massey,Wellingtoncollege Massey,A,26,https://league-one.jp/player/484215,,,,,,Shimizu Koto Blue Sharks (2024 - 2026) -> Urayasu D-Rocks (2022 - 2024) -> Hino Red Dolphins (2017 - 2022) -> Sunwolves (2016 - 2017) -> Tasman Mako (2011 - 2013)
Sosiceni Tokoqio,トコキオ ソシセニ,No8,清水建設江東ブルーシャークス（2025-26）,189,125,1993.02.01,32,KelstonBoysHighSchool,山梨学院大学,KelstonBoysHighSchool 山梨学院大学,A,22,https://league-one.jp/player/484216,,,,,,Shimizu Koto Blue Sharks (2024 - 2026) -> Mie Honda Heat RFC (2023 - 2024) -> Kobelco Kobe Steelers (2021 - 2023)
Ed Holmes,エド ・ホームズ,LO,清水建設江東ブルーシャークス（2025-26）,198,118,1995.12.27,30,TruroCollege,Plymouth,TruroCollege Plymouth,B,12,https://league-one.jp/player/484217,,,,,,Shimizu Koto Blue Sharks (2024 - 2026) -> Bristol Bears (2018 - 2024) -> Exeter Chiefs (2017 - 2018)
Yushi Takai,高井 優志,WTB,清水建設江東ブルーシャークス（2025-26）,175,80,2001.03.26,24,常翔学園高校,流通経済大学,常翔学園高校 流通経済大学,A,3,https://league-one.jp/player/484218,,,,,,Shimizu Koto Blue Sharks (2023 - 2026)
Haruhiro Sakahara,坂原 春光,SH,清水建設江東ブルーシャークス（2025-26）,163,72,2001.02.27,24,東海大仰星高校,関西学院大学,東海大仰星高校 関西学院大学,A,9,https://league-one.jp/player/484219,,,,,,Shimizu Koto Blue Sharks (2023 - 2026)
Daisuke Yamato,大和 大祐,PR,清水建設江東ブルーシャークス（2025-26）,180,120,2000.04.28,25,桐生第一高校,立教大学,桐生第一高校 立教大学,A,1,https://league-one.jp/player/484220,,,,,,Shimizu Koto Blue Sharks (2023 - 2026)
Sanshiro Nomura,野村 三四郎,PR,清水建設江東ブルーシャークス（2025-26）,177,110,2000.09.02,25,西陵高校,京都産業大学,西陵高校 京都産業大学,A,25,https://league-one.jp/player/484221,,,,,,Shimizu Koto Blue Sharks (2022 - 2026)
Uha Lee,李 優河,PR,清水建設江東ブルーシャークス（2025-26）,179,114,2001.02.28,24,大阪朝鮮高校,同志社大学,大阪朝鮮高校 同志社大学,A,28,https://league-one.jp/player/484222,,,,,,Shimizu Koto Blue Sharks (2023 - 2026)
Soichiro Kuwata,桑田 宗一郎,SO,清水建設江東ブルーシャークス（2025-26）,170,74,2000.01.11,25,桐蔭学園高校,青山学院大学,桐蔭学園高校 青山学院大学,A,26,https://league-one.jp/player/484223,,,,,,Shimizu Koto Blue Sharks (2022 - 2026)
Tetsunori Osaki,大サキ,LO,清水建設江東ブルーシャークス（2025-26）,182,97,1999.04.26,26,国学院久我山高校,早稲田大学,国学院久我山高校 早稲田大学,A,8,https://league-one.jp/player/484224,,,,,,Shimizu Koto Blue Sharks (2022 - 2026)
Yasuyuki Yamamoto,山本 泰之,HO,清水建設江東ブルーシャークス（2025-26）,170,95,2000.03.05,25,石見智翠館高校,天理大学,石見智翠館高校 天理大学,A,9,https://league-one.jp/player/484225,,,,,,Shimizu Koto Blue Sharks (2022 - 2026)
Kaito Tamori,田森 海音,HO,清水建設江東ブルーシャークス（2025-26）,180,93,1999.06.04,26,長崎北陽台高校,明治大学,長崎北陽台高校 明治大学,A,33,https://league-one.jp/player/484226,,,U20('19),,,Shimizu Koto Blue Sharks (2022 - 2026)
Taketo Yoshikawa,吉川 豪人,PR,清水建設江東ブルーシャークス（2025-26）,178,106,2000.01.05,26,大阪学院大学高校,流通経済大学,大阪学院大学高校 流通経済大学,A,4,https://league-one.jp/player/484227,,,,,,Shimizu Koto Blue Sharks (2023 - 2026) -> Shizuoka Blue Revs (2022 - 2023) -> Shimizu Koto Blue Sharks (2021 - 2022)
Ryota Saito,齊藤 遼太,PR,清水建設江東ブルーシャークス（2025-26）,182,114,1999.07.13,26,関西学院高校,関西学院大学,関西学院高校 関西学院大学,A,29,https://league-one.jp/player/484228,,,,,,Shimizu Koto Blue Sharks (2021 - 2026)
Usa Baleilautoka,ウサ ・バレイラウトカ,PR,清水建設江東ブルーシャークス（2025-26）,177,104,1996.06.27,29,KelstonBoysHighSchool,立正大学,KelstonBoysHighSchool 立正大学,A,7,https://league-one.jp/player/484230,,,,,,Shimizu Koto Blue Sharks (2022 - 2026)
Coenraad VanWyk,コンラッド ・バンワイク,FB,清水建設江東ブルーシャークス（2025-26）,184,93,1988.01.08,38,PaulRoosGymnasium,Stellenbosch,PaulRoosGymnasium Stellenbosch,A,46,https://league-one.jp/player/484231,,,,,,Not Found
Tatsuhiro Ozaki,尾ザキ,FB,清水建設江東ブルーシャークス（2025-26）,185,90,1995.08.13,30,桐蔭学園高校,法政大学,桐蔭学園高校 法政大学,A,38,https://league-one.jp/player/484232,,,,,,Shimizu Koto Blue Sharks (2021 - 2026)
