Player_Name,Full_Name,選手名_カタカナ,Position,Current_Team,League,Height,Weight,Birth_Date,Age,Nationality,Representative_Caps,Scraped_Url,キャリア遍歴,High_School,University
Shoma Makinouchi,牧野内 翔馬,牧野内 翔馬,LO,花園近鉄ライナーズ（2025-26）,league-one,190.0,107.0,1994.11.05,31.0,,高校('12),https://league-one.jp/player/484528,宗像サニックスブルース (2021 - 2022) -> 豊田自動織機シャトルズ愛知 (2022 - 2025) -> 花園近鉄ライナーズ (2025 - ),東福岡高校,法政大学
Ougi Yanamoto,梁本 旺義,梁本 旺義,FL/No8,クボタスピアーズ船橋・東京ベイ（2025-26）,league-one,180.0,95.0,2000.09.18,25.0,,U23('20),https://league-one.jp/player/483744,クボタスピアーズ船橋・東京ベイ (2023 - ),常翔学園高校,同志社大学
Yusuke Kizu,木津 悠輔,木津 悠輔,PR,トヨタヴェルブリッツ（2025-26）,league-one,178.0,115.0,1995.12.02,30.0,,U23('17)、日本代表(6),https://league-one.jp/player/484470,トヨタヴェルブリッツ (2018 - ),由布高校,天理高校
Rintaro Maruyama,丸山 凜太朗,丸山 凜太朗,SO,花園近鉄ライナーズ（2025-26）,league-one,175.0,81.0,1999.12.17,26.0,,"高校('17)、U20('19)、U23('19,'20)",https://league-one.jp/player/484536,トヨタヴェルブリッツ (2022 - 2024) -> 花園近鉄ライナーズ (2024 - ),東福岡高校,東海大学
Timo Sufia,ティモ スフィア,ティモ スフィア,CTB,花園近鉄ライナーズ（2025-26）,league-one,180.0,105.0,1996.11.07,29.0,,セブンズ日本(14),https://league-one.jp/player/484535,花園近鉄ライナーズ (2024 - ),アロフィ・オ・タオア,朝日大学
Manie Libbok,マニー リホック,マニー リホック,SO,花園近鉄ライナーズ（2025-26）,league-one,184.0,79.0,1997.07.15,28.0,,South Africa (9),https://league-one.jp/player/486517,ブルズ (2017 - 2020) -> シャークス (2019 - 2021) -> ストーマーズ (2021 - 2025) -> 花園近鉄ライナーズ (2025 - ),アウテニカハイスクール,TEAカレッジ
Hiroki Kumoyama,雲山 弘貴,雲山 弘貴,FB,花園近鉄ライナーズ（2025-26）,league-one,187.0,92.0,1999.07.18,26.0,,高校('17),https://league-one.jp/player/484534,サンウルブズ (2019 - 2020) -> 東京サントリーサンゴリアス (2022 - 2024) -> 花園近鉄ライナーズ (2024 - ),報徳学園高校,明治大学
Kenji Sato,佐藤 健次,佐藤 健次,HO,埼玉パナソニックワイルドナイツ（2025-26）,league-one,177.0,105.0,2003.01.04,23.0,,"XV('24,'25)、日本代表(9)",https://league-one.jp/player/484033,No Data,桐蔭学園高校,早稲田大学
Nick Phipps,ニック フィッフス,ニック フィッフス,SH,NECグリーンロケッツ東葛（2025-26）,league-one,180.0,88.0,1989.01.09,37.0,,オーストラリア代表(72),https://league-one.jp/player/483569,ワラターズ (2013 - 2019) -> ロンドン・アイリッシュ (2019 - 2022) -> NECグリーンロケッツ東葛 (2022 - ),The,Kings
Taiki Fujii,藤井 大喜,藤井 大喜,PR,埼玉パナソニックワイルドナイツ（2025-26）,league-one,183.0,114.0,1998.01.04,28.0,,"U20,U23('17)",https://league-one.jp/player/484054,埼玉パナソニックワイルドナイツ (2021 - ),黒沢尻工高校,大東文化大学
Kan Nakano,中野 幹,中野 幹,PR,東京サントリーサンゴリアス（2025-26）,league-one,177.0,108.0,1997.09.29,28.0,,U20('17),https://league-one.jp/player/484335,東京サントリーサンゴリアス (2021 - ),東海大仰星高校,東海大学
Shogo Miura,三浦 昌悟,三浦 昌悟,PR,トヨタヴェルブリッツ（2025-26）,league-one,180.0,115.0,1995.06.08,30.0,,"U20('15)、U23('15,'17)、日本代表(14)",https://league-one.jp/player/484471,サンウルブズ (2018 - 2019) -> トヨタヴェルブリッツ (2019 - ),秋田工業高校,東海大学
Tomoki Osada,長田 智希,長田 智希,CTB,埼玉パナソニックワイルドナイツ（2025-26）,league-one,179.0,90.0,1999.11.25,26.0,,"高校('17)、U20,U23('19)、日本代表(26)",https://league-one.jp/player/484045,埼玉WK (2022 - ),東海大仰星高校,早稲田大学
Seijun Kawasaki,川崎 清純,川崎 清純,WTB,埼玉パナソニックワイルドナイツ（2025-26）,league-one,191.0,100.0,1999.06.17,26.0,,セブンズ日本(2),https://league-one.jp/player/484044,埼玉パナソニックワイルドナイツ (2024 - ),盛岡工高校,関東学院大大学
Sam Slade,サム スレイト,サム スレイト,LO,狭山セコムラガッツ（2025-26）,league-one,197.0,116.0,1997.08.28,28.0,,Samoa (4),https://league-one.jp/player/484082,American Raptors (2019 - 2020) -> カウンティーズ・マヌカウ (2019 - 2022) -> モアナ・パシフィカ (2021 - 2025) -> ノース・ハーバー (2023 - 2024) -> 狭山セコムラガッツ (2025 - ),マウントアルバートグラマースクール,オークランド大学
Yuki Ishii,石井 勇輝,石井 勇輝,WTB,レッドハリケーンズ大阪（2025-26）,league-one,184.0,96.0,1996.02.27,29.0,,セブンズ日本(11),https://league-one.jp/player/485015,浦安D-Rocks (2018 - 2022) -> Urayasu D-Rocks (2022 - 2023) -> Red Hurricanes Osaka (2023 - ),日大荏原高校,東洋大学
Ryuga Hashimoto,箸本 龍雅,箸本 龍雅,FL/No8,東京サントリーサンゴリアス（2025-26）,league-one,188.0,112.0,1998.11.23,27.0,,"U20('17,'18)、U23('18)",https://league-one.jp/player/484329,サンウルブズ (2019 - 2020) -> 東京サントリーサンゴリアス (2021 - ),東福岡高校,明治大学
Yasuaki Katakura,片倉 康瑛,片倉 康瑛,LO,東京サントリーサンゴリアス（2025-26）,league-one,190.0,105.0,1998.08.09,27.0,,U23('19),https://league-one.jp/player/484330,東京サントリーサンゴリアス (2021 - ),明治大学付属中野高校,明治大学
Koji Iino,飯野 晃司,飯野 晃司,FL/No8,東京サントリーサンゴリアス（2025-26）,league-one,190.0,110.0,1994.10.12,31.0,,U23('17)、日本代表(1),https://league-one.jp/player/484331,東京サントリーサンゴリアス (2021 - ),三好高校,帝京大学
Masahiro Nakano,中野 将宏,中野 将宏,WTB,中国電力レッドレグリオンズ（2025-26）,league-one,168.0,78.0,1996.01.25,30.0,,セブンズ日本(18),https://league-one.jp/player/484280,中国電力レッドレギュリオンズ (2021 - ),石見智翠館高校,九州共立大学
Shinichi Tanaka,田中 真一,田中 真一,FL/No8,九州電力キューデンヴォルテクス（2025-26）,league-one,186.0,98.0,1994.06.08,31.0,,高校('12),https://league-one.jp/player/483678,横浜キヤノンイーグルス (2017 - 2022) -> リコーブラックラムズ東京 (2022 - 2025) -> 九州電力キューデンヴォルテクス (2025 - ),國學院久我山高校,明治大学
Shohei Hirano,平野 翔平,平野 翔平,PR,花園近鉄ライナーズ（2025-26）,league-one,178.0,123.0,1993.08.03,32.0,,U23('13),https://league-one.jp/player/484529,埼玉パナソニックワイルドナイツ (2021 - 2025) -> 花園近鉄ライナーズ (2025 - ),東福岡高校,東海大学
Masato Furukawa,古川 聖人,古川 聖人,FL/No8,横浜キヤノンイーグルス（2025-26）,league-one,179.0,94.0,1996.12.06,29.0,,"U20,U23('16)、XV('25)、日本代表(3)",https://league-one.jp/player/484822,トヨタヴェルブリッツ (2019 - 2024) -> 横浜キヤノンイーグルス (2024 - ),東福岡高校,立命館大学
Sho Furuhata,古畑 翔,古畑 翔,PR,埼玉パナソニックワイルドナイツ（2025-26）,league-one,185.0,118.0,1996.12.10,29.0,,XV('25)、日本代表(1),https://league-one.jp/player/484058,埼玉パナソニックワイルドナイツ (2023 - ),大阪桐蔭高校,大東文化大学
Mikiya Takamoto,高本 幹也,高本 幹也,SO,東京サントリーサンゴリアス（2025-26）,league-one,171.0,80.0,2001.03.15,24.0,,U23('20),https://league-one.jp/player/484311,東京サントリーサンゴリアス (2023 - ),大阪桐蔭高校,帝京大学
Yoshitaka Tokunaga,徳永 祥尭,徳永 祥尭,FL/No8,東芝ブレイブルーパス東京（2025-26）,league-one,186.0,105.0,1992.04.10,33.0,,U23('13)、セブンズ日本(4)、日本代表(15),https://league-one.jp/player/484369,サンウルブズ (2016 - 2019) -> 東芝ブレイブルーパス東京 (2019 - ),関西学院高等部,関西学院大学
Koji ANTIGRAV,Koji ANTIGRAV,Koji ANTIGRAV,SO,東京サントリーサンゴリアス,league-one,178.0,85.0,1995.04.01,30.0,Japanese,,https://rugbypick.com/trap/koji-antigrav,深谷高校 -> 帝京大学 -> 東京サントリーサンゴリアス (2018 - ),深谷高校,帝京大学
Yuichiro Taniguchi,谷口 祐一郎,谷口 祐一郎,PR,リコーブラックラムズ東京（2025-26）,league-one,180.0,108.0,1998.06.04,27.0,,"U20,U23('18)、XV('25)",https://league-one.jp/player/484883,サンウルブズ (2019 - 2020) -> リコーブラックラムズ東京 (2021 - ),東海大仰星高校,天理大学
Damian de Allende,タミアン テアレンテ,タミアン テアレンテ,CTB,埼玉パナソニックワイルドナイツ（2025-26）,league-one,190.0,105.0,1991.11.25,34.0,,South Africa (73),https://league-one.jp/player/484041,ストーマーズ (2013 - 2019) -> マンスター (2019 - 2022) -> 埼玉パナソニックワイルドナイツ (2019 - ),ミルナートン,ケープタウン大学
Shogo Nakano,中野 将伍,中野 将伍,CTB,東京サントリーサンゴリアス（2025-26）,league-one,186.0,98.0,1997.06.11,28.0,,"U23('15,'17,'19)、日本代表(11)",https://league-one.jp/player/484322,サンウルブズ (2019 - 2020) -> 東京サントリーサンゴリアス (2020 - ),東筑高校,早稲田大学
Hideto Niguma,仁熊 秀斗,仁熊 秀斗,WTB,東京サントリーサンゴリアス（2025-26）,league-one,172.0,85.0,1998.06.24,27.0,,U23('18),https://league-one.jp/player/484321,東京サントリーサンゴリアス (2021 - ),石見智翠館高校,筑波大学
Lood de Jager,ルート テヤハー,ルート テヤハー,LO,埼玉パナソニックワイルドナイツ（2025-26）,league-one,206.0,125.0,1992.12.17,33.0,,South Africa (40),https://league-one.jp/player/484040,チーターズ (2013 - 2016) -> ブルズ (2016 - 2019) -> Sale Sharks (2019 - 2022) -> 埼玉パナソニックワイルドナイツ (2022 - ),HuyenoteSpringHighSchool,North-WestUniversity
Yusaku Kihara,木原 優作,木原 優作,PR,埼玉パナソニックワイルドナイツ（2025-26）,league-one,176.0,106.0,2000.12.11,25.0,,高校('18)、U23('20),https://league-one.jp/player/484039,埼玉パナソニックワイルドナイツ (2023 - ),東福岡高校,筑波大学
Tomoaki Ishii,石井 智亮,石井 智亮,PR,三菱重工相模原ダイナボアーズ（2025-26）,league-one,182.0,120.0,1995.08.23,30.0,,XV('25),https://league-one.jp/player/484738,Hanazono Kintetsu Liners (2018 - 2021) -> Mitsubishi Sagamihara Dynaboars (2021 - ),生田高校,成蹊大学
Takara Imamura,今村 陽良,今村 陽良,FL/No8,コベルコ神戸スティーラーズ（2025-26）,league-one,188.0,101.0,1997.01.17,29.0,,U23('17),https://league-one.jp/player/483959,コベルコ神戸スティーラーズ (2021 - ),東福岡高校,帝京大学
Jiwon Gu,具 智元,具 智元,PR,コベルコ神戸スティーラーズ（2025-26）,league-one,183.0,116.0,1994.07.20,31.0,,高校('12)、日本代表(29),https://league-one.jp/player/483964,Not Found,日本文理大学附属高校,拓殖大学
Naohiro Kotaki,小瀧 尚弘,小瀧 尚弘,LO,コベルコ神戸スティーラーズ（2025-26）,league-one,194.0,111.0,1992.06.13,33.0,,高校('10)、U23('16)、日本代表(11),https://league-one.jp/player/483961,サンウルブズ (2015 - 2017) -> 東芝ブレイブルーパス東京 (2017 - 2021) -> コベルコ神戸スティーラーズ (2021 - ),鹿児島実業高校,帝京大学
Hiroki Yamamoto,山本 浩輝,山本 浩輝,FL/No8,東芝ブレイブルーパス東京（2025-26）,league-one,187.0,95.0,1992.11.17,33.0,,U23('13)、セブンズ日本(1)、日本代表(6),https://league-one.jp/player/484371,Toshiba Brave Lupus Tokyo (2015 - ),石見智翠館高校,筑波大学
Shuhei Takeuchi,竹内 柊平,竹内 柊平,PR,東京サントリーサンゴリアス（2025-26）,league-one,183.0,115.0,1997.12.09,28.0,,XV('25)、日本代表(24),https://league-one.jp/player/485712,浦安D-Rocks (2020 - 2025) -> 東京サントリーサンゴリアス (2025 - ),宮崎工業高校,九州共立大学
Akihito Yamada,山田 章仁,山田 章仁,WTB,九州電力キューデンヴォルテクス（2025-26）,league-one,180.0,80.0,1985.07.26,40.0,,セブンズ日本(7)、日本代表(25),https://league-one.jp/player/483693,Mie Honda Heat RFC (2008 - 2010) -> パナソニック ワイルドナイツ (2010 - 2019) -> フォース (2015 - 2015) -> サンウルブズ (2016 - 2019) -> Lyon Olympique Universitaire Rugby (2019 - 2019) -> 浦安D-Rocks (2019 - 2022) -> シアトル・シーウルブズ (2021 - 2021) -> Kyushu Kyuden Voltex (2022 - ),小倉高校,慶應義塾大学
Tatsuhiko Tsurukawa,鶴川 達彦,鶴川 達彦,PR,三重ホンダヒート（2025-26）,league-one,183.0,115.0,1995.05.21,30.0,,U23('19),https://league-one.jp/player/484705,三重ホンダヒート (2021 - ),桐蔭学園中等教育学校,早稲田大学
Shodai Hirao,平生 翔大,平生 翔大,HO,東京サントリーサンゴリアス（2025-26）,league-one,174.0,105.0,2002.10.11,23.0,,XV('25)、日本代表(2),https://league-one.jp/player/485713,Not Found,関西学院高等部,関西学院大学
Shu Yamamoto,山本 秀,山本 秀,LO,リコーブラックラムズ東京（2025-26）,league-one,190.0,108.0,1999.06.01,26.0,,高校('17)、U20('19)、XV('25),https://league-one.jp/player/484878,リコーブラックラムズ東京 (2021 - ),京都成章高校,近畿大学
Shunsuke Nunomaki,布巻 峻介,布巻 峻介,FL/No8,埼玉パナソニックワイルドナイツ（2025-26）,league-one,178.0,98.0,1992.07.13,33.0,,高校('10)、U20('11)、日本代表(7),https://league-one.jp/player/484068,サンウルブズ (2016 - 2020) -> 埼玉パナソニックワイルドナイツ (2018 - ),東福岡高校,早稲田大学
Rento Tsukayama,津嘉山 廉人,津嘉山 廉人,PR,三菱重工相模原ダイナボアーズ（2025-26）,league-one,186.0,107.0,1998.09.07,27.0,,"U20('18)、U23('18,'19)",https://league-one.jp/player/484731,横浜キヤノンイーグルス (2021 - 2023) -> 三菱重工相模原ダイナボアーズ (2024 - ),流通経済大学附属柏高校,流通経済大学
Waisake Raratubua,ワイサケ ララトゥフア,ワイサケ ララトゥフア,LO,コベルコ神戸スティーラーズ（2025-26）,league-one,195.0,120.0,1998.03.17,27.0,,日本代表(5),https://league-one.jp/player/483968,コベルコ神戸スティーラーズ (2023 - ),ラトゥ・サーララ・スクナメモリアルスクール,東海大学
Akito Okui,奥井 章仁,奥井 章仁,FL/No8,トヨタヴェルブリッツ（2025-26）,league-one,177.0,103.0,2001.09.17,24.0,,XV('25)、日本代表(2),https://league-one.jp/player/485370,トヨタヴェルブリッツ (2024 - ),大阪桐蔭高校,帝京大学
Kanzo Schinckel,シンクル 寛造,シンクル 寛造,PR,三菱重工相模原ダイナボアーズ（2025-26）,league-one,187.0,115.0,1999.08.20,26.0,,高校('18),https://league-one.jp/player/484736,三菱重工相模原ダイナボアーズ (2023 - ),札幌山の手高校,流通経済大学
DJ Kashima,加島 DJ,加島 DJ,WTB,三菱重工相模原ダイナボアーズ（2025-26）,league-one,175.0,89.0,2001.03.11,24.0,,セブンズ日本(4),https://league-one.jp/player/484734,三菱重工相模原ダイナボアーズ (2024 - ),湘南工科大附属高校,山梨学院大学
koki Miyasaka,宮坂 航生,宮坂 航生,SH,三重ホンダヒート（2025-26）,league-one,172.0,75.0,2002.03.01,23.0,,セブンズ日本(2),https://league-one.jp/player/484713,三重ホンダヒート (2024 - ),中部大春日丘高校,専修大学
Atsushi Sakate,坂手 淳史,坂手 淳史,HO,埼玉パナソニックワイルドナイツ（2025-26）,league-one,180.0,104.0,1993.06.21,32.0,,U23('13)、日本代表(47),https://league-one.jp/player/484066,サンウルブズ (2016 - 2019) -> 埼玉パナソニックワイルドナイツ (2019 - ),京都成章高校,帝京大学
YONHI KIM,金 勇輝,金 勇輝,CTB,レッドハリケーンズ大阪（2025-26）,league-one,176.0,90.0,1993.03.29,32.0,,高校('10),https://league-one.jp/player/485004,NTTドコモレッドハリケーンズ大阪 (2021 - ),大阪朝鮮高校,法政大学
Hondo Atora,本堂 杏虎,本堂 杏虎,SH,埼玉パナソニックワイルドナイツ（2025-26）,league-one,169.0,85.0,1998.11.09,27.0,,"U20,U23('18)",https://league-one.jp/player/484050,埼玉パナソニックワイルドナイツ (2021 - ),國學院大學栃木高校,日本体育大学
Yuki Ikeda,池田 悠希,池田 悠希,CTB,リコーブラックラムズ東京（2025-26）,league-one,187.0,98.0,1995.05.21,30.0,,U23('17)、日本代表(2),https://league-one.jp/player/484880,リコーブラックラムズ東京 (2021 - ),東海大仰星高校,東海大学
Hiroshi Yamashita,山下 裕史,山下 裕史,PR,コベルコ神戸スティーラーズ（2025-26）,league-one,183.0,120.0,1986.01.01,40.0,,日本代表(51),https://league-one.jp/player/483967,チーフス (2015 - 2016) -> サンウルブズ (2018 - 2019) -> コベルコ神戸スティーラーズ (2019 - ),都島工業高校,京都産業大学
Kyohei Yamasawa,山沢 京平,山沢 京平,SO,埼玉パナソニックワイルドナイツ（2025-26）,league-one,176.0,85.0,1998.08.17,27.0,,"U20('17,'18)",https://league-one.jp/player/484051,埼玉パナソニックワイルドナイツ (2021 - ),深谷高校,明治大学
TAICHI YOSHIZAWA,吉澤 太一,吉澤 太一,FB,レッドハリケーンズ大阪（2025-26）,league-one,175.0,80.0,1991.07.18,34.0,,セブンズ日本(24),https://league-one.jp/player/484996,NTTドコモレッドハリケーンズ大阪 (2021 - ),正智深谷高校,立正大学
Yusuke Aramaki,荒牧 佑輔,荒牧 佑輔,FB,ルリーロ福岡（2025-26）,league-one,178.0,83.0,1988.12.01,37.0,,セブンズ日本(4),https://league-one.jp/player/484913,九州電力キューデンヴォルテクス (2021 - 2025) -> ルリーロ福岡 (2025 - ),小倉高校,関東学院大学
Atsushi Hiwasa,日和佐 篤,日和佐 篤,SH,コベルコ神戸スティーラーズ（2025-26）,league-one,166.0,68.0,1987.05.22,38.0,,日本代表(51),https://league-one.jp/player/483956,サンウルブズ (2015 - 2016) -> コベルコ神戸スティーラーズ (2021 - ),報徳学園高校,法政大学
Taiki Yamaguchi,山口 泰輝,山口 泰輝,FB,レッドハリケーンズ大阪（2025-26）,league-one,176.0,90.0,2001.11.17,24.0,,セブンズ日本(2),https://league-one.jp/player/485026,NTTドコモレッドハリケーンズ大阪 (2023 - ),長崎北陽台高校,帝京大学
Ryosuke Iwaihara,祝原 涼介,祝原 涼介,PR,横浜キヤノンイーグルス（2025-26）,league-one,184.0,115.0,1996.10.06,29.0,,"U20('15,'16)、U23('15)、日本代表(5)",https://league-one.jp/player/484849,東京サントリーサンゴリアス (2021 - 2023) -> 横浜キヤノンイーグルス (2023 - ),桐蔭学園高校,明治大学
Taichi Mano,眞野 泰地,眞野 泰地,CTB,東芝ブレイブルーパス東京（2025-26）,league-one,173.0,90.0,1997.06.01,28.0,,"U20('16,'17)、U23('17,'18)",https://league-one.jp/player/484364,東芝ブレイブルーパス東京 (2021 - ),東海大大阪仰星高校,東海大学
Solomone Funaki,ソロモネ フナキ,ソロモネ フナキ,FL/No8,コベルコ神戸スティーラーズ（2025-26）,league-one,186.0,108.0,2002.04.12,23.0,,Tonga (7),https://league-one.jp/player/483931,ホークスベイ (2018 - 2022) -> ハイランダーズ (2020 - 2021) -> モアナ・パシフィカ (2021 - 2024) -> ドラゴンズ (2024 - ),目黒学院高校,京都産業大学
Josua Kerevi,ケレヒ ショシュア,ケレヒ ショシュア,UTB,豊田自動織機シャトルズ愛知（2025-26）,league-one,190.0,105.0,1992.06.18,33.0,,セブンズ日本(11),https://league-one.jp/player/484410,豊田自動織機シャトルズ愛知 (2021 - ),ナタンブア,天理大学
Takuya Kitade,北出 卓也,北出 卓也,HO,コベルコ神戸スティーラーズ（2025-26）,league-one,180.0,100.0,1992.09.14,33.0,,高校('10)、日本代表(1),https://league-one.jp/player/483946,東京サントリーサンゴリアス (2015 - 2022) -> サンウルブズ (2018 - 2019) -> コベルコ神戸スティーラーズ (2022 - ),東海大仰星高校,東海大学
Takayuki Watanabe,渡邉 隆之,渡邉 隆之,PR,コベルコ神戸スティーラーズ（2025-26）,league-one,180.0,117.0,1994.05.27,31.0,,日本代表(10),https://league-one.jp/player/483965,コベルコ神戸スティーラーズ (2023 - ),札幌山の手高校,東海大学
Ataata Moeakiola,アタアタ モエアキオラ,アタアタ モエアキオラ,WTB,コベルコ神戸スティーラーズ（2025-26）,league-one,185.0,107.0,1996.02.06,30.0,,高校('13)、U23('15)、日本代表(4),https://league-one.jp/player/483950,チーフス (2018 - 2019) -> コベルコ神戸スティーラーズ (2019 - 2026) -> マナワツ (2023 - ),目黒学院高校,東海大学
Yuya Odo,大戸 裕矢,大戸 裕矢,LO,静岡ブルーレヴズ（2025-26）,league-one,187.0,100.0,1990.03.09,35.0,,日本代表(5),https://league-one.jp/player/484181,静岡ブルーレヴズ (2012 - 2012) -> サンウルブズ (2017 - ),正智深谷高校,立命館大学
Toshiki Kuwayama,桑山 聖生,桑山 聖生,FB,東芝ブレイブルーパス東京（2025-26）,league-one,184.0,95.0,1996.06.06,29.0,,U20('15)、U23、セブンズ日本(1),https://league-one.jp/player/484360,東芝ブレイブルーパス東京 (2021 - ),鹿児島実業高校,早稲田大学
Takahiro Ogawa,小川 高廣,小川 高廣,SH,東芝ブレイブルーパス東京（2025-26）,league-one,170.0,77.0,1991.03.18,34.0,,U23('13)、セブンズ日本(2)、日本代表(3),https://league-one.jp/player/484368,東芝ブレイブルーパス東京 (2021 - ),東福岡高校,日本大学
Jack Cornelsen,シャック コーネルセン,シャック コーネルセン,LO,埼玉パナソニックワイルドナイツ（2025-26）,league-one,195.0,110.0,1994.10.13,31.0,,日本代表(29),https://league-one.jp/player/485708,Queensland Country (2014 - 2016) -> 埼玉パナソニックワイルドナイツ (2018 - ),ブリスベングラマースクール,University
Ryuta Yasui,安井 龍太,安井 龍太,LO,横浜キヤノンイーグルス（2025-26）,league-one,187.0,105.0,1989.12.06,36.0,,U20('08)、セブンズ日本(3)、日本代表(2),https://league-one.jp/player/484839,横浜キヤノンイーグルス (2021 - ),東海大仰星高校,東海大学
Yukio Morikawa,森川 由起乙,森川 由起乙,PR,東京サントリーサンゴリアス（2025-26）,league-one,180.0,113.0,1993.02.06,33.0,,日本代表(5),https://league-one.jp/player/484337,Tokyo Sungoliath (2015 - ),京都成章高校,帝京大学
Taishiro Kido,木戸 大士郎,木戸 大士郎,FL/No8,東芝ブレイブルーパス東京（2025-26）,league-one,186.0,104.0,2002.07.26,23.0,,XV('25)、Test Matchs(1CAP,https://league-one.jp/player/484346,Toshiba Brave Lupus Tokyo (2025 - ),常翔学園高校,明治大学
MIFIPOSETI PAEA,ハエア ミフィホセチ,ハエア ミフィホセチ,CTB,レッドハリケーンズ大阪（2025-26）,league-one,180.0,109.0,1987.07.06,38.0,,日本代表(3),https://league-one.jp/player/485002,NTTドコモレッドハリケーンズ大阪 (2011 - 2026) -> サンウルブズ (2015 - ),正智深谷高校,埼玉工業大学
Kaito Doichi,土一 海人,土一 海人,HO,横浜キヤノンイーグルス（2025-26）,league-one,176.0,100.0,1999.07.02,26.0,,高校('17),https://league-one.jp/player/484807,日野RD (2022 - 2023) -> Tokyo Sungoliath (2023 - 2025) -> Yokohama Canon Eagles (2025 - ),東海大相模高校,東海大学
Paddy Ryan,ハティー ライアン,ハティー ライアン,PR,リコーブラックラムズ東京（2025-26）,league-one,190.0,116.0,1988.08.09,37.0,,オーストラリア代表(3),https://league-one.jp/player/484868,ワラターズ (2013 - 2024) -> San Diego Legion (2018 - 2021) -> 宗像サニックスブルース (2020 - 2022) -> リコーブラックラムズ東京 (2022 - ),セントジョセフ・カレッジ,シドニー大学
Futo Yamaguchi,山口 楓斗,山口 楓斗,FB,静岡ブルーレヴズ（2025-26）,league-one,167.0,73.0,2000.01.14,26.0,,U23('20),https://league-one.jp/player/484165,静岡ブルーレヴズ (2022 - ),東海大福岡高校,同志社大学
Hinata Takei,武井 日向,武井 日向,HO,リコーブラックラムズ東京（2025-26）,league-one,171.0,98.0,1997.06.17,28.0,,"U20('17)、U23('17,'18)",https://league-one.jp/player/484889,リコーブラックラムズ東京 (2021 - ),國學院栃木高校,明治大学
