英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,リーグワンキャップ数,URL,Text_Detail,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Nick FROST,Nick FROST,LO,Brumbies,206,120,1999.10.10,,,,,A,0,https://all.rugby/player/nick-frost,,Canberra Vikings (2018 - 2019) -> Brumbies (2019 - 2026),,,https://all.rugby/player/nick-frost,Canberra Vikings (2018 - 2019) -> Brumbies (2019 - 2026)
Tuaina Taii TUALIMA,Tuaina Taii TUALIMA,LO,Brumbies,193,100,1997.06.01,,,,,A,0,https://all.rugby/player/tuaina-taii-tualima,,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2022) -> Melbourne Rebels (2022 - 2023) -> Auckland (2023 - 2023) -> Melbourne Rebels (2024 - 2024) -> Auckland (2024 - 2024) -> Brumbies (2024 - 2026),,,https://all.rugby/player/tuaina-taii-tualima,Brisbane City (2018 - 2019) -> Queensland Reds (2019 - 2022) -> Melbourne Rebels (2022 - 2023) -> Auckland (2023 - 2023) -> Melbourne Rebels (2024 - 2024) -> Auckland (2024 - 2024) -> Brumbies (2024 - 2026)
Charlie CALE,Charlie CALE,Back row,Brumbies,196,105,2000.10.06,,,,,A,0,https://all.rugby/player/charlie-cale,,Eastwood Rugby Club (2020 - 2021) -> Uni-Norths Owls (2021 - 2022) -> Brumbies (2022 - 2026),,,https://all.rugby/player/charlie-cale,Eastwood Rugby Club (2020 - 2021) -> Uni-Norths Owls (2021 - 2022) -> Brumbies (2022 - 2026)
Eli LANGI,Eli LANGI,Back row,Brumbies,193,104,2006..,,,,,A,0,https://all.rugby/player/eli-langi,,Brumbies (2024 - 2026),,,https://all.rugby/player/eli-langi,Brumbies (2024 - 2026)
Luke REIMER,Luke REIMER,Back row,Brumbies,187,102,2000.05.27,,,,,A,0,https://all.rugby/player/luke-reimer,,Warringah Rugby Club (2018 - 2019) -> Brumbies (2019 - 2026),,,https://all.rugby/player/luke-reimer,Warringah Rugby Club (2018 - 2019) -> Brumbies (2019 - 2026)
Rob VALETINI,Rob VALETINI,Back row,Brumbies,193,113,1998.09.03,,,,,A,0,https://all.rugby/player/rob-valetini,,Brumbies (2017 - 2026),Australia,Australia,https://all.rugby/player/rob-valetini,Brumbies (2017 - 2026)
Rory SCOTT,Rory SCOTT,Back row,Brumbies,189,100,2000.09.15,,,,,A,0,https://all.rugby/player/rory-scott,,Brumbies (2019 - 2026),,,https://all.rugby/player/rory-scott,Brumbies (2019 - 2026)
Toby MACPHERSON,Toby MACPHERSON,Back row,Brumbies,199,106,2004..,,,,,A,0,https://all.rugby/player/toby-macpherson,,Uni-Norths Owls (2022 - 2023) -> Brumbies (2023 - 2024) -> Toyota Verblitz (2024 - 2024) -> Brumbies (2024 - 2024) -> Toyota Verblitz (2025 - 2025) -> Brumbies (2025 - 2026),,,https://all.rugby/player/toby-macpherson,Uni-Norths Owls (2022 - 2023) -> Brumbies (2023 - 2024) -> Toyota Verblitz (2024 - 2024) -> Brumbies (2024 - 2024) -> Toyota Verblitz (2025 - 2025) -> Brumbies (2025 - 2026)
Dan NELSON,Dan NELSON,SH,Brumbies,179,82,2004.02.15,,,,,A,0,https://all.rugby/player/dan-nelson,,Brumbies (2023 - 2024) -> Canberra Royals (2024 - 2025) -> Brumbies (2025 - 2026),,,https://all.rugby/player/dan-nelson,Brumbies (2023 - 2024) -> Canberra Royals (2024 - 2025) -> Brumbies (2025 - 2026)
Klayton THORN,Klayton THORN,SH,Brumbies,179,83,2003.06.06,,,,,A,0,https://all.rugby/player/klayton-thorn,,Randwick Rugby (2021 - 2022) -> Brumbies (2022 - 2026),,,https://all.rugby/player/klayton-thorn,Randwick Rugby (2021 - 2022) -> Brumbies (2022 - 2026)
Ryan LONERGAN,Ryan LONERGAN,SH,Brumbies,184,82,1998.04.06,,,,,A,0,https://all.rugby/player/ryan-lonergan,,Brumbies (2016 - 2026),Australia,Australia,https://all.rugby/player/ryan-lonergan,Brumbies (2016 - 2026)
Declan MEREDITH,Declan MEREDITH,SO,Brumbies,183,88,1999.06.28,,,,,A,0,https://all.rugby/player/declan-meredith,,Wests Lions (2021 - 2022) -> Brumbies (2022 - 2026),,,https://all.rugby/player/declan-meredith,Wests Lions (2021 - 2022) -> Brumbies (2022 - 2026)
Tane EDMED,Tane EDMED,SO,Brumbies,183,92,2000.08.16,,,,,A,0,https://all.rugby/player/tane-edmed,,Eastwood Rugby Club (2019 - 2020) -> New South Wales Waratahs (2020 - 2023) -> North Harbour (2023 - 2023) -> New South Wales Waratahs (2024 - 2024) -> North Harbour (2024 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Brumbies (2025 - 2026),Australia,Australia,https://all.rugby/player/tane-edmed,Eastwood Rugby Club (2019 - 2020) -> New South Wales Waratahs (2020 - 2023) -> North Harbour (2023 - 2023) -> New South Wales Waratahs (2024 - 2024) -> North Harbour (2024 - 2024) -> New South Wales Waratahs (2024 - 2025) -> Brumbies (2025 - 2026)
Austin ANDERSON,Austin ANDERSON,CTB,Brumbies,186,94,2003.11.18,,,,,A,0,https://all.rugby/player/austin-anderson,,Waikato Mooloos (2022 - 2023) -> Brumbies (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Brumbies (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Brumbies (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Brumbies (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Brumbies (2025 - 2026),,,https://all.rugby/player/austin-anderson,Waikato Mooloos (2022 - 2023) -> Brumbies (2023 - 2023) -> Waikato Mooloos (2023 - 2023) -> Brumbies (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Brumbies (2024 - 2024) -> Waikato Mooloos (2024 - 2024) -> Brumbies (2025 - 2025) -> Waikato Mooloos (2025 - 2025) -> Brumbies (2025 - 2026)
David FELIUAI,David FELIUAI,CTB,Brumbies,185,98,1997.05.16,,,,,A,0,https://all.rugby/player/david-feliuai,,CSM Baia Mare (2019 - 2021) -> Sunnybank Rugby (2021 - 2022) -> Melbourne Rebels (2022 - 2024) -> Brumbies (2024 - 2026),,,https://all.rugby/player/david-feliuai,CSM Baia Mare (2019 - 2021) -> Sunnybank Rugby (2021 - 2022) -> Melbourne Rebels (2022 - 2024) -> Brumbies (2024 - 2026)
Hudson CREIGHTON,Hudson CREIGHTON,CTB,Brumbies,182,90,2000.03.21,,,,,A,0,https://all.rugby/player/hudson-creighton,,Brothers Rugby Club (2019 - 2020) -> Queensland Reds (2020 - 2021) -> Brumbies (2021 - 2023) -> Otago (2023 - 2023) -> Brumbies (2024 - 2024) -> Otago (2024 - 2024) -> Brumbies (2024 - 2026),,,https://all.rugby/player/hudson-creighton,Brothers Rugby Club (2019 - 2020) -> Queensland Reds (2020 - 2021) -> Brumbies (2021 - 2023) -> Otago (2023 - 2023) -> Brumbies (2024 - 2024) -> Otago (2024 - 2024) -> Brumbies (2024 - 2026)
Jarrah MCLEOD,Jarrah MCLEOD,CTB,Brumbies,192,105,2004..,,,,,A,0,https://all.rugby/player/jarrah-mcleod,,Brumbies (2023 - 2024) -> Canberra Royals (2024 - 2025) -> Brumbies (2025 - 2026),,,https://all.rugby/player/jarrah-mcleod,Brumbies (2023 - 2024) -> Canberra Royals (2024 - 2025) -> Brumbies (2025 - 2026)
Kadin PRITCHARD,Kadin PRITCHARD,CTB,Brumbies,191,96,2004..,,,,,A,0,https://all.rugby/player/kadin-pritchard,,Brumbies (2023 - 2026),,,https://all.rugby/player/kadin-pritchard,Brumbies (2023 - 2026)
Kye OATES,Kye OATES,CTB,Brumbies,180,90,1999.09.01,,,,,A,0,https://all.rugby/player/kye-oates,,Canberra Royals (2024 - 2025) -> Brumbies (2025 - 2026),,,https://all.rugby/player/kye-oates,Canberra Royals (2024 - 2025) -> Brumbies (2025 - 2026)
Andy MUIRHEAD,Andy MUIRHEAD,Winger,Brumbies,183,84,1993.07.08,,,,,A,0,https://all.rugby/player/andy-muirhead,,Brumbies (2016 - 2026),,,https://all.rugby/player/andy-muirhead,Brumbies (2016 - 2026)
Corey TOOLE,Corey TOOLE,Winger,Brumbies,178,85,2000.03.07,,,,,A,0,https://all.rugby/player/corey-toole,,Aussie 7's (2021 - 2022) -> Brumbies (2022 - 2026),Australia,Australia,https://all.rugby/player/corey-toole,Aussie 7's (2021 - 2022) -> Brumbies (2022 - 2026)
Ollie SAPSFORD,Ollie SAPSFORD,Winger,Brumbies,191,104,1995.10.07,,,,,A,0,https://all.rugby/player/ollie-sapsford,,Hawke's Bay Magpies (2018 - 2021) -> Brumbies (2021 - 2021) -> Hawke's Bay Magpies (2021 - 2021) -> Brumbies (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Brumbies (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Brumbies (2023 - 2023) -> Hawke's Bay Magpies (2023 - 2023) -> Brumbies (2023 - 2026),,,https://all.rugby/player/ollie-sapsford,Hawke's Bay Magpies (2018 - 2021) -> Brumbies (2021 - 2021) -> Hawke's Bay Magpies (2021 - 2021) -> Brumbies (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Brumbies (2022 - 2022) -> Hawke's Bay Magpies (2022 - 2022) -> Brumbies (2023 - 2023) -> Hawke's Bay Magpies (2023 - 2023) -> Brumbies (2023 - 2026)
Tom WRIGHT,Tom WRIGHT,Winger,Brumbies,186,100,1997.07.21,,,,,A,0,https://all.rugby/player/tom-wright,,Brumbies (2018 - 2026),Australia,Australia,https://all.rugby/player/tom-wright,Brumbies (2018 - 2026)
Apolosi RANAWAI,Apolosi RANAWAI,PR,Waratahs,183,135,1994.04.16,,,,,A,0,https://all.rugby/player/apolosi-ranawai,,Northern Suburbs RFC (2024 - 2025) -> New South Wales Waratahs (2025 - 2026),,,https://all.rugby/player/apolosi-ranawai,Northern Suburbs RFC (2024 - 2025) -> New South Wales Waratahs (2025 - 2026)
Daniel BOTHA,Daniel BOTHA,PR,Waratahs,188,120,2001.12.16,,,,,A,0,https://all.rugby/player/daniel-botha,,Sydney University Football Club (2020 - 2022) -> New South Wales Waratahs (2022 - 2026),,,https://all.rugby/player/daniel-botha,Sydney University Football Club (2020 - 2022) -> New South Wales Waratahs (2022 - 2026)
Isaac AEDO KAILEA,Isaac AEDO KAILEA,PR,Waratahs,192,129,2000.07.13,,,,,A,0,https://all.rugby/player/isaac-aedo-kailea,,Université du Queensland (2019 - 2020) -> Melbourne Rebels (2020 - 2024) -> New South Wales Waratahs (2024 - 2026),Australia,Australia,https://all.rugby/player/isaac-aedo-kailea,Université du Queensland (2019 - 2020) -> Melbourne Rebels (2020 - 2024) -> New South Wales Waratahs (2024 - 2026)
Jack BARRETT,Jack BARRETT,PR,Waratahs,185,111,2004..,,,,,A,0,https://all.rugby/player/jack-barrett,,Randwick Rugby (2022 - 2023) -> New South Wales Waratahs (2023 - 2026),,,https://all.rugby/player/jack-barrett,Randwick Rugby (2022 - 2023) -> New South Wales Waratahs (2023 - 2026)
Sifa AMONE,Sifa AMONE,PR,Waratahs,180,125,2002.02.25,,,,,A,0,https://all.rugby/player/sifa-amone,,Associates Rugby Union Football Club (2021 - 2022) -> Western Force (2022 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/sifa-amone,Associates Rugby Union Football Club (2021 - 2022) -> Western Force (2022 - 2024) -> New South Wales Waratahs (2024 - 2026)
Tom LAMBERT,Tom LAMBERT,PR,Waratahs,188,115,2000.11.20,,,,,A,0,https://all.rugby/player/thomas-lambert,,Sydney University Football Club (2019 - 2020) -> Glasgow Warriors (2020 - 2022) -> New South Wales Waratahs (2022 - 2026),,,https://all.rugby/player/thomas-lambert,Sydney University Football Club (2019 - 2020) -> Glasgow Warriors (2020 - 2022) -> New South Wales Waratahs (2022 - 2026)
Will GODDARD,Will GODDARD,PR,Waratahs,183,125,2005..,,,,,A,0,https://all.rugby/player/will-goddard,,New South Wales Waratahs (2023 - 2024) -> Eastwood Rugby Club (2024 - 2025) -> New South Wales Waratahs (2025 - 2026),,,https://all.rugby/player/will-goddard,New South Wales Waratahs (2023 - 2024) -> Eastwood Rugby Club (2024 - 2025) -> New South Wales Waratahs (2025 - 2026)
Ethan DOBBINS,Ethan DOBBINS,HO,Waratahs,181,108,2000.05.03,,,,,A,0,https://all.rugby/player/ethan-dobbins,,West Brisbane Bulldogs (2021 - 2023) -> Melbourne Rebels (2023 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/ethan-dobbins,West Brisbane Bulldogs (2021 - 2023) -> Melbourne Rebels (2023 - 2024) -> New South Wales Waratahs (2024 - 2026)
Folau FAINGA'A,Folau FAINGA'A,HO,Waratahs,178,115,1995.05.05,,,,,A,0,https://all.rugby/player/folau-fainga-a,,Brumbies (2017 - 2022) -> Western Force (2022 - 2023) -> ASM Clermont Auvergne (2023 - 2025) -> New South Wales Waratahs (2025 - 2025) -> ASM Clermont Auvergne (2026 - 2026) -> New South Wales Waratahs (2026 - 2026),Australia,Australia,https://all.rugby/player/folau-fainga-a,Brumbies (2017 - 2022) -> Western Force (2022 - 2023) -> ASM Clermont Auvergne (2023 - 2025) -> New South Wales Waratahs (2025 - 2025) -> ASM Clermont Auvergne (2026 - 2026) -> New South Wales Waratahs (2026 - 2026)
Ioane MOANANU,Ioane MOANANU,HO,Waratahs,173,113,2001.02.08,,,,,A,0,https://all.rugby/player/ioane-moananu,,Counties Manukau Steelers (2021 - 2022) -> Crusaders (2022 - 2022) -> Counties Manukau Steelers (2022 - 2022) -> Crusaders (2023 - 2023) -> Counties Manukau Steelers (2023 - 2023) -> Crusaders (2023 - 2023) -> Counties Manukau Steelers (2023 - 2023) -> Crusaders (2024 - 2024) -> Counties Manukau Steelers (2024 - 2024) -> Crusaders (2024 - 2024) -> Counties Manukau Steelers (2024 - 2024) -> Crusaders (2025 - 2025) -> Counties Manukau Steelers (2025 - 2025) -> New South Wales Waratahs (2025 - 2026),,,https://all.rugby/player/ioane-moananu,Counties Manukau Steelers (2021 - 2022) -> Crusaders (2022 - 2022) -> Counties Manukau Steelers (2022 - 2022) -> Crusaders (2023 - 2023) -> Counties Manukau Steelers (2023 - 2023) -> Crusaders (2023 - 2023) -> Counties Manukau Steelers (2023 - 2023) -> Crusaders (2024 - 2024) -> Counties Manukau Steelers (2024 - 2024) -> Crusaders (2024 - 2024) -> Counties Manukau Steelers (2024 - 2024) -> Crusaders (2025 - 2025) -> Counties Manukau Steelers (2025 - 2025) -> New South Wales Waratahs (2025 - 2026)
Angus BLYTH,Angus BLYTH,LO,Waratahs,204,124,1998.03.04,,,,,A,0,https://all.rugby/player/angus-blyth,,Queensland Reds (2017 - 2025) -> New South Wales Waratahs (2025 - 2026),Australia,Australia,https://all.rugby/player/angus-blyth,Queensland Reds (2017 - 2025) -> New South Wales Waratahs (2025 - 2026)
Ben GRANT,Ben GRANT,LO,Waratahs,204,118,1998.05.18,,,,,A,0,https://all.rugby/player/ben-grant,,Perth Spirit (2016 - 2017) -> Western Force (2018 - 2020) -> Queensland Reds (2020 - 2021) -> San Diego Legion (2021 - 2022) -> North Harbour (2022 - 2022) -> San Diego Legion (2023 - 2023) -> North Harbour (2023 - 2023) -> Hurricanes (2023 - 2023) -> North Harbour (2023 - 2023) -> Hurricanes (2024 - 2024) -> North Harbour (2024 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/ben-grant,Perth Spirit (2016 - 2017) -> Western Force (2018 - 2020) -> Queensland Reds (2020 - 2021) -> San Diego Legion (2021 - 2022) -> North Harbour (2022 - 2022) -> San Diego Legion (2023 - 2023) -> North Harbour (2023 - 2023) -> Hurricanes (2023 - 2023) -> North Harbour (2023 - 2023) -> Hurricanes (2024 - 2024) -> North Harbour (2024 - 2024) -> New South Wales Waratahs (2024 - 2026)
Clem HALAHOLO,Clem HALAHOLO,LO,Waratahs,193,104,2003.09.22,,,,,A,0,https://all.rugby/player/clem-halaholo,,Sydney University Football Club (2023 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/clem-halaholo,Sydney University Football Club (2023 - 2024) -> New South Wales Waratahs (2024 - 2026)
Eamon DOYLE,Eamon DOYLE,LO,Waratahs,198,112,2005..,,,,,A,0,https://all.rugby/player/eamon-doyle,,New South Wales Waratahs (2023 - 2026),,,https://all.rugby/player/eamon-doyle,New South Wales Waratahs (2023 - 2026)
Matt PHILIP,Matt PHILIP,LO,Waratahs,199,115,1994.03.07,,,,,A,0,https://all.rugby/player/matt-philip,,Western Force (2015 - 2017) -> Melbourne Rebels (2017 - 2020) -> Section Paloise Béarn Pyrénées (2020 - 2021) -> Melbourne Rebels (2021 - 2023) -> Yokohama Canon Eagles (2023 - 2025) -> New South Wales Waratahs (2025 - 2026),Australia,Australia,https://all.rugby/player/matt-philip,Western Force (2015 - 2017) -> Melbourne Rebels (2017 - 2020) -> Section Paloise Béarn Pyrénées (2020 - 2021) -> Melbourne Rebels (2021 - 2023) -> Yokohama Canon Eagles (2023 - 2025) -> New South Wales Waratahs (2025 - 2026)
Miles AMATOSERO,Miles AMATOSERO,LO,Waratahs,202,125,2002.06.15,,,,,A,0,https://all.rugby/player/miles-amatosero,,club inconnu (2019 - 2020) -> ASM Clermont Auvergne (2020 - 2023) -> New South Wales Waratahs (2023 - 2023) -> ASM Clermont Auvergne (2024 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/miles-amatosero,club inconnu (2019 - 2020) -> ASM Clermont Auvergne (2020 - 2023) -> New South Wales Waratahs (2023 - 2023) -> ASM Clermont Auvergne (2024 - 2024) -> New South Wales Waratahs (2024 - 2026)
Angus SCOTT-YOUNG,Angus SCOTT-YOUNG,Back row,Waratahs,194,108,1997.04.23,,,,,A,0,https://all.rugby/player/angus-scott-young,,Queensland Reds (2017 - 2020) -> Bay of Plenty Steamers (2020 - 2020) -> Queensland Reds (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Queensland Reds (2021 - 2022) -> Northampton Saints (2022 - 2025) -> New South Wales Waratahs (2025 - 2025) -> Northampton Saints (2026 - 2026) -> New South Wales Waratahs (2026 - 2026),,,https://all.rugby/player/angus-scott-young,Queensland Reds (2017 - 2020) -> Bay of Plenty Steamers (2020 - 2020) -> Queensland Reds (2021 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Queensland Reds (2021 - 2022) -> Northampton Saints (2022 - 2025) -> New South Wales Waratahs (2025 - 2025) -> Northampton Saints (2026 - 2026) -> New South Wales Waratahs (2026 - 2026)
Austin DURBIDGE,Austin DURBIDGE,Back row,Waratahs,184,98,2005..,,,,,A,0,https://all.rugby/player/austin-durbidge,,New South Wales Waratahs (2023 - 2024) -> Sydney University Football Club (2024 - 2025) -> New South Wales Waratahs (2025 - 2026),,,https://all.rugby/player/austin-durbidge,New South Wales Waratahs (2023 - 2024) -> Sydney University Football Club (2024 - 2025) -> New South Wales Waratahs (2025 - 2026)
Charlie GAMBLE,Charlie GAMBLE,Back row,Waratahs,185,107,1996.04.25,,,,,A,0,https://all.rugby/player/charlie-gamble,,Sydney (2018 - 2019) -> New South Wales Waratahs (2019 - 2020) -> Northern Suburbs RFC (2020 - 2020) -> New South Wales Waratahs (2021 - 2021) -> Northern Suburbs RFC (2021 - 2021) -> New South Wales Waratahs (2021 - 2026),,,https://all.rugby/player/charlie-gamble,Sydney (2018 - 2019) -> New South Wales Waratahs (2019 - 2020) -> Northern Suburbs RFC (2020 - 2020) -> New South Wales Waratahs (2021 - 2021) -> Northern Suburbs RFC (2021 - 2021) -> New South Wales Waratahs (2021 - 2026)
Jamie ADAMSON,Jamie ADAMSON,Back row,Waratahs,188,95,1999.11.09,,,,,A,0,https://all.rugby/player/jamie-adamson,,Angleterre 7's (2019 - 2023) -> Easts Rugby Union Club (2023 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/jamie-adamson,Angleterre 7's (2019 - 2023) -> Easts Rugby Union Club (2023 - 2024) -> New South Wales Waratahs (2024 - 2026)
Lachlan HOOPER,Lachlan HOOPER,Back row,Waratahs,195,101,2004.02.19,,,,,A,0,https://all.rugby/player/lachlan-hooper,,Canberra Vikings (2022 - 2023) -> Brumbies (2023 - 2024) -> Northland Taniwha (2024 - 2024) -> Brumbies (2025 - 2025) -> Northland Taniwha (2025 - 2025) -> New South Wales Waratahs (2025 - 2026),,,https://all.rugby/player/lachlan-hooper,Canberra Vikings (2022 - 2023) -> Brumbies (2023 - 2024) -> Northland Taniwha (2024 - 2024) -> Brumbies (2025 - 2025) -> Northland Taniwha (2025 - 2025) -> New South Wales Waratahs (2025 - 2026)
Leafi TALATAINA,Leafi TALATAINA,Back row,Waratahs,196,112,2004.01.18,,,,,A,0,https://all.rugby/player/leafi-talataina,,Melbourne Rebels (2021 - 2022) -> Endeavour Hills RUFC (2022 - 2023) -> Sydney University Football Club (2023 - 2024) -> New South Wales Waratahs (2024 - 2026),,,https://all.rugby/player/leafi-talataina,Melbourne Rebels (2021 - 2022) -> Endeavour Hills RUFC (2022 - 2023) -> Sydney University Football Club (2023 - 2024) -> New South Wales Waratahs (2024 - 2026)
Pete SAMU,Pete SAMU,Back row,Waratahs,185,102,1991.12.17,,,,,A,0,https://all.rugby/player/pete-samu,,Crusaders (2015 - 2018) -> Brumbies (2018 - 2023) -> Union Bordeaux-Bègles (2023 - 2025) -> New South Wales Waratahs (2025 - 2026),Australia,Australia,https://all.rugby/player/pete-samu,Crusaders (2015 - 2018) -> Brumbies (2018 - 2023) -> Union Bordeaux-Bègles (2023 - 2025) -> New South Wales Waratahs (2025 - 2026)
Jake GORDON,Jake GORDON,SH,Waratahs,186,91,1993.07.06,,,,,A,0,https://all.rugby/player/jake-gordon,,New South Wales Waratahs (2016 - 2026),Australia,Australia,https://all.rugby/player/jake-gordon,New South Wales Waratahs (2016 - 2026)
Michael MCDONALD,Michael MCDONALD,SH,Waratahs,178,85,1999.06.24,,,,,A,0,https://all.rugby/player/michael-mcdonald,,Sydney (2018 - 2019) -> New South Wales Waratahs (2019 - 2020) -> Western Force (2020 - 2022) -> Ulster Rugby (2022 - 2023) -> Connacht Rugby (2023 - 2024) -> Ulster Rugby (2024 - 2025) -> New South Wales Waratahs (2025 - 2026),,,https://all.rugby/player/michael-mcdonald,Sydney (2018 - 2019) -> New South Wales Waratahs (2019 - 2020) -> Western Force (2020 - 2022) -> Ulster Rugby (2022 - 2023) -> Connacht Rugby (2023 - 2024) -> Ulster Rugby (2024 - 2025) -> New South Wales Waratahs (2025 - 2026)
Teddy WILSON,Teddy WILSON,SH,Waratahs,182,85,2003.02.25,,,,,A,0,https://all.rugby/player/teddy-wilson,,Eastern Suburbs RFC (2020 - 2021) -> New South Wales Waratahs (2021 - 2026),,,https://all.rugby/player/teddy-wilson,Eastern Suburbs RFC (2020 - 2021) -> New South Wales Waratahs (2021 - 2026)
