name_ja,name_en,position,age,height,weight,university,team,league,category,url
谷川 司,,WTB,,,,同志社大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
芦塚 仁,,WTB,,178,93,同志社大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
中村 海斗,,WTB,,,,帝京大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
高比良 隼輝,,WTB,,,,明治大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
林 哲平,,FB,,176,81,明治大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
野々山 紘旨,,FB,,,,中部大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
長野 成貴,,FB,,,,帝京大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
鬼木 秀一,,FB,,,,帝京大学,中部電力,top-west-a,top-west-a,https://www.chuden.co.jp/energy/p_sports/rugby/
依藤 駿之介,,PR,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
三木 陽平,,PR,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
山中 翔太,,PR,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
鈴木 将大,,HO,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
山田 裕大,,HO,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
鈴木 隆文,,LO,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
半田 歩夢,,LO,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
後藤 康成,,FL,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
後藤 龍馬,,FL,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
佃 大輝,,No.8,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
福岡 壮太郎,,SH,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
間森 涼太,,SO,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
阿部 慎太郎,,CTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
金子 隆洋,,CTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
河波 風太,,CTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
畑中 進吾,,CTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
南野 仁,,WTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
本田 飛翔,,WTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
大鳥 勢太,,WTB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
小松 頼斗,,FB,,,,,Daigas Struggers,top-west-a,top-west-a,https://www.osakagas.co.jp/company/efforts/sports/rugby/
半田 晃大,,PR,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
宮脇 颯太,,PR,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
加覽 和成,,PR,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
小林 大介,,PR,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
野崎 睦馬,,PR,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
谷井 連太郎,,HO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
山口 翼,,HO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
小泉 友一郎,,HO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
栗本 勘司,,LO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
中庭 由尋,,LO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
上辻 佑磨,,LO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
駒井 凌太,,LO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
蔵守 俊介,,LO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
高橋 稔貴,,FL,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
篠澤 輝,,FL,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
岡本 流星,,FL,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
宮本 学武,,FL,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
照井 悠一郎,,FL,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
吉田 周平,,No.8,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
廣田 瞬,,SH,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
武井 陽昌,,SH,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
星野 玄太,,SH,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
志和池 豊馬,,SO,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
高部 勇,,CTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
川島 俊亮,,CTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
星野 大紀,,CTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
堀田 恒司,,CTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
白國 亮大,,WTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
松田 信夫,,WTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
村田 佳翼,,WTB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
勝又 佑介,,FB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
楠本 航己,,FB,,,,,大阪府警察,top-west-a,top-west-a,https://www.police.pref.osaka.lg.jp/soshiki/taiiku/rugby/index.html
絹川 誠吾,,PR,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
坂本 匠,,PR,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
中島 悠太,,PR,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
長谷川 翔舞,,PR,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
稲田 竜一,,PR,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
高松 悠天,,HO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
西村 優希,,HO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
中川 将弥,,LO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
小池 健雄,,LO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
河野 圭太朗,,LO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
完山 汰成,,LO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
羽田 匠之介,,FL,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
大澤 俊介,,FL,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
李 翔太,,SH,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
秦 陽太,,SO,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
片岡 祐二,,CTB,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
生駒 創大郎,,CTB,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
澤田 壮太郎,,WTB,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
外山 翔平,,WTB,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
山崎 来夢,,WTB,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
山下 慶輔,,FB,,,,,島津製作所 Breakers,top-west-a,top-west-a,https://www.shimadzu.co.jp/rugby/
橋詰 学,,SH,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
多賀 慈綺,,SH,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
池上 琉生,,SH,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
坂口 由純,,SH,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
土田 修也,,SO,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
山内 凌雅,,SO,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
一口 隼人,,FL,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
人見 太基,,CTB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
北平 陽成,,CTB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
金 成志,,CTB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
伴井 亮太,,WTB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
亀井 郁弥,,WTB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
齊藤 瑠海奈,,FB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
森本 蒼,,FB,,,,,JR西日本レイラーズ,top-west-a,top-west-a,https://www.westjr.co.jp/company/action/sports/rugby/
山内 開斗,,FW,,,,,MARUWA LOGISTAR’Z KYOTO,top-west-a,top-west-a,https://www.maruwa-logi.jp/sports/
平野 佑馬,,FW,,,,,MARUWA LOGISTAR’Z KYOTO,top-west-a,top-west-a,https://www.maruwa-logi.jp/sports/
田中 大喜,,BK,,,,,MARUWA LOGISTAR’Z KYOTO,top-west-a,top-west-a,https://www.maruwa-logi.jp/sports/
小野 貴大,,FW,,,,,豊田通商BLUE WING,top-west-a,top-west-a,https://www.toyota-tsusho.com/rugby/
松岡 航平,,BK,,,,,豊田通商BLUE WING,top-west-a,top-west-a,https://www.toyota-tsusho.com/rugby/
