英語名,選手名,ポジション,所属チーム,身長,体重,生年月日,年齢,高校,大学,出身校・チーム歴(全文),カテゴリ,URL,キャリア遍歴,代表キャップ数,International_Caps,Scraped_Url,Full_Career
Olujare OGUNTIBEJU,Olujare OGUNTIBEJU,LO,Glasgow,202,123,2002.05.14,,,,,A,https://all.rugby/player/olujare-oguntibeju,Ealing Trailfinders (2020 - 2023) -> Stirling County RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/olujare-oguntibeju,Ealing Trailfinders (2020 - 2023) -> Stirling County RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Scott CUMMINGS,Scott CUMMINGS,LO,Glasgow,199,117,1996.12.03,,,,,A,https://all.rugby/player/scott-cummings,Glasgow Warriors (2015 - 2026),Scotland,Scotland,https://all.rugby/player/scott-cummings,Glasgow Warriors (2015 - 2026)
Ally MILLER,Ally MILLER,Back row,Glasgow,193,112,1996.05.10,,,,,A,https://all.rugby/player/ally-miller,Edimbourg Rugby (2017 - 2021) -> Glasgow Warriors (2021 - 2026),,,https://all.rugby/player/ally-miller,Edimbourg Rugby (2017 - 2021) -> Glasgow Warriors (2021 - 2026)
Jack DEMPSEY,Jack DEMPSEY,Back row,Glasgow,191,112,1994.04.12,,,,,A,https://all.rugby/player/jack-dempsey,New South Wales Waratahs (2014 - 2021) -> Glasgow Warriors (2021 - 2026),Australia,Australia,https://all.rugby/player/jack-dempsey,New South Wales Waratahs (2014 - 2021) -> Glasgow Warriors (2021 - 2026)
Matt FAGERSON,Matt FAGERSON,Back row,Glasgow,186,110,1998.07.16,,,,,A,https://all.rugby/player/matt-fagerson,Glasgow Warriors (2016 - 2026),Scotland,Scotland,https://all.rugby/player/matt-fagerson,Glasgow Warriors (2016 - 2026)
Rory DARGE,Rory DARGE,Back row,Glasgow,186,102,2000.02.23,,,,,A,https://all.rugby/player/rory-darge,Southern Knights (2019 - 2020) -> Edimbourg Rugby (2020 - 2020) -> Glasgow Warriors (2020 - 2020) -> Edimbourg Rugby (2021 - 2021) -> Glasgow Warriors (2021 - 2026),Scotland,Scotland,https://all.rugby/player/rory-darge,Southern Knights (2019 - 2020) -> Edimbourg Rugby (2020 - 2020) -> Glasgow Warriors (2020 - 2020) -> Edimbourg Rugby (2021 - 2021) -> Glasgow Warriors (2021 - 2026)
Sione VAILANU,Sione VAILANU,Back row,Glasgow,189,127,1995.01.27,,,,,A,https://all.rugby/player/sione-vailanu,Saracens (2017 - 2019) -> Wasps (2019 - 2021) -> Worcester Warriors (2021 - 2022) -> Glasgow Warriors (2022 - 2026),Tonga,Tonga,https://all.rugby/player/sione-vailanu,Saracens (2017 - 2019) -> Wasps (2019 - 2021) -> Worcester Warriors (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
Ben AFSHAR,Ben AFSHAR,SH,Glasgow,184,81,2003.04.02,,,,,A,https://all.rugby/player/ben-afshar,Southern Knights (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,https://all.rugby/player/ben-afshar,Southern Knights (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
George HORNE,George HORNE,SH,Glasgow,174,81,1995.05.12,,,,,A,https://all.rugby/player/george-horne,Glasgow Warriors (2016 - 2026),Scotland,Scotland,https://all.rugby/player/george-horne,Glasgow Warriors (2016 - 2026)
Jamie DOBIE,Jamie DOBIE,SH,Glasgow,175,81,2001.06.07,,,,,A,https://all.rugby/player/jamie-dobie,Glasgow Warriors (2019 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Glasgow Warriors (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Glasgow Warriors (2022 - 2026),Scotland,Scotland,https://all.rugby/player/jamie-dobie,Glasgow Warriors (2019 - 2021) -> Bay of Plenty Steamers (2021 - 2021) -> Glasgow Warriors (2022 - 2022) -> Bay of Plenty Steamers (2022 - 2022) -> Glasgow Warriors (2022 - 2026)
Adam HASTINGS,Adam HASTINGS,SO,Glasgow,189,93,1996.10.05,,,,,A,https://all.rugby/player/adam-hastings,Bath Rugby (2015 - 2017) -> Glasgow Warriors (2017 - 2021) -> Gloucester Rugby (2021 - 2024) -> Glasgow Warriors (2024 - 2026),Scotland,Scotland,https://all.rugby/player/adam-hastings,Bath Rugby (2015 - 2017) -> Glasgow Warriors (2017 - 2021) -> Gloucester Rugby (2021 - 2024) -> Glasgow Warriors (2024 - 2026)
Charlie SAVALA,Charlie SAVALA,SO,Glasgow,193,102,2000.04.21,,,,,A,https://all.rugby/player/charlie-savala,Sydney Roosters (2019 - 2020) -> Edimbourg Rugby (2020 - 2023) -> Northampton Saints (2023 - 2023) -> Edimbourg Rugby (2024 - 2024) -> Northampton Saints (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/charlie-savala,Sydney Roosters (2019 - 2020) -> Edimbourg Rugby (2020 - 2023) -> Northampton Saints (2023 - 2023) -> Edimbourg Rugby (2024 - 2024) -> Northampton Saints (2024 - 2025) -> Glasgow Warriors (2025 - 2026)
Dan LANCASTER,Dan LANCASTER,SO,Glasgow,183,96,2001.05.23,,,,,A,https://all.rugby/player/dan-lancaster,Leeds Tykes (2020 - 2021) -> Leicester Tigers (2021 - 2022) -> Ealing Trailfinders (2022 - 2024) -> Racing 92 (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/dan-lancaster,Leeds Tykes (2020 - 2021) -> Leicester Tigers (2021 - 2022) -> Ealing Trailfinders (2022 - 2024) -> Racing 92 (2024 - 2025) -> Glasgow Warriors (2025 - 2026)
Duncan WEIR,Duncan WEIR,SO,Glasgow,176,91,1991.05.10,,,,,A,https://all.rugby/player/duncan-weir,Glasgow Warriors (2013 - 2016) -> Edimbourg Rugby (2016 - 2018) -> Worcester Warriors (2018 - 2021) -> Glasgow Warriors (2021 - 2026),Scotland,Scotland,https://all.rugby/player/duncan-weir,Glasgow Warriors (2013 - 2016) -> Edimbourg Rugby (2016 - 2018) -> Worcester Warriors (2018 - 2021) -> Glasgow Warriors (2021 - 2026)
Duncan MUNN,Duncan MUNN,CTB,Glasgow,191,94,2003.05.28,,,,,A,https://all.rugby/player/duncan-munn,Boroughmuir RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,https://all.rugby/player/duncan-munn,Boroughmuir RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
Huw JONES,Huw JONES,CTB,Glasgow,186,102,1993.12.17,,,,,A,https://all.rugby/player/huw-jones,Stormers (2014 - 2016) -> Glasgow Warriors (2017 - 2021) -> Harlequins (2021 - 2022) -> Glasgow Warriors (2022 - 2026),Scotland,Scotland,https://all.rugby/player/huw-jones,Stormers (2014 - 2016) -> Glasgow Warriors (2017 - 2021) -> Harlequins (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
Kyle STEYN,Kyle STEYN,CTB,Glasgow,188,102,1994.01.29,,,,,A,https://all.rugby/player/kyle-steyn,Glasgow Warriors (2018 - 2026),South Africa,South Africa,https://all.rugby/player/kyle-steyn,Glasgow Warriors (2018 - 2026)
Sione TUIPULOTU,Sione TUIPULOTU,CTB,Glasgow,178,104,1997.02.12,,,,,A,https://all.rugby/player/sione-tuipulotu,Melbourne Rebels (2015 - 2019) -> Shizuoka Blue Revs (2019 - 2021) -> Glasgow Warriors (2021 - 2026),Australia,Australia,https://all.rugby/player/sione-tuipulotu,Melbourne Rebels (2015 - 2019) -> Shizuoka Blue Revs (2019 - 2021) -> Glasgow Warriors (2021 - 2026)
Stafford MCDOWALL,Stafford MCDOWALL,CTB,Glasgow,193,103,1998.02.24,,,,,A,https://all.rugby/player/stafford-mcdowall,Glasgow Warriors (2017 - 2026),Scotland,Scotland,https://all.rugby/player/stafford-mcdowall,Glasgow Warriors (2017 - 2026)
Josh MCKAY,Josh MCKAY,FB,Glasgow,183,95,1997.10.10,,,,,A,https://all.rugby/player/josh-mckay,Highlanders (2017 - 2019) -> Canterbury (2019 - 2019) -> Highlanders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2021 - 2021) -> Canterbury (2021 - 2021) -> Glasgow Warriors (2021 - 2026),,,https://all.rugby/player/josh-mckay,Highlanders (2017 - 2019) -> Canterbury (2019 - 2019) -> Highlanders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2020 - 2020) -> Canterbury (2020 - 2020) -> Crusaders (2021 - 2021) -> Canterbury (2021 - 2021) -> Glasgow Warriors (2021 - 2026)
Kyle ROWE,Kyle ROWE,FB,Glasgow,183,88,1998.02.08,,,,,A,https://all.rugby/player/kyle-rowe,Edimbourg Rugby (2020 - 2021) -> London Irish (2021 - 2023) -> Glasgow Warriors (2023 - 2026),Scotland,Scotland,https://all.rugby/player/kyle-rowe,Edimbourg Rugby (2020 - 2021) -> London Irish (2021 - 2023) -> Glasgow Warriors (2023 - 2026)
Ollie SMITH,Ollie SMITH,FB,Glasgow,188,98,2000.08.07,,,,,A,https://all.rugby/player/ollie-smith,Glasgow Warriors (2018 - 2026),Scotland,Scotland,https://all.rugby/player/ollie-smith,Glasgow Warriors (2018 - 2026)
Jackson RENNIE,Jackson RENNIE,PR,Glasgow,188,119,2007..,,,,,A,https://all.rugby/player/jackson-rennie,Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/jackson-rennie,Glasgow Warriors (2025 - 2026)
Jake SHEARER,Jake SHEARER,PR,Glasgow,185,113,2005..,,,,,A,https://all.rugby/player/jake-shearer,Cumnock RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/jake-shearer,Cumnock RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Ollie MCKENNA,Ollie MCKENNA,PR,Glasgow,182,109,2006..,,,,,A,https://all.rugby/player/ollie-mckenna,Glasgow Hutchesons Aloysians RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/ollie-mckenna,Glasgow Hutchesons Aloysians RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Seb STEPHEN,Seb STEPHEN,HO,Glasgow,189,113,2005..,,,,,A,https://all.rugby/player/seb-stephen,Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/seb-stephen,Glasgow Warriors (2024 - 2026)
Dan HALKON,Dan HALKON,LO,Glasgow,200,120,2006..,,,,,A,https://all.rugby/player/dan-halkon,RGS Worcester (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/dan-halkon,RGS Worcester (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Dylan COCKBURN,Dylan COCKBURN,LO,Glasgow,195,112,2005..,,,,,A,https://all.rugby/player/dylan-cockburn,Melrose RFC (2023 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/dylan-cockburn,Melrose RFC (2023 - 2025) -> Glasgow Warriors (2025 - 2026)
Ryan BURKE,Ryan BURKE,LO,Glasgow,200,117,2004..,,,,,A,https://all.rugby/player/ryan-burke,Glasgow Warriors (2023 - 2026),,,https://all.rugby/player/ryan-burke,Glasgow Warriors (2023 - 2026)
Archie MCMICHAEL,Archie MCMICHAEL,Back row,Glasgow,193,93,2006..,,,,,A,https://all.rugby/player/archie-mcmichael,Strathallan Rugby Academy (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/archie-mcmichael,Strathallan Rugby Academy (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Jonny MORRIS,Jonny MORRIS,Back row,Glasgow,192,108,2004.01.09,,,,,A,https://all.rugby/player/jonny-morris,Glasgow Hutchesons Aloysians RFC (2022 - 2023) -> Glasgow Warriors (2023 - 2026),,,https://all.rugby/player/jonny-morris,Glasgow Hutchesons Aloysians RFC (2022 - 2023) -> Glasgow Warriors (2023 - 2026)
Macenzzie DUNCAN,Macenzzie DUNCAN,Back row,Glasgow,183,106,2003.02.25,,,,,A,https://all.rugby/player/macenzzie-duncan,Bristol Bears (2021 - 2023) -> Hartpury RFC (2023 - 2023) -> Bristol Bears (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/macenzzie-duncan,Bristol Bears (2021 - 2023) -> Hartpury RFC (2023 - 2023) -> Bristol Bears (2024 - 2024) -> Hartpury RFC (2024 - 2024) -> Glasgow Warriors (2024 - 2026)
Rory PURVIS,Rory PURVIS,Back row,Glasgow,191,106,2006..,,,,,A,https://all.rugby/player/rory-purvis,Stirling County RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/rory-purvis,Stirling County RFC (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Brent JACKSON,Brent JACKSON,SH,Glasgow,180,84,2004..,,,,,A,https://all.rugby/player/brent-jackson,King Edward VII School (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/brent-jackson,King Edward VII School (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Jack OLIVER,Jack OLIVER,SH,Glasgow,174,81,2003.04.28,,,,,A,https://all.rugby/player/jack-oliver,Munster Rugby (2021 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/jack-oliver,Munster Rugby (2021 - 2025) -> Glasgow Warriors (2025 - 2026)
Matthew URWIN,Matthew URWIN,SO,Glasgow,181,83,2005..,,,,,A,https://all.rugby/player/matthew-urwin,Glasgow Warriors (2023 - 2026),,,https://all.rugby/player/matthew-urwin,Glasgow Warriors (2023 - 2026)
Alex BRYDEN,Alex BRYDEN,CTB,Glasgow,193,102,2006..,,,,,A,https://all.rugby/player/alex-bryden,Dumfries Saints (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/alex-bryden,Dumfries Saints (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Ben SALMON,Ben SALMON,CTB,Glasgow,182,83,2003.11.13,,,,,A,https://all.rugby/player/ben-salmon,Stirling County RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026),,,https://all.rugby/player/ben-salmon,Stirling County RFC (2021 - 2022) -> Glasgow Warriors (2022 - 2026)
Johnny VENTISEI,Johnny VENTISEI,CTB,Glasgow,181,96,2005..,,,,,A,https://all.rugby/player/johnny-ventisei,Glasgow Warriors (2023 - 2026),,,https://all.rugby/player/johnny-ventisei,Glasgow Warriors (2023 - 2026)
Kerr YULE,Kerr YULE,CTB,Glasgow,189,107,2005..,,,,,A,https://all.rugby/player/kerr-yule,Glasgow Hawks (2022 - 2023) -> Glasgow Warriors (2023 - 2026),,,https://all.rugby/player/kerr-yule,Glasgow Hawks (2022 - 2023) -> Glasgow Warriors (2023 - 2026)
Cameron VAN WYK,Cameron VAN WYK,Winger,Glasgow,183,93,2005..,,,,,A,https://all.rugby/player/cameron-van-wyk,Ayr RFC (2024 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/cameron-van-wyk,Ayr RFC (2024 - 2025) -> Glasgow Warriors (2025 - 2026)
Kerr JOHNSTON,Kerr JOHNSTON,Winger,Glasgow,185,103,2004..,,,,,A,https://all.rugby/player/kerr-johnston,Gala Rugby (2021 - 2022) -> Boroughmuir RFC (2022 - 2023) -> Glasgow Warriors (2023 - 2024) -> Ampthill Rugby (2024 - 2024) -> Glasgow Warriors (2025 - 2025) -> Ampthill Rugby (2025 - 2025) -> Glasgow Warriors (2025 - 2026),,,https://all.rugby/player/kerr-johnston,Gala Rugby (2021 - 2022) -> Boroughmuir RFC (2022 - 2023) -> Glasgow Warriors (2023 - 2024) -> Ampthill Rugby (2024 - 2024) -> Glasgow Warriors (2025 - 2025) -> Ampthill Rugby (2025 - 2025) -> Glasgow Warriors (2025 - 2026)
Fergus WATSON,Fergus WATSON,FB,Glasgow,192,97,2005..,,,,,A,https://all.rugby/player/fergus-watson,Glasgow Warriors (2023 - 2026),,,https://all.rugby/player/fergus-watson,Glasgow Warriors (2023 - 2026)
Harry PROVAN,Harry PROVAN,FB,Glasgow,178,96,2006..,,,,,A,https://all.rugby/player/harry-provan,Birkmyre Rugby (2023 - 2024) -> Glasgow Warriors (2024 - 2026),,,https://all.rugby/player/harry-provan,Birkmyre Rugby (2023 - 2024) -> Glasgow Warriors (2024 - 2026)
Ali VERMAAK,Ali VERMAAK,PR,Stormers,179,113,1986.04.28,,,,,A,https://all.rugby/player/alistair-vermaak,Stormers (2013 - 2026),,,https://all.rugby/player/alistair-vermaak,Stormers (2013 - 2026)
Corné WEILBACH,Corné WEILBACH,PR,Stormers,186,128,2002.02.18,,,,,A,https://all.rugby/player/corne-weilbach,Western Province (2021 - 2022) -> Blue Bulls (2022 - 2023) -> Western Province (2023 - 2024) -> Stormers (2024 - 2026),,,https://all.rugby/player/corne-weilbach,Western Province (2021 - 2022) -> Blue Bulls (2022 - 2023) -> Western Province (2023 - 2024) -> Stormers (2024 - 2026)
Frans MALHERBE,Frans MALHERBE,PR,Stormers,190,141,1991.03.14,,,,,A,https://all.rugby/player/frans-malherbe,Stormers (2011 - 2026),South Africa,South Africa,https://all.rugby/player/frans-malherbe,Stormers (2011 - 2026)
Hencus VAN WYK,Hencus VAN WYK,PR,Stormers,183,120,1992.03.02,,,,,A,https://all.rugby/player/hencus-van-wyk,Bulls (2015 - 2016) -> Lions Rugby (2016 - 2017) -> Sunwolves (2017 - 2019) -> Central Cheetahs (2019 - 2019) -> Sunwolves (2020 - 2020) -> Central Cheetahs (2020 - 2020) -> Free State Cheetahs (2020 - 2021) -> San Diego Legion (2021 - 2022) -> Central Cheetahs (2022 - 2025) -> Stormers (2025 - 2026),,,https://all.rugby/player/hencus-van-wyk,Bulls (2015 - 2016) -> Lions Rugby (2016 - 2017) -> Sunwolves (2017 - 2019) -> Central Cheetahs (2019 - 2019) -> Sunwolves (2020 - 2020) -> Central Cheetahs (2020 - 2020) -> Free State Cheetahs (2020 - 2021) -> San Diego Legion (2021 - 2022) -> Central Cheetahs (2022 - 2025) -> Stormers (2025 - 2026)
Neethling FOUCHÉ,Neethling FOUCHÉ,PR,Stormers,189,120,1993.01.10,,,,,A,https://all.rugby/player/neethling-fouche,Stormers (2017 - 2019) -> Central Cheetahs (2019 - 2020) -> Stormers (2020 - 2026),,,https://all.rugby/player/neethling-fouche,Stormers (2017 - 2019) -> Central Cheetahs (2019 - 2020) -> Stormers (2020 - 2026)
Ntuthuko MCHUNU,Ntuthuko MCHUNU,PR,Stormers,188,123,1999.04.05,,,,,A,https://all.rugby/player/ntuthuko-mchunu,Sharks (2021 - 2025) -> Stormers (2025 - 2026),South Africa,South Africa,https://all.rugby/player/ntuthuko-mchunu,Sharks (2021 - 2025) -> Stormers (2025 - 2026)
Oli KEBBLE,Oli KEBBLE,PR,Stormers,191,124,1992.06.18,,,,,A,https://all.rugby/player/oli-kebble,Stormers (2013 - 2017) -> Glasgow Warriors (2017 - 2024) -> Oyonnax Rugby (2024 - 2025) -> Stormers (2025 - 2026),South Africa,South Africa,https://all.rugby/player/oli-kebble,Stormers (2013 - 2017) -> Glasgow Warriors (2017 - 2024) -> Oyonnax Rugby (2024 - 2025) -> Stormers (2025 - 2026)
Oliver REID,Oliver REID,PR,Stormers,185,116,2006..,,,,,A,https://all.rugby/player/oliver-reid,Western Province (2024 - 2025) -> Stormers (2025 - 2026),,,https://all.rugby/player/oliver-reid,Western Province (2024 - 2025) -> Stormers (2025 - 2026)
