Name,Birthday,RepresentativeTeam
"James Dun","1999-07-07","England"
"Joe Batley","1996-06-27","England"
"Joe Owen","2001-08-16","England"
"Pedro Rubiolo","2002-12-12","Argentina"
"Steele Barker","2001-12-01","England"
"Fitz Harding","1999-04-26","England"
"Luka Ivanishvili","2001-11-25","Georgia"
"Santiago Grondona","1998-07-25","Argentina"
"Steven Luatua","1991-04-29","Samoa"
"Viliame Mata","1991-10-22","Fiji"
"Ellis Bevan","2000-10-03","Wales"
"Harry Randall","---","England"
"Kieran Marmion","---","Ireland"
"Max Pepper","---","England"
"Oscar Lennon","---","Wales"
"Sam Wolstenholme","---","England"
"Aj Macginty","---","Ireland"
"Tom Jordan","---","New Zealand"
"Benhard Janse Van Rensburg","---","South Africa"
"Charlie Powell","---","England"
"Jack Bates","---","England"
"James Williams","---","England"
"Matias Moroni","---","Argentina"
"Gabriel Ibitoye","---","England"
"Kalaveti Ravouvou","---","Fiji"
"Louis Rees Zammit","---","Wales"
"Toby Fricker","---","Wales"
"Matt Protheroe","---","Wales"
"Noah Heward","---","England"
"Richard Lane","---","England"
"George Leyland","---","Wales"
"Jimmy Halliwell","---","England"
"Louie Trevett","---","Wales"
"Sam Scott","---","Wales"
"Kieran Hill","---","England"
"Tomas Gwilliam","---","England"
"Ethan Surrey","---","England"
"Osian Williams","---","Wales"
"Will Ramply","---","England"
"Benjamin Grondona","---","Argentina"
"George Taylor","---","England"
"John Edwards","---","England"
"Kenzie Jenkins","---","Wales"
"Kofi Cripps","---","England"
"Paddy Pearce","---","England"
"Cai Gealy","---","Wales"
"Raff Weston","---","England"
"Sam Worsley","---","England"
"Joe Jenkins","---","England"
"Toby Baker","---","England"
"Victor Worsnip","---","England"
"Aidan Boshoff","---","Wales"
"Evan Morris","---","Wales"
"Benjamin Elizalde","---","Argentina"
"Josh Carrington","---","Wales"
"Ollie Harris","---","England"
"Bachuki Tchumbadze","2001-11-30","Georgia"
"Ehren Painter","1998-03-21","England"
"Ethan Burger","2000-05-23","South Africa"
"Jimmy Roots","2000-01-31","New Zealand"
"Josh Iosefa Scott","1996-07-16","New Zealand"
"Khwezi Mona","1992-08-20","South Africa"
"Kwenzo Blose","1997-12-05","South Africa"
"Scott Sio","1991-10-16","Australia"
"Will Goodrick Clarke","1995-12-29","England"
"Jack Yeandle","1989-12-22","England"
"Joseph Dweba","1995-10-25","South Africa"
"Julian Heaven","2000-01-10","Australia"
"Max Norey","1999-05-08","England"
"Andrea Zambonin","2000-04-03","Italy"
"Dafydd Jenkins","2002-05-12","Wales"
"Lewis Pearson","1999-10-26","England"
"Rusiate Tuima","2000-05-21","Fiji"
"Christ Tshiunza","2002-09-01","Congo"
"Ethan Roots","1997-10-11","New Zealand"
"Greg Fisilau","2003-09-07","England"
"Martin Moloney","---","Ireland"
"Richard Capstick","---","England"
"Ross Vintcent","---","South Africa"
"Tom Hooper","---","Australia"
"Charlie Chapman","---","England"
"Stephen Varney","---","Wales"
"Tom Cairns","---","England"
"Harvey Skinner","---","England"
"Will Haydon Wood","---","England"
"Dan John","---","Wales"
"Harry Ascherl","---","England"
"Henry Slade","---","England"
"Len Ikitau","---","Australia"
"Tamati Tua","---","New Zealand"
"Will Rigg","---","England"
"Immanuel Feyi Waboso","---","Wales"
"Olly Woodburn","---","England"
"Ben Hammersley","---","England"
"Josh Hodge","---","England"
"Tom Wyatt","---","England"
"Isaac Godfrey","---","Wales"
"Josh Mann","---","England"
"Keita Ando","---","Japan"
"Tom Gulley","---","England"
"Elliot Young","---","Scotland"
"Louie Gulley","---","England"
"Alfie Bell","---","England"
"Joe Bailey","---","England"
"Luke Evans","---","Wales"
"Marlon Farouk Roy","---","England"
"Oscar Beckerleg","---","England"
"Charlie Bell","---","England"
"Finn Worley Brady","---","England"
"Kane James","---","England"
"George Newman","---","England"
"Will Becconsall","---","England"
"Ben Coen","---","England"
"Iwan Jenkins","---","Wales"
"Campbell Ridl","---","England"
"Kian Gentry","---","England"
"Nic Allison","---","South Africa"
"Ollie Batson","---","England"
"Nick Lilley","---","England"
"Noah Fenton","---","England"
"Paul Brown Bampoe","---","England"
"Jed Findlay","---","England"
"Tom Burton","---","England"
"Orson James","---","Wales"
"Zack Wimbush","---","England"
"Afolabi Fasogbon","---","England"
"Archie Mcarthur","2003-11-06","England"
"Ciaran Knight","1998-03-19","England"
"Dian Bleuler","1999-05-08","South Africa"
"Jamal Ford Robinson","1993-11-09","England"
"Jonathan Benz Salomon","2001-05-17","Spain"
"Kirill Gotovtsev","1987-07-17","Russia"
"Nepo Laulala","1991-06-11","Samoa"
"Ollie Minnis","2003-03-18","Scotland"
"Rhys Davies 1999","1999-02-15","Wales"
"Val Rapava Ruskin","1992-12-10","Georgia"
"Jack Innard","1995-03-07","England"
"Jack Singleton","1996-05-14","England"
"Manaaki Boyle Tiatia","---","New Zealand"
"Seb Blake","2001-05-10","England"
"Will Crane","1994-02-16","England"
"Arthur Clark","2001-12-19","England"
"Cameron Jordan","1999-11-17","England"
"Danny Eite","2003-06-28","England"
"Freddie Thomas","2001-09-11","England"
"Hugh Bokenham","---","Australia"
"Matias Alemanno","---","Argentina"
"Harry Taylor","---","England"
"Jack Clement","---","England"
"Jack Mann","---","Scotland"
"James Venter","---","South Africa"
"Josh Basham","---","England"
"Lewis Ludlow","---","England"
"Will Trenholm","---","England"
"Callum Braley","---","England"
"Caolan Englefield","---","Ireland"
"Mike Austin","---","England"
"Tomos Williams","---","Wales"
"Charlie Atkinson","---","England"
"Harrison James","---","Wales"
"Ross Byrne","---","Ireland"
"Max Llewellyn","---","Wales"
"Seb Atkinson","---","England"
"Will Butler","---","England"
"Will Joseph","---","England"
"Ben Loader","---","England"
"Jacob Morris","---","England"
"Ollie Thorley","---","England"
"Rob Russell","---","Ireland"
"Ben Redshaw","---","England"
"George Barton","---","England"
"Josh Hathaway","---","Wales"
"George Alexander","---","England"
"Harrison Bellamy","---","England"
"Harry Wright","---","England"
"George Knowles","---","England"
"Kealan Freeman Price","---","England"
"Freddie Ogden Metherell","---","England"
"Jonno Balding","---","England"
"Oscar Rees","---","England"
"Peter Paramore","---","England"
"Caio James","---","Wales"
"Dan O Reilly","---","England"
"Deian Gwynne","---","Wales"
"Freddie Stevens","---","England"
"Jack Gilbert","---","England"
"Jayden Wrottesley","---","England"
"Olly Allport","---","England"
"Luca Woodyatt","---","Wales"
"Rhys Price","---","England"
"Rio Ebanks","---","England"
"Josiah Edwards Giraud","---","England"
"Max Knight","---","England"
"Will Knight","---","England"
"Ewan Caven","---","England"
"George Dufty","---","England"
"Jack Cotgreave","---","England"
"Alessandro Heaney","2002-07-21","Ireland"
"Ben Murphy","2002-02-07","England"
"Fin Baxter","2002-12-02","England"
"Harry Williams","1991-01-10","England"
"Joe Jones","1995-07-24","Wales"
"Jordan Els","1997-11-06","South Africa"
"Luke Yendle","2000-06-27","Wales"
"Pedro Delgado","1997-01-09","Argentina"
"Simon Kerrod","1992-08-25","South Africa"
"Titi Lamositele","1995-11-02","USA"
"Will Hobson","2002-09-11","England"
"Boris Wenger","2002-01-07","Argentina"
"George Turner","1992-08-10","Scotland"
"Jack Musk","2000-04-03","England"
"Jack Walker","1996-06-05","England"
"Sam Riley","2001-04-23","England"
"Barny Langton","2001-01-26","Wales"
"Guido Petti","1994-11-17","Argentina"
"Joe Launchbury","1991-12-04","England"
"Jonny Green","2004-03-16","England"
"Kieran Treadwell","---","England"
"Stephan Lewies","---","South Africa"
"Alex Dombrandt","---","England"
"Chandler Cunningham South","---","England"
"Jack Kenningham","---","England"
"James Chisholm","---","England"
"Oisin Mccormack","---","Ireland"
"Tom Lawday","---","England"
"William Evans","---","England"
"Jack Grant","---","Australia"
"Max Green","---","England"
"Stu Townsend","---","England"
"Will Porter","---","England"
"Jamie Benson","---","England"
"Jarrod Evans","---","Wales"
"Marcus Smith","---","England"
"Ben Waghorn","---","England"
"Bryn Bradley","---","Wales"
"Hayden Hyde","---","Ireland"
"Luke Northmore","---","England"
"Oscar Beard","---","England"
"Cadan Murley","---","England"
"Cassius Cleaves","---","England"
"Nick David","---","England"
"Rodrigo Isgro Alastra","---","Argentina"
"Tyrone Green","---","South Africa"
"Cameron Anderson","---","Scotland"
"Cameron Doak","---","Ireland"
"Ethan Clarke","---","England"
"Jamie Miller","---","England"
"Ollie Streeter","---","England"
"Sam Bland","---","England"
"Ashton Graham","---","England"
"Jack Doorey Palmer","---","England"
"Jerold Gorleku","---","England"
"Jimmy Staples","---","England"
"Harry Browne","---","England"
"Mattias Woollard","---","England"
"Elliot Williams","---","England"
"Lucas Schmid","---","England"
"Seb Driscoll","---","England"
"Tate Williams","---","England"
"Zach Carr","---","England"
"Jake Murray","---","England"
"Lucas Friday","---","England"
"Connor Slevin","---","England"
"Felix Champain","---","England"
"Josh Bellamy","---","England"
"Math Jones","---","Wales"
"Finlay Cunnison","---","England"
"Franklin Mcmillan","---","England"
"Ludo Kolade","---","England"
"Sean Kerr","---","England"
"Guy Rogers","---","England"
"Theo Povey","---","England"
"Tom Humphreys","---","England"
"Conor Byrne","---","England"
"Sean Sharp","---","England"
"Nick Lynagh","---","England"
"Ale Loman","2000-05-15","Sweden"
"Archie Van Der Flier","2002-02-26","England"
"Cameron Miell","---","South Africa"
"Joe Heyes","1999-04-13","England"
"Nicky Smith","1994-07-04","Wales"
"Tarek Haffar","2001-09-13","England"
"Tonga Kofe","1996-02-02","USA"
"Will Hurd","1999-06-29","England"
"Charlie Clare","1991-12-16","England"
"Finn Theobald Thomas","2003-04-26","England"
"Jamie Blamire","1997-12-22","England"
"John Stewart","2002-08-03","England"
"Cameron Henderson","2000-01-13","Scotland"
"Finn Carnduff","2004-10-03","England"
"Harry Wells","1993-09-29","England"
"James Thompson","1999-07-13","New Zealand"
"Lewis Chessum","2003-02-27","England"
"Ollie Chessum","2000-06-09","England"
"Tom Manz","2001-07-19","England"
"Emeka Ilione","2002-03-20","England"
"George Martin","2001-06-18","England"
"Hamish Watson","---","England"
"Hanro Liebenberg","---","South Africa"
"James Cherry","---","England"
"Joaquin Moro","---","Argentina"
"Joshua Manz","---","England"
"Olly Cracknell","---","Wales"
"Tommy Reffell","---","Wales"
"Jack Van Poortvliet","---","England"
"Ollie Allan","---","England"
"Tom Whiteley","---","England"
"Billy Searle","---","England"
"James O Connor","---","Australia"
"Orlando Bailey","---","England"
"Izaia Perese","---","Australia"
"Joe Woodward","---","England"
"Solomone Kata","---","Tonga"
"Will Wand","---","England"
"Adam Radwan","---","England"
"Gabriel Hamer Webb","---","England"
"Ollie Hassell Collins","---","England"
"Ryan Crowley","---","Wales"
"Sam Mercer","---","England"
"Freddie Steward","---","England"
"Bronson Kingsley Mellowes","---","England"
"Diamond Ayiehfor","---","England"
"Tubuna Maka","---","Fiji"
"Harry Palmer","---","England"
"Osian Thomas","---","Wales"
"George Marsh","---","England"
"Monty Loggenberg","---","England"
"Sam Williams","---","England"
"Charlie Bemand","---","England"
"Tom Threlfall","---","England"
"Charlie Myall","---","England"
"Wilf Mccarthy","---","England"
"George Pearson","---","England"
"Jack Kinder","---","England"
"Kesena Izu","---","England"
"Charlie Titcombe","---","England"
"Adam Brocklebank","1995-06-09","England"
"Eduardo Bello","1995-11-27","Argentina"
"Luan De Bruin","1993-02-13","South Africa"
"Murray Mccallum","1996-03-16","Scotland"
"Richard Palframan","1993-12-20","South Africa"
"Bryn Gordon","2001-08-06","New Zealand"
"Fraser Renwick","1997-05-15","Scotland"
"George Mcguigan","1993-03-30","Ireland"
"Hame Faiva","1994-09-05","New Zealand"
"Ollie Fletcher","2002-09-09","England"
"Samson Adejimi","2002-02-15","England"
"Adam Scott","2001-11-27","England"
"Freddie Clarke","1992-10-10","England"
"Jamie Hodgson","1998-03-19","Scotland"
"John Hawkins","1996-11-11","England"
"Sebastian De Chaves","1990-10-30","South Africa"
"Tim Cardall","1997-01-13","England"
"Amanaki Mafi","1990-11-01","Tonga"
"Cameron Neild","1994-06-09","England"
"Fergus Lee Warner","1994-03-02","Australia"
"Freddie Lockwood","---","England"
"Ollie Leatherbarrow","---","England"
"Tom Christie","---","New Zealand"
"Thomas Gordon","---","New Zealand"
"James Elliott","---","England"
"Sam Stuart","---","England"
"Simon Benitez Cruz","---","Argentina"
"Boeta Chamberlain","---","South Africa"
"Brett Connon","---","England"
"Cameron Hutchison","---","Scotland"
"Connor Doherty","---","England"
"Max Clark","---","England"
"Sam Arnold","---","Ireland"
"Alex Hearle","---","England"
"Christian Wade","---","England"
"Elliott Obatoyinbo","---","England"
"Harrison Obatoyinbo","---","England"
"Joel Grayson","---","England"
"Ethan Grayson","---","England"
"Liam Williams","---","Wales"
"Sam Waugh","---","England"
"Stefan Coetzee","---","South Africa"
"Callum Hancock","---","England"
"Connor Hancock","---","England"
"Elvis Kitenge Fuki","---","England"
"Mike Rewcastle","---","England"
"Finn Baker","---","England"
"Oscar Usher","---","England"
"Charlie Turnbull","---","England"
"George Bolam","---","England"
"Reuben Parsons","---","England"
"Jack Dickens","---","England"
"Joe Davis","---","England"
"Junior Newton","---","England"
"Rhys Beeckmans","---","England"
"Nathan Greenwood","2003-11-20","England"
"Oliver Spencer","2004-02-22","England"
"Stewart Moore","---","Ireland"
"Cleopas Kundiona","1998-12-15","Zimbabwe"
"Danilo Fischetti","1998-01-26","Italy"
"Elliot Millar Mills","1992-08-07","England"
"Emmanuel Iyogun","2000-11-24","England"
"Joe Cowell","2002-06-01","Wales"
"Luke Green","2001-06-05","England"
"Tom West","1996-11-02","England"
"Trevor Davison","1992-08-20","England"
"Will Davies King","1998-07-28","England"
"Ben Alexander 22241","---","England"
"Craig Wright","---","England"
"Curtis Langdon","1997-03-08","England"
"Henry Walker","1998-10-03","England"
"Marco Manfredi","1997-09-18","Italy"
"Robbie Smith","1998-09-26","Scotland"
"Alex Coles","1999-09-21","England"
"Chunya Munga","2000-02-09","England"
"Emeka Atuanya","2003-03-17","England"
"Jj Van Der Mescht","1999-04-05","South Africa"
"Tom Lockett","2002-06-10","England"
"Archie Benson","2001-03-18","England"
"Callum Chick","---","England"
"Fyn Brown","---","England"
"Henry Pollock","---","England"
"Jack Kelleher","---","Ireland"
"Josh Kemeny","---","Australia"
"Sam Graham","---","England"
"Tom Pearson","---","England"
"Alex Mitchell","---","England"
"Archie Mcparland","---","England"
"Tom James","---","England"
"Anthony Belleau","---","France"
"Fin Smith","---","England"
"Fraser Dingwall","---","England"
"Rory Hutchinson","---","Scotland"
"Toby Thame","---","England"
"Tom Litchfield","---","England"
"Amena Caqusau","---","Fiji"
"James Martin","---","England"
"James Ramm","---","Australia"
"Ollie Sleightholme","---","England"
"George Furbank","---","England"
"George Hendy","---","England"
"Tommy Freeman","---","England"
"Ollie Scola","---","England"
"Sonny Tonga Uiha","---","England"
"Aiden Ainsworth Cave","---","England"
"Archie Appleby","---","England"
"Ed Prowse","2000-10-27","England"
"Jack Lawrence","---","England"
"James Bennett","2003-07-10","England"
"Charlie Ulcoq","---","Australia"
"Jack Lewis","---","England"
"Siep Walta","---","Netherlands"
"Aidan Pugh","---","England"
"Jonny Weimann","---","England"
"Billy Pasco","---","England"
"Edoardo Todaro","---","Italy"
"Freddie St John","---","England"
"Henry Lumley","---","England"
"Tom Rowe","---","England"
"Will Glister","---","England"
"James Pater","---","England"
"Angus Scott Young","---","Australia"
"Asher Opoku","---","England"
"Bevan Rodd","2000-08-26","Scotland"
"James Harper","2000-10-16","England"
"Patreece Bell","---","England"
"Simon Mcintyre","1991-03-19","England"
"Tumy Onasanya","2002-05-24","England"
"Willgriff John","1992-04-12","England"
"Ethan Caine","2001-09-20","England"
"Luke Cowan Dickie","1993-06-20","England"
"Nathan Jibulu","2003-01-26","England"
"Tadgh Mcelroy","1997-06-16","Ireland"
"Ben Bamber","2001-01-24","England"
"Ernst Van Rhyn","1997-09-19","South Africa"
"Hyron Andrews","1995-06-07","South Africa"
"Rouban Birch","1999-09-20","England"
"Ben Curry","1998-06-15","England"
"Dan Du Preez","1995-05-08","South Africa"
"Huw Davies","2003-12-11","Wales"
"Jacques Vermeulen","1995-08-02","South Africa"
"Sam Dugdale","1999-09-30","England"
"Tom Curry","1998-06-15","England"
"Gus Warr","1999-09-24","Scotland"
"Nye Thomas","---","England"
"Raffi Quirke","---","England"
"George Ford","---","England"
"Robert Du Preez","---","South Africa"
"Tom Curtis","---","England"
"Joe Bedlow","---","England"
"Marius Louw","---","South Africa"
"Rekeiti Ma Asi White","---","Tonga"
"Sam Bedlow","---","England"
"Aaron Reed","---","England"
"Alex Wills","---","England"
"Obi Ene","---","England"
"Regan Grace","---","Wales"
"Tom O Flaherty","---","England"
"Tom Roebuck","---","England"
"Joe Carpenter","---","England"
"Luke James","---","England"
"Jack Lightbown","---","England"
"Oliver Spencer 1","---","England"
"Ralph Mceachran","---","England"
"Tye Raymont","---","England"
"Alfie Longstaff","---","England"
"Tom Davis","---","England"
"Dylan Hodkinson","---","England"
"Tom Burrow","---","England"
"Frank Chatterton","---","England"
"Jos Gilmore","---","England"
"Patrick Hogg","---","England"
"Reuben Logan","---","England"
"Seb Kelly","---","England"
"Tristan Woodman","---","England"
"Will Bennett","---","England"
"Dom Hanson","---","England"
"Will Wooton","---","England"
"Ollie Davies","---","England"
"Albert Bradshaw","---","England"
"Sebi Krippner","---","England"
"Toby Wilson","2003-06-22","England"
"Osian Roberts","---","Wales"
"Gurshwin Nikhole Wehr","---","South Africa"
"Alec Clarey","1994-08-02","England"
"Eroni Mawi","1996-06-02","Fiji"
"Marco Riccioni","1997-10-19","Italy"
"Marcus Street","1999-06-02","England"
"Phil Brantingham","2001-02-10","England"
"Rhys Carre","1998-08-02","Wales"
"Tietie Tuimauga","1993-05-08","Samoa"
"Vilikesa Nairau","2002-06-03","Fiji"
"Eoghan Clarke","1998-12-06","Ireland"
"James Hadfield","1997-11-27","England"
"Jamie George","1990-10-20","England"
"Theodore Dan","2000-12-26","England"
"Harry Wilson 1997","1997-08-02","England"
"Hugh Tizard","2000-03-31","England"
"Maro Itoje","1994-10-28","England"
"Nick Isiekwe","1998-04-20","England"
"Theo Mcfarland","1995-10-16","Samoa"
"Andy Christie","1999-03-22","England"
"Ben Earl","1998-07-01","England"
"Juan Martin Gonzalez Samso","2000-11-14","Argentina"
"Nathan Michelow","---","England"
"Toby Knight","---","England"
"Tom Willis","---","England"
"Charlie Bracken","---","England"
"Gareth Simpson","---","England"
"Ivan Van Zyl","---","South Africa"
"Fergus Burke","---","New Zealand"
"Louie Johnson","---","England"
"Owen Farrell","---","England"
"Alex Lozowski","---","England"
"Brandon Jackson","---","England"
"Elliott Daly","---","England"
"Nick Tompkins","---","England"
"Oliver Hartley","---","England"
"Sam Spink","---","England"
"Lucio Luna","---","Argentina"
"Max Malins","---","England"
"Rotimi Segun","---","England"
"Tobias Elliott","---","England"
"Alan Poku","---","England"
"Alex O Driscoll","---","Scotland"
"Harvey Beaton","---","England"
"Lewis Young","---","England"
"James Isaacs","---","England"
"Charlie Barker","---","England"
"Kaden Pearce Paul","---","England"
"Kennedy Sylvester","---","England"
"Mathis Dehauteur","---","France"
"Max Eke","2003-04-12","England"
"Olamide Sodeke","---","England"
"Tayo Adegbemile","---","England"
"Totoa Auva A","---","Samoa"
"Barnaby Merrett","---","England"
"Barnaby Merritt","---","England"
"Charlie West","---","England"
"Jack Marshall","---","England"
"Reggie Hammick","---","England"
"Asa Stewart Harris","---","England"
"Finn Keylock","---","England"
"Luke Davidson","---","South Africa"
"Alex Mason","---","England"
"Angus Hall","---","England"
"Oscar Wilson","---","England"
"Jack Bracken","---","England"
"Noah Caluori","---","England"
"Seva Kava","---","Fiji"
"Zac Finch","---","England"
"Ben Morrow","---","England"
"Samson Adejimi 2","---","England"
"Cameron Hutchison 2","---","Scotland"
